span,H,epsilon,tri_slope,iid_slope,slope_gap,status
0.25,0.5,0.8,0.816768,0.775351,0.041417,stable-core
0.25,0.5,0.5,1.088139,0.943758,0.144381,stable-core
0.25,0.5,0.3,1.025922,0.821615,0.204307,noisy-boundary
0.25,0.5,0.2,1.060917,1.082942,0.022024,stable-core
0.25,0.5,0.1,0.832042,0.842345,0.010302,stable-core
0.25,1.0,0.8,1.120342,0.849189,0.271152,noisy-boundary
0.25,1.0,0.5,1.172247,1.046193,0.126054,stable-core
0.25,1.0,0.3,0.947246,1.045025,0.097779,stable-core
0.25,1.0,0.2,1.064383,1.169199,0.104816,stable-core
0.25,1.0,0.1,0.86574,1.013105,0.147364,stable-core
