ambient_dim,intrinsic_dim,epsilon,iid_a,triangular_a,gap,useful
8,1,0.5,0.5521,0.4581,0.094,True
8,1,0.2,0.488,0.5249,0.0369,True
8,1,0.1,0.5498,0.546,0.0038,True
8,1,0.05,0.533,0.5554,0.0224,True
8,2,0.5,0.4904,0.4189,0.0715,True
8,2,0.2,0.4916,0.4827,0.0089,True
8,2,0.1,0.4911,0.4611,0.03,True
8,2,0.05,0.4545,0.4616,0.0071,True
12,1,0.5,0.3511,0.4115,0.0604,False
12,1,0.2,0.5012,0.5056,0.0044,True
12,1,0.1,0.514,0.4777,0.0363,True
12,1,0.05,0.5534,0.4736,0.0798,True
12,2,0.5,0.4526,0.519,0.0664,True
12,2,0.2,0.4441,0.5241,0.08,True
12,2,0.1,0.453,0.5034,0.0504,True
12,2,0.05,0.4278,0.4933,0.0655,True
