scenario,seed,selected_alpha,selected_window,prefix_score,default_tail_mae,calibrated_tail_mae
Constant drift,0,0.2,75,1.131174,0.1059,0.1175
Constant drift,1,0.01,75,1.099589,0.1122,0.1086
Constant drift,2,0.01,100,1.067738,0.0848,0.0895
Constant drift,3,0.01,75,1.042967,0.0924,0.096
Constant drift,4,0.2,100,0.977441,0.0882,0.0948
Constant drift,5,0.01,100,1.075031,0.0943,0.088
Constant drift,6,0.01,75,1.000473,0.0901,0.0971
Constant drift,7,0.1,50,0.963774,0.1094,0.1354
Constant drift,8,0.1,75,0.998277,0.1002,0.1016
Constant drift,9,0.01,100,1.097256,0.1093,0.1017
Constant drift,10,0.01,100,1.003134,0.1064,0.1089
Constant drift,11,0.05,100,0.984178,0.0881,0.0881
Constant drift,12,0.01,100,1.05811,0.0921,0.097
Constant drift,13,0.2,100,1.098547,0.1068,0.1058
Constant drift,14,0.02,100,0.941989,0.0978,0.0949
Constant drift,15,0.1,50,0.993577,0.0914,0.0977
Constant drift,16,0.2,100,0.929793,0.0914,0.092
Constant drift,17,0.02,50,1.059232,0.0956,0.1105
Constant drift,18,0.01,75,0.994219,0.0916,0.0977
Constant drift,19,0.02,75,1.082391,0.1085,0.1075
Alternating drift,0,0.02,75,1.127034,0.0913,0.0981
Alternating drift,1,0.01,100,1.092133,0.0974,0.0995
Alternating drift,2,0.01,100,1.058702,0.1027,0.102
Alternating drift,3,0.01,100,1.03729,0.0697,0.0824
Alternating drift,4,0.02,75,0.97248,0.0991,0.103
Alternating drift,5,0.01,100,1.073586,0.0835,0.0836
Alternating drift,6,0.02,100,0.994221,0.0781,0.0797
Alternating drift,7,0.1,100,0.961972,0.0962,0.094
Alternating drift,8,0.05,75,0.994381,0.0913,0.1012
Alternating drift,9,0.01,100,1.095222,0.0844,0.0894
Alternating drift,10,0.1,100,1.000649,0.1137,0.1134
Alternating drift,11,0.1,100,0.980755,0.0899,0.0895
Alternating drift,12,0.01,100,1.049111,0.1095,0.1026
Alternating drift,13,0.01,100,1.087136,0.1035,0.1016
Alternating drift,14,0.01,100,0.93976,0.0969,0.1006
Alternating drift,15,0.1,50,0.991191,0.0821,0.0966
Alternating drift,16,0.05,100,0.929376,0.0774,0.0774
Alternating drift,17,0.01,100,1.057455,0.1004,0.0977
Alternating drift,18,0.01,100,0.991243,0.0871,0.0963
Alternating drift,19,0.02,100,1.078149,0.0955,0.0955
