experiment,setting,sample_size,mean_distance,ambient_dim,intrinsic_dim,H,span,regime,zeta,span_growth_fraction,epsilon
raw-iid,raw W2 iid ambient d=1,16,0.247573,1,1,,,,,,
raw-iid,raw W2 iid ambient d=1,32,0.224427,1,1,,,,,,
raw-iid,raw W2 iid ambient d=1,64,0.129606,1,1,,,,,,
raw-iid,raw W2 iid ambient d=1,128,0.083701,1,1,,,,,,
raw-iid,raw W2 iid ambient d=2,16,0.518832,2,2,,,,,,
raw-iid,raw W2 iid ambient d=2,32,0.398999,2,2,,,,,,
raw-iid,raw W2 iid ambient d=2,64,0.265049,2,2,,,,,,
raw-iid,raw W2 iid ambient d=2,128,0.220328,2,2,,,,,,
raw-iid,raw W2 iid ambient d=4,16,0.892643,4,4,,,,,,
raw-iid,raw W2 iid ambient d=4,32,0.762749,4,4,,,,,,
raw-iid,raw W2 iid ambient d=4,64,0.631167,4,4,,,,,,
raw-iid,raw W2 iid ambient d=4,128,0.515312,4,4,,,,,,
raw-iid,raw W2 iid ambient d=6,16,1.228817,6,6,,,,,,
raw-iid,raw W2 iid ambient d=6,32,1.15175,6,6,,,,,,
raw-iid,raw W2 iid ambient d=6,64,0.978095,6,6,,,,,,
raw-iid,raw W2 iid ambient d=6,128,0.856736,6,6,,,,,,
intrinsic-iid,"raw W2 iid ambient d=4, intrinsic k=1",16,0.247273,4,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=4, intrinsic k=1",32,0.212721,4,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=4, intrinsic k=1",64,0.123314,4,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=4, intrinsic k=1",128,0.093888,4,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=1",16,0.260109,8,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=1",32,0.160512,8,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=1",64,0.152222,8,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=1",128,0.095667,8,1,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=2",16,0.479469,8,2,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=2",32,0.377323,8,2,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=2",64,0.293128,8,2,,,,,,
intrinsic-iid,"raw W2 iid ambient d=8, intrinsic k=2",128,0.205945,8,2,,,,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.10",32,0.389834,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.10",64,0.271262,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.10",128,0.199896,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.10",256,0.141152,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.10",32,0.431946,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.10",64,0.264544,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.10",128,0.200975,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.10",256,0.140331,1,,0.5,0.1,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.25",32,0.390899,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.25",64,0.272035,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.25",128,0.199396,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.25",256,0.142059,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.25",32,0.43384,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.25",64,0.264737,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.25",128,0.200999,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.25",256,0.140039,1,,0.5,0.25,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.50",32,0.392451,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.50",64,0.274917,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.50",128,0.199212,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"iid mixture fixed span d=1, H=0.5, span=0.50",256,0.144046,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.50",32,0.43714,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.50",64,0.26474,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.50",128,0.202984,1,,0.5,0.5,fixed-span,,,
triangular-fixed-span,"triangular fixed span d=1, H=0.5, span=0.50",256,0.140318,1,,0.5,0.5,fixed-span,,,
triangular-growing-span,"iid mixture fixed zeta d=1, H=0.5, zeta=0.04",32,0.303566,1,,0.5,,fixed-zeta,0.04,,
triangular-growing-span,"iid mixture fixed zeta d=1, H=0.5, zeta=0.04",64,0.278743,1,,0.5,,fixed-zeta,0.04,,
triangular-growing-span,"iid mixture fixed zeta d=1, H=0.5, zeta=0.04",128,0.219997,1,,0.5,,fixed-zeta,0.04,,
triangular-growing-span,"iid mixture fixed zeta d=1, H=0.5, zeta=0.04",256,0.137373,1,,0.5,,fixed-zeta,0.04,,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.25",32,0.319505,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.25",64,0.281064,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.25",128,0.218682,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.25",256,0.164548,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.25",32,0.348328,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.25",64,0.304115,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.25",128,0.202705,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.25",256,0.14424,1,,0.5,,span-growth,,0.25,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.50",32,0.36838,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.50",64,0.292233,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.50",128,0.198719,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.50",256,0.128284,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.50",32,0.37137,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.50",64,0.277275,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.50",128,0.231789,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"triangular span growth d=1, H=0.5, frac=0.50",256,0.14233,1,,0.5,,span-growth,,0.5,
triangular-span-growth,"iid mixture span growth d=1, H=0.5, frac=0.75",32,0.381751,1,,0.5,,span-growth,,0.75,
