sample_age,mu_plus,mu_minus
0.0,1.0,-1.0
0.012024,0.995992,-0.995992
0.024048,0.991984,-0.991984
0.036072,0.987976,-0.987976
0.048096,0.983968,-0.983968
0.06012,0.97996,-0.97996
0.072144,0.975952,-0.975952
0.084168,0.971944,-0.971944
0.096192,0.967936,-0.967936
0.108216,0.963928,-0.963928
0.12024,0.95992,-0.95992
0.132265,0.955912,-0.955912
0.144289,0.951904,-0.951904
0.156313,0.947896,-0.947896
0.168337,0.943888,-0.943888
0.180361,0.93988,-0.93988
0.192385,0.935872,-0.935872
0.204409,0.931864,-0.931864
0.216433,0.927856,-0.927856
0.228457,0.923848,-0.923848
0.240481,0.91984,-0.91984
0.252505,0.915832,-0.915832
0.264529,0.911824,-0.911824
0.276553,0.907816,-0.907816
0.288577,0.903808,-0.903808
0.300601,0.8998,-0.8998
0.312625,0.895792,-0.895792
0.324649,0.891784,-0.891784
0.336673,0.887776,-0.887776
0.348697,0.883768,-0.883768
0.360721,0.87976,-0.87976
0.372745,0.875752,-0.875752
0.38477,0.871743,-0.871743
0.396794,0.867735,-0.867735
0.408818,0.863727,-0.863727
0.420842,0.859719,-0.859719
0.432866,0.855711,-0.855711
0.44489,0.851703,-0.851703
0.456914,0.847695,-0.847695
0.468938,0.843687,-0.843687
0.480962,0.839679,-0.839679
0.492986,0.835671,-0.835671
0.50501,0.831663,-0.831663
0.517034,0.827655,-0.827655
0.529058,0.823647,-0.823647
0.541082,0.819639,-0.819639
0.553106,0.815631,-0.815631
0.56513,0.811623,-0.811623
0.577154,0.807615,-0.807615
0.589178,0.803607,-0.803607
0.601202,0.799599,-0.799599
0.613226,0.795591,-0.795591
0.625251,0.791583,-0.791583
0.637275,0.787575,-0.787575
0.649299,0.783567,-0.783567
0.661323,0.779559,-0.779559
0.673347,0.775551,-0.775551
0.685371,0.771543,-0.771543
0.697395,0.767535,-0.767535
0.709419,0.763527,-0.763527
0.721443,0.759519,-0.759519
0.733467,0.755511,-0.755511
0.745491,0.751503,-0.751503
0.757515,0.747495,-0.747495
0.769539,0.743487,-0.743487
0.781563,0.739479,-0.739479
0.793587,0.735471,-0.735471
0.805611,0.731463,-0.731463
0.817635,0.727455,-0.727455
0.829659,0.723447,-0.723447
0.841683,0.719439,-0.719439
0.853707,0.715431,-0.715431
0.865731,0.711423,-0.711423
0.877756,0.707415,-0.707415
0.88978,0.703407,-0.703407
0.901804,0.699399,-0.699399
0.913828,0.695391,-0.695391
0.925852,0.691383,-0.691383
0.937876,0.687375,-0.687375
0.9499,0.683367,-0.683367
0.961924,0.679359,-0.679359
0.973948,0.675351,-0.675351
0.985972,0.671343,-0.671343
0.997996,0.667335,-0.667335
1.01002,0.663327,-0.663327
1.022044,0.659319,-0.659319
1.034068,0.655311,-0.655311
1.046092,0.651303,-0.651303
1.058116,0.647295,-0.647295
1.07014,0.643287,-0.643287
1.082164,0.639279,-0.639279
1.094188,0.635271,-0.635271
1.106212,0.631263,-0.631263
1.118236,0.627255,-0.627255
1.130261,0.623246,-0.623246
1.142285,0.619238,-0.619238
1.154309,0.61523,-0.61523
1.166333,0.611222,-0.611222
1.178357,0.607214,-0.607214
1.190381,0.603206,-0.603206
1.202405,0.599198,-0.599198
1.214429,0.59519,-0.59519
1.226453,0.591182,-0.591182
1.238477,0.587174,-0.587174
1.250501,0.583166,-0.583166
1.262525,0.579158,-0.579158
1.274549,0.57515,-0.57515
1.286573,0.571142,-0.571142
1.298597,0.567134,-0.567134
1.310621,0.563126,-0.563126
1.322645,0.559118,-0.559118
1.334669,0.55511,-0.55511
1.346693,0.551102,-0.551102
1.358717,0.547094,-0.547094
1.370741,0.543086,-0.543086
1.382766,0.539078,-0.539078
1.39479,0.53507,-0.53507
1.406814,0.531062,-0.531062
1.418838,0.527054,-0.527054
1.430862,0.523046,-0.523046
1.442886,0.519038,-0.519038
1.45491,0.51503,-0.51503
1.466934,0.511022,-0.511022
1.478958,0.507014,-0.507014
1.490982,0.503006,-0.503006
1.503006,0.498998,-0.498998
1.51503,0.49499,-0.49499
1.527054,0.490982,-0.490982
1.539078,0.486974,-0.486974
1.551102,0.482966,-0.482966
1.563126,0.478958,-0.478958
1.57515,0.47495,-0.47495
1.587174,0.470942,-0.470942
1.599198,0.466934,-0.466934
1.611222,0.462926,-0.462926
1.623246,0.458918,-0.458918
1.635271,0.45491,-0.45491
1.647295,0.450902,-0.450902
1.659319,0.446894,-0.446894
1.671343,0.442886,-0.442886
1.683367,0.438878,-0.438878
1.695391,0.43487,-0.43487
1.707415,0.430862,-0.430862
1.719439,0.426854,-0.426854
1.731463,0.422846,-0.422846
1.743487,0.418838,-0.418838
1.755511,0.41483,-0.41483
1.767535,0.410822,-0.410822
1.779559,0.406814,-0.406814
1.791583,0.402806,-0.402806
1.803607,0.398798,-0.398798
1.815631,0.39479,-0.39479
1.827655,0.390782,-0.390782
1.839679,0.386774,-0.386774
1.851703,0.382766,-0.382766
1.863727,0.378758,-0.378758
1.875752,0.374749,-0.374749
1.887776,0.370741,-0.370741
1.8998,0.366733,-0.366733
1.911824,0.362725,-0.362725
1.923848,0.358717,-0.358717
1.935872,0.354709,-0.354709
1.947896,0.350701,-0.350701
1.95992,0.346693,-0.346693
1.971944,0.342685,-0.342685
1.983968,0.338677,-0.338677
1.995992,0.334669,-0.334669
2.008016,0.330661,-0.330661
2.02004,0.326653,-0.326653
2.032064,0.322645,-0.322645
2.044088,0.318637,-0.318637
2.056112,0.314629,-0.314629
2.068136,0.310621,-0.310621
2.08016,0.306613,-0.306613
2.092184,0.302605,-0.302605
2.104208,0.298597,-0.298597
2.116232,0.294589,-0.294589
2.128257,0.290581,-0.290581
2.140281,0.286573,-0.286573
2.152305,0.282565,-0.282565
2.164329,0.278557,-0.278557
2.176353,0.274549,-0.274549
2.188377,0.270541,-0.270541
2.200401,0.266533,-0.266533
2.212425,0.262525,-0.262525
2.224449,0.258517,-0.258517
2.236473,0.254509,-0.254509
2.248497,0.250501,-0.250501
2.260521,0.246493,-0.246493
2.272545,0.242485,-0.242485
2.284569,0.238477,-0.238477
2.296593,0.234469,-0.234469
2.308617,0.230461,-0.230461
2.320641,0.226453,-0.226453
2.332665,0.222445,-0.222445
2.344689,0.218437,-0.218437
2.356713,0.214429,-0.214429
2.368737,0.210421,-0.210421
2.380762,0.206413,-0.206413
2.392786,0.202405,-0.202405
2.40481,0.198397,-0.198397
2.416834,0.194389,-0.194389
2.428858,0.190381,-0.190381
2.440882,0.186373,-0.186373
2.452906,0.182365,-0.182365
2.46493,0.178357,-0.178357
2.476954,0.174349,-0.174349
2.488978,0.170341,-0.170341
