normalized_horizon,variance_cost_over_Emin,staleness_cost_over_Emin,total_error_over_Emin
0.35,1.126872,0.116667,1.243539
0.355311,1.118419,0.118437,1.236856
0.360621,1.110154,0.120207,1.230361
0.365932,1.102069,0.121977,1.224046
0.371242,1.094158,0.123747,1.217905
0.376553,1.086415,0.125518,1.211932
0.381864,1.078834,0.127288,1.206122
0.387174,1.071409,0.129058,1.200468
0.392485,1.064136,0.130828,1.194965
0.397796,1.057009,0.132599,1.189608
0.403106,1.050023,0.134369,1.184392
0.408417,1.043174,0.136139,1.179313
0.413727,1.036458,0.137909,1.174367
0.419038,1.029869,0.139679,1.169548
0.424349,1.023404,0.14145,1.164854
0.429659,1.01706,0.14322,1.16028
0.43497,1.010832,0.14499,1.155822
0.440281,1.004718,0.14676,1.151478
0.445591,0.998712,0.14853,1.147243
0.450902,0.992814,0.150301,1.143114
0.456212,0.987018,0.152071,1.139089
0.461523,0.981323,0.153841,1.135164
0.466834,0.975726,0.155611,1.131337
0.472144,0.970223,0.157381,1.127604
0.477455,0.964812,0.159152,1.123963
0.482766,0.95949,0.160922,1.120412
0.488076,0.954256,0.162692,1.116948
0.493387,0.949107,0.164462,1.113569
0.498697,0.94404,0.166232,1.110272
0.504008,0.939053,0.168003,1.107055
0.509319,0.934144,0.169773,1.103917
0.514629,0.929312,0.171543,1.100855
0.51994,0.924554,0.173313,1.097867
0.525251,0.919868,0.175084,1.094951
0.530561,0.915253,0.176854,1.092106
0.535872,0.910706,0.178624,1.08933
0.541182,0.906227,0.180394,1.086621
0.546493,0.901813,0.182164,1.083977
0.551804,0.897463,0.183935,1.081397
0.557114,0.893175,0.185705,1.07888
0.562425,0.888948,0.187475,1.076423
0.567735,0.884781,0.189245,1.074026
0.573046,0.880672,0.191015,1.071687
0.578357,0.876619,0.192786,1.069405
0.583667,0.872622,0.194556,1.067178
0.588978,0.868679,0.196326,1.065005
0.594289,0.864789,0.198096,1.062885
0.599599,0.860951,0.199866,1.060817
0.60491,0.857163,0.201637,1.0588
0.61022,0.853425,0.203407,1.056832
0.615531,0.849735,0.205177,1.054913
0.620842,0.846093,0.206947,1.053041
0.626152,0.842498,0.208717,1.051215
0.631463,0.838948,0.210488,1.049435
0.636774,0.835442,0.212258,1.0477
0.642084,0.83198,0.214028,1.046008
0.647395,0.82856,0.215798,1.044359
0.652705,0.825183,0.217568,1.042751
0.658016,0.821846,0.219339,1.041185
0.663327,0.81855,0.221109,1.039659
0.668637,0.815293,0.222879,1.038172
0.673948,0.812074,0.224649,1.036723
0.679259,0.808893,0.22642,1.035313
0.684569,0.80575,0.22819,1.033939
0.68988,0.802642,0.22996,1.032602
0.69519,0.799571,0.23173,1.031301
0.700501,0.796534,0.2335,1.030034
0.705812,0.793532,0.235271,1.028802
0.711122,0.790563,0.237041,1.027604
0.716433,0.787628,0.238811,1.026439
0.721743,0.784725,0.240581,1.025306
0.727054,0.781853,0.242351,1.024205
0.732365,0.779014,0.244122,1.023135
0.737675,0.776204,0.245892,1.022096
0.742986,0.773425,0.247662,1.021087
0.748297,0.770676,0.249432,1.020108
0.753607,0.767956,0.251202,1.019158
0.758918,0.765264,0.252973,1.018237
0.764228,0.762601,0.254743,1.017343
0.769539,0.759965,0.256513,1.016478
0.77485,0.757356,0.258283,1.015639
0.78016,0.754774,0.260053,1.014827
0.785471,0.752218,0.261824,1.014042
0.790782,0.749688,0.263594,1.013282
0.796092,0.747183,0.265364,1.012547
0.801403,0.744703,0.267134,1.011838
0.806713,0.742248,0.268904,1.011153
0.812024,0.739817,0.270675,1.010492
0.817335,0.73741,0.272445,1.009854
0.822645,0.735026,0.274215,1.009241
0.827956,0.732664,0.275985,1.00865
0.833267,0.730326,0.277756,1.008082
0.838577,0.72801,0.279526,1.007536
0.843888,0.725715,0.281296,1.007011
0.849198,0.723443,0.283066,1.006509
0.854509,0.721191,0.284836,1.006028
0.85982,0.718961,0.286607,1.005567
0.86513,0.71675,0.288377,1.005127
0.870441,0.714561,0.290147,1.004708
0.875752,0.712391,0.291917,1.004308
0.881062,0.710241,0.293687,1.003928
0.886373,0.70811,0.295458,1.003567
0.891683,0.705998,0.297228,1.003226
0.896994,0.703905,0.298998,1.002903
0.902305,0.70183,0.300768,1.002599
0.907615,0.699774,0.302538,1.002312
0.912926,0.697736,0.304309,1.002044
0.918236,0.695715,0.306079,1.001794
0.923547,0.693712,0.307849,1.001561
0.928858,0.691726,0.309619,1.001345
0.934168,0.689757,0.311389,1.001147
0.939479,0.687805,0.31316,1.000964
0.94479,0.685869,0.31493,1.000799
0.9501,0.683949,0.3167,1.00065
0.955411,0.682046,0.31847,1.000516
0.960721,0.680158,0.32024,1.000399
0.966032,0.678286,0.322011,1.000297
0.971343,0.676429,0.323781,1.00021
0.976653,0.674588,0.325551,1.000139
0.981964,0.672761,0.327321,1.000083
0.987275,0.670949,0.329092,1.000041
0.992585,0.669152,0.330862,1.000014
0.997896,0.667369,0.332632,1.000001
1.003206,0.6656,0.334402,1.000003
1.008517,0.663846,0.336172,1.000018
1.013828,0.662105,0.337943,1.000047
1.019138,0.660377,0.339713,1.00009
1.024449,0.658663,0.341483,1.000146
1.02976,0.656963,0.343253,1.000216
1.03507,0.655275,0.345023,1.000299
1.040381,0.653601,0.346794,1.000394
1.045691,0.651939,0.348564,1.000503
1.051002,0.65029,0.350334,1.000624
1.056313,0.648653,0.352104,1.000757
1.061623,0.647029,0.353874,1.000903
1.066934,0.645416,0.355645,1.001061
1.072244,0.643816,0.357415,1.001231
1.077555,0.642228,0.359185,1.001413
1.082866,0.640651,0.360955,1.001606
1.088176,0.639086,0.362725,1.001811
1.093487,0.637532,0.364496,1.002028
1.098798,0.635989,0.366266,1.002255
1.104108,0.634458,0.368036,1.002494
1.109419,0.632938,0.369806,1.002744
1.114729,0.631428,0.371576,1.003005
1.12004,0.62993,0.373347,1.003276
1.125351,0.628441,0.375117,1.003558
1.130661,0.626964,0.376887,1.003851
1.135972,0.625497,0.378657,1.004154
1.141283,0.62404,0.380428,1.004467
1.146593,0.622593,0.382198,1.00479
1.151904,0.621156,0.383968,1.005124
1.157214,0.619729,0.385738,1.005467
1.162525,0.618312,0.387508,1.00582
1.167836,0.616904,0.389279,1.006183
1.173146,0.615507,0.391049,1.006555
1.178457,0.614118,0.392819,1.006937
1.183768,0.612739,0.394589,1.007328
1.189078,0.611369,0.396359,1.007729
1.194389,0.610008,0.39813,1.008138
1.199699,0.608657,0.3999,1.008557
1.20501,0.607314,0.40167,1.008984
1.210321,0.60598,0.40344,1.009421
