a,H,V
0.25,0.25,2.0
0.25419,0.25,1.999931
0.25838,0.25,1.999728
0.26257,0.25,1.999399
0.26676,0.25,1.998948
0.27095,0.25,1.998383
0.27514,0.25,1.997709
0.27933,0.25,1.996931
0.28352,0.25,1.996054
0.287709,0.25,1.995084
0.291899,0.25,1.994025
0.296089,0.25,1.992881
0.300279,0.25,1.991657
0.304469,0.25,1.990357
0.308659,0.25,1.988985
0.312849,0.25,1.987544
0.317039,0.25,1.986039
0.321229,0.25,1.984471
0.325419,0.25,1.982846
0.329609,0.25,1.981165
0.333799,0.25,1.979431
0.337989,0.25,1.977648
0.342179,0.25,1.975818
0.346369,0.25,1.973944
0.350559,0.25,1.972028
0.354749,0.25,1.970073
0.358939,0.25,1.96808
0.363128,0.25,1.966052
0.367318,0.25,1.96399
0.371508,0.25,1.961898
0.375698,0.25,1.959776
0.379888,0.25,1.957627
0.384078,0.25,1.955452
0.388268,0.25,1.953252
0.392458,0.25,1.95103
0.396648,0.25,1.948787
0.400838,0.25,1.946524
0.405028,0.25,1.944242
0.409218,0.25,1.941944
0.413408,0.25,1.93963
0.417598,0.25,1.9373
0.421788,0.25,1.934958
0.425978,0.25,1.932603
0.430168,0.25,1.930236
0.434358,0.25,1.927859
0.438547,0.25,1.925473
0.442737,0.25,1.923078
0.446927,0.25,1.920675
0.451117,0.25,1.918265
0.455307,0.25,1.91585
0.459497,0.25,1.913429
0.463687,0.25,1.911003
0.467877,0.25,1.908573
0.472067,0.25,1.90614
0.476257,0.25,1.903705
0.480447,0.25,1.901267
0.484637,0.25,1.898828
0.488827,0.25,1.896388
0.493017,0.25,1.893948
0.497207,0.25,1.891508
0.501397,0.25,1.889068
0.505587,0.25,1.88663
0.509777,0.25,1.884193
0.513966,0.25,1.881758
0.518156,0.25,1.879325
0.522346,0.25,1.876895
0.526536,0.25,1.874468
0.530726,0.25,1.872045
0.534916,0.25,1.869625
0.539106,0.25,1.867209
0.543296,0.25,1.864797
0.547486,0.25,1.86239
0.551676,0.25,1.859988
0.555866,0.25,1.857592
0.560056,0.25,1.8552
0.564246,0.25,1.852814
0.568436,0.25,1.850434
0.572626,0.25,1.848061
0.576816,0.25,1.845693
0.581006,0.25,1.843332
0.585196,0.25,1.840977
0.589385,0.25,1.838629
0.593575,0.25,1.836289
0.597765,0.25,1.833955
0.601955,0.25,1.831628
0.606145,0.25,1.829309
0.610335,0.25,1.826998
0.614525,0.25,1.824694
0.618715,0.25,1.822398
0.622905,0.25,1.82011
0.627095,0.25,1.817829
0.631285,0.25,1.815557
0.635475,0.25,1.813293
0.639665,0.25,1.811037
0.643855,0.25,1.80879
0.648045,0.25,1.806551
0.652235,0.25,1.80432
0.656425,0.25,1.802098
0.660615,0.25,1.799884
0.664804,0.25,1.797679
0.668994,0.25,1.795483
0.673184,0.25,1.793295
0.677374,0.25,1.791116
0.681564,0.25,1.788946
0.685754,0.25,1.786785
0.689944,0.25,1.784632
0.694134,0.25,1.782489
0.698324,0.25,1.780354
0.702514,0.25,1.778229
0.706704,0.25,1.776112
0.710894,0.25,1.774004
0.715084,0.25,1.771905
0.719274,0.25,1.769816
0.723464,0.25,1.767735
0.727654,0.25,1.765663
0.731844,0.25,1.7636
0.736034,0.25,1.761546
0.740223,0.25,1.759502
0.744413,0.25,1.757466
0.748603,0.25,1.755439
0.752793,0.25,1.753421
0.756983,0.25,1.751412
