gap_kind,method,gap_center,mean_excess_error,median_excess_error,q10_excess_error,q90_excess_error,count
absolute,fixed,0.149306,0.0552,0.0441,0.0,0.1275,58020
absolute,fixed,1.005296,0.0395,0.0194,0.0,0.1068,20
absolute,fixed,1.648804,0.037,0.0079,0.0,0.0977,20
absolute,fixed,2.498817,0.0359,0.0119,0.0,0.0928,20
absolute,fixed,3.621602,0.0393,0.0335,0.0,0.0964,20
absolute,fixed,5.104695,0.0452,0.0329,0.0,0.1048,40
absolute,fixed,7.063718,0.0422,0.0429,0.0,0.089,40
absolute,fixed,9.6514,0.0426,0.0331,0.0,0.097,60
absolute,fixed,13.069481,0.036,0.0168,0.0,0.0887,80
absolute,fixed,17.584439,0.0316,0.029,0.0,0.0744,100
absolute,fixed,23.548267,0.0318,0.0148,0.0,0.0872,140
absolute,fixed,31.425914,0.032,0.0007,0.0,0.0951,180
absolute,fixed,41.831531,0.0369,0.0175,0.0,0.0936,240
absolute,fixed,55.576357,0.0264,0.0133,0.0,0.0738,320
absolute,fixed,73.731957,0.0209,0.0,0.0,0.0732,400
absolute,fixed,97.713769,0.0,0.0,0.0,0.0,300
absolute,fixed_long,0.149306,0.0403,0.0101,0.0,0.1001,20
absolute,fixed_long,1.005296,0.0416,0.0194,0.0,0.1054,40
absolute,fixed_long,1.648804,0.039,0.0133,0.0,0.103,40
absolute,fixed_long,2.498817,0.0398,0.0158,0.0,0.1079,40
absolute,fixed_long,3.621602,0.0425,0.0281,0.0,0.1056,40
absolute,fixed_long,5.104695,0.0428,0.0252,0.0,0.1102,80
absolute,fixed_long,7.063718,0.0433,0.0356,0.0,0.1013,80
absolute,fixed_long,9.6514,0.0399,0.0325,0.0,0.0921,120
absolute,fixed_long,13.069481,0.0365,0.0181,0.0,0.0982,160
absolute,fixed_long,17.584439,0.0377,0.0307,0.0,0.0893,200
absolute,fixed_long,23.548267,0.0378,0.0192,0.0,0.1058,280
absolute,fixed_long,31.425914,0.0391,0.0249,0.0,0.1013,360
absolute,fixed_long,41.831531,0.0432,0.0312,0.0,0.1019,480
absolute,fixed_long,55.576357,0.0403,0.0267,0.0,0.1049,640
absolute,fixed_long,73.731957,0.039,0.0146,0.0,0.1116,800
absolute,fixed_long,97.713769,0.0413,0.0214,0.0,0.117,860
absolute,fixed_long,129.391449,0.0757,0.0598,0.016,0.1636,720
absolute,fixed_long,171.234635,0.0932,0.0818,0.0166,0.1817,960
absolute,fixed_long,226.505483,0.1244,0.1131,0.0663,0.1973,1280
absolute,fixed_long,299.512987,0.1597,0.1512,0.1003,0.2306,1680
absolute,fixed_long,395.948919,0.2072,0.2104,0.1409,0.268,51120
absolute,ewma,55.576357,0.1,0.0832,0.0038,0.2201,60000
absolute,adwin,0.149306,0.0586,0.0503,0.0,0.139,97
absolute,adwin,1.005296,0.0594,0.0528,0.0,0.1389,194
absolute,adwin,1.648804,0.0589,0.049,0.0,0.1402,194
absolute,adwin,2.498817,0.0583,0.05,0.0,0.1408,194
absolute,adwin,3.621602,0.0583,0.0453,0.0,0.1347,194
absolute,adwin,5.104695,0.0597,0.05,0.0,0.1337,388
absolute,adwin,7.063718,0.059,0.05,0.0,0.1325,388
absolute,adwin,9.6514,0.0567,0.0474,0.0,0.131,582
absolute,adwin,13.069481,0.058,0.0463,0.0,0.1386,776
absolute,adwin,17.584439,0.0594,0.0473,0.0008,0.1413,970
absolute,adwin,23.548267,0.0626,0.0541,0.0,0.1448,1351
absolute,adwin,31.425914,0.0634,0.0539,0.0,0.1457,1737
absolute,adwin,41.831531,0.0629,0.0527,0.0,0.1466,2316
absolute,adwin,55.576357,0.0682,0.0545,0.0,0.1559,3064
absolute,adwin,73.731957,0.0877,0.0645,0.0,0.2087,3829
absolute,adwin,97.713769,0.1294,0.0717,0.0,0.3255,4074
absolute,adwin,129.391449,0.0741,0.0655,0.0043,0.1594,3284
absolute,adwin,171.234635,0.0917,0.0849,0.0176,0.1734,4369
absolute,adwin,226.505483,0.119,0.1153,0.0508,0.1923,5777
absolute,adwin,299.512987,0.156,0.1531,0.0938,0.2231,7219
absolute,adwin,395.948919,0.205,0.2036,0.1396,0.2718,8726
absolute,adwin,523.331562,0.2613,0.2636,0.1937,0.3302,8081
absolute,adwin,691.591853,0.3173,0.3225,0.2559,0.3712,2196
absolute,cube,0.149306,0.0518,0.0409,0.0,0.1218,555
absolute,cube,1.005296,0.0523,0.0442,0.001,0.1183,1138
absolute,cube,1.648804,0.0527,0.0442,0.0012,0.1165,1155
absolute,cube,2.498817,0.0546,0.0469,0.0013,0.1191,1094
absolute,cube,3.621602,0.0535,0.0456,0.0008,0.1174,1071
absolute,cube,5.104695,0.0552,0.0478,0.0012,0.12,2168
absolute,cube,7.063718,0.0537,0.0473,0.0,0.1165,2193
absolute,cube,9.6514,0.0529,0.0466,0.0002,0.1162,3279
absolute,cube,13.069481,0.0543,0.0467,0.0,0.1232,4387
absolute,cube,17.584439,0.0568,0.0488,0.0007,0.1271,5639
absolute,cube,23.548267,0.0585,0.0487,0.0,0.1332,7277
absolute,cube,31.425914,0.0646,0.0531,0.0013,0.1447,9284
absolute,cube,41.831531,0.0766,0.0624,0.0026,0.1718,10862
absolute,cube,55.576357,0.0906,0.0681,0.0042,0.2105,7161
absolute,cube,73.731957,0.0643,0.0528,0.0,0.1548,1739
absolute,cube,97.713769,0.0506,0.0327,0.0,0.1314,961
absolute,cube,129.391449,0.0419,0.0388,0.0182,0.0646,37
relative,fixed,0.036563,0.0552,0.0441,0.0,0.1274,58160
relative,fixed,0.113748,0.0406,0.029,0.0,0.0965,140
relative,fixed,0.19668,0.0324,0.025,0.0,0.0795,140
relative,fixed,0.285788,0.0307,0.0128,0.0,0.0868,140
relative,fixed,0.38153,0.0323,0.0011,0.0,0.0897,140
relative,fixed,0.484402,0.0355,0.012,0.0,0.098,120
relative,fixed,0.594934,0.0364,0.0194,0.0,0.0925,120
relative,fixed,0.713697,0.0311,0.0153,0.0,0.0769,120
relative,fixed,0.841303,0.0304,0.027,0.0,0.074,120
relative,fixed,0.97841,0.0206,0.0,0.0,0.072,120
relative,fixed,1.125728,0.0297,0.0055,0.0,0.0853,80
relative,fixed,1.284014,0.0361,0.0,0.0,0.11,100
relative,fixed,1.454087,0.0193,0.0,0.0,0.0599,80
relative,fixed,1.636824,0.0035,0.0,0.0,0.0,80
relative,fixed,1.833168,0.0,0.0,0.0,0.0,60
relative,fixed,2.044133,0.0,0.0,0.0,0.0,60
relative,fixed,2.270806,0.0,0.0,0.0,0.0,40
relative,fixed,2.514358,0.0,0.0,0.0,0.0,40
relative,fixed,2.776045,0.0,0.0,0.0,0.0,40
relative,fixed,3.057219,0.0,0.0,0.0,0.0,20
relative,fixed,3.359329,0.0,0.0,0.0,0.0,40
relative,fixed,4.032711,0.0,0.0,0.0,0.0,20
relative,fixed,4.407459,0.0,0.0,0.0,0.0,20
relative,fixed_long,0.036563,0.0413,0.023,0.0,0.1075,300
relative,fixed_long,0.113748,0.0393,0.0272,0.0,0.1018,320
relative,fixed_long,0.19668,0.0397,0.0277,0.0,0.1,360
relative,fixed_long,0.285788,0.0411,0.0245,0.0,0.1037,380
relative,fixed_long,0.38153,0.0452,0.0336,0.0,0.1078,440
relative,fixed_long,0.484402,0.0499,0.034,0.0,0.1236,460
relative,fixed_long,0.594934,0.0545,0.0433,0.0,0.1186,540
relative,fixed_long,0.713697,0.0584,0.0459,0.0,0.1492,620
relative,fixed_long,0.841303,0.0691,0.0511,0.0063,0.1588,740
relative,fixed_long,0.97841,0.0776,0.0675,0.0,0.1693,860
relative,fixed_long,1.125728,0.1136,0.1039,0.0466,0.1948,1040
relative,fixed_long,1.284014,0.1279,0.1215,0.0632,0.2054,1280
relative,fixed_long,1.454087,0.169,0.1618,0.1119,0.2466,1600
relative,fixed_long,1.636824,0.207,0.2105,0.1406,0.268,50720
relative,fixed_long,1.833168,0.0,0.0,0.0,0.0,60
relative,fixed_long,2.044133,0.0,0.0,0.0,0.0,60
relative,fixed_long,2.270806,0.0,0.0,0.0,0.0,40
relative,fixed_long,2.514358,0.0,0.0,0.0,0.0,40
relative,fixed_long,2.776045,0.0,0.0,0.0,0.0,40
relative,fixed_long,3.057219,0.0,0.0,0.0,0.0,20
relative,fixed_long,3.359329,0.0,0.0,0.0,0.0,40
relative,fixed_long,4.032711,0.0,0.0,0.0,0.0,20
relative,fixed_long,4.407459,0.0,0.0,0.0,0.0,20
relative,ewma,0.97841,0.1,0.0832,0.0038,0.2201,60000
relative,adwin,0.036563,0.0589,0.0496,0.0,0.1366,1455
relative,adwin,0.113748,0.057,0.0474,0.0,0.1327,1552
relative,adwin,0.19668,0.0588,0.0482,0.0,0.1396,1739
relative,adwin,0.285788,0.0614,0.0525,0.0,0.1416,1831
relative,adwin,0.38153,0.0608,0.0521,0.0,0.1408,2115
relative,adwin,0.484402,0.0593,0.0464,0.0,0.1381,2180
relative,adwin,0.594934,0.0634,0.0536,0.0,0.1468,2548
relative,adwin,0.713697,0.0678,0.0579,0.0024,0.1511,2905
