run_id,dataset_name,dataset_path,dataset_sha256,variable,start_index,requested_max_samples,loaded_sample_count,anchor_size,step,useful_delta,best_window,best_error,useful_min_window,useful_max_window,useful_window_count,interior_optimum,degenerate_best_error,edge_to_best_ratio
7705addb8faf,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,0,4000,4000,24,24,0.05,44,0.01587935,33,44,2,1,0,1.553025
8b4a211e9282,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,8000,4000,4000,24,24,0.05,14,0.00997181,11,14,2,1,0,1.309813
5c0b6a20335b,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,16000,4000,4000,24,24,0.05,59,0.00916695,59,59,1,1,0,1.491106
be82123287ed,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,0,4000,4000,48,24,0.05,33,0.01372454,33,59,3,1,0,1.57659
dfedfb2324b9,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,8000,4000,4000,48,24,0.05,19,0.01068611,19,44,2,1,0,1.307461
cec49c9a1d5f,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,16000,4000,4000,48,24,0.05,59,0.00873654,44,78,3,1,0,1.62524
61f656bdb992,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,0,4000,4000,96,24,0.05,33,0.01504092,33,59,3,1,0,1.343072
cab831261fe9,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,8000,4000,4000,96,24,0.05,435,0.00985772,327,1024,5,1,0,1.612296
e2b55be975d2,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswprice,16000,4000,4000,96,24,0.05,327,0.00874579,59,435,6,1,0,1.684989
a14a023ddcb5,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,0,4000,4000,24,24,0.05,44,0.09472744,44,44,1,1,0,2.643854
2c1a1adf903b,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,8000,4000,4000,24,24,0.05,59,0.08304829,11,59,4,1,0,1.14507
8e81e7a141e8,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,16000,4000,4000,24,24,0.05,59,0.05489831,59,59,1,1,0,2.078087
4aee3944adf6,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,0,4000,4000,48,24,0.05,44,0.05170239,44,44,1,1,0,3.237491
06a2a516f713,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,8000,4000,4000,48,24,0.05,44,0.05768794,44,44,1,1,0,1.861044
8da00cff8d23,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,16000,4000,4000,48,24,0.05,25,0.05250672,25,25,1,1,0,2.35764
bdfb85214b54,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,0,4000,4000,96,24,0.05,327,0.05369405,327,1024,3,1,0,3.144165
10b7f9b1221b,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,8000,4000,4000,96,24,0.05,327,0.05812361,327,327,1,1,0,2.040022
2cf6b882c0c4,Elec2,/Users/jovemexausto/river_data/Elec2/electricity.csv,c10a416790ef8ab96089e5adfd2febb7c9cec72bd80dfecb2342f2283b86b88a,nswdemand,16000,4000,4000,96,24,0.05,327,0.05596582,327,770,3,1,0,2.341778
