ambient_dim,intrinsic_dim,epsilon,iid_a,triangular_a,gap,useful,min_a
8,1,0.8,0.4699,0.5114,0.04149999999999998,True,0.4699
8,1,0.5,0.5521,0.4581,0.09400000000000003,True,0.4581
8,1,0.3,0.3615,0.4991,0.1376,False,0.3615
8,1,0.2,0.488,0.5249,0.036900000000000044,True,0.488
8,2,0.8,0.4407,0.521,0.08030000000000004,True,0.4407
8,2,0.5,0.4904,0.4189,0.07150000000000001,True,0.4189
8,2,0.3,0.4946,0.4911,0.003500000000000003,True,0.4911
8,2,0.2,0.4916,0.4827,0.008899999999999963,True,0.4827
12,1,0.8,0.4813,0.4661,0.015199999999999991,True,0.4661
12,1,0.5,0.3511,0.4115,0.060399999999999954,False,0.3511
12,1,0.3,0.4603,0.4416,0.018699999999999994,True,0.4416
12,1,0.2,0.5012,0.5056,0.0044000000000000705,True,0.5012
12,2,0.8,0.4823,0.4921,0.009799999999999975,True,0.4823
12,2,0.5,0.4526,0.519,0.06640000000000001,True,0.4526
12,2,0.3,0.4382,0.541,0.10280000000000006,True,0.4382
12,2,0.2,0.4441,0.5241,0.08000000000000002,True,0.4441
