alpha,carrier_a,rate_exponent,horizon_exponent
0.5,0.25,0.333333,1.333333
0.505017,0.252508,0.333333,1.320088
0.510033,0.255017,0.333333,1.307104
0.51505,0.257525,0.333333,1.294372
0.520067,0.260033,0.333333,1.281886
0.525084,0.262542,0.333333,1.269639
0.5301,0.26505,0.333333,1.257624
0.535117,0.267559,0.333333,1.245833
0.540134,0.270067,0.333333,1.234262
0.545151,0.272575,0.333333,1.222904
0.550167,0.275084,0.333333,1.211753
0.555184,0.277592,0.333333,1.200803
0.560201,0.2801,0.333333,1.19005
0.565217,0.282609,0.333333,1.179487
0.570234,0.285117,0.333333,1.16911
0.575251,0.287625,0.333333,1.158915
0.580268,0.290134,0.333333,1.148895
0.585284,0.292642,0.333333,1.139048
0.590301,0.295151,0.333333,1.129367
0.595318,0.297659,0.333333,1.11985
0.600334,0.300167,0.333333,1.110492
0.605351,0.302676,0.333333,1.101289
0.610368,0.305184,0.333333,1.092237
0.615385,0.307692,0.333333,1.083333
0.620401,0.310201,0.333333,1.074573
0.625418,0.312709,0.333333,1.065954
0.630435,0.315217,0.333333,1.057471
0.635452,0.317726,0.333333,1.049123
0.640468,0.320234,0.333333,1.040905
0.645485,0.322742,0.333333,1.032815
0.650502,0.325251,0.333333,1.02485
0.655518,0.327759,0.333333,1.017007
0.660535,0.330268,0.333333,1.009283
0.665552,0.332776,0.333333,1.001675
0.670569,0.335284,0.333333,0.994181
0.675585,0.337793,0.333333,0.986799
0.680602,0.340301,0.333333,0.979525
0.685619,0.342809,0.333333,0.972358
0.690635,0.345318,0.333333,0.965295
0.695652,0.347826,0.333333,0.958333
0.700669,0.350334,0.333333,0.951472
0.705686,0.352843,0.333333,0.944708
0.710702,0.355351,0.333333,0.938039
0.715719,0.35786,0.333333,0.931464
0.720736,0.360368,0.333333,0.924981
0.725753,0.362876,0.333333,0.918587
0.730769,0.365385,0.333333,0.912281
0.735786,0.367893,0.333333,0.906061
0.740803,0.370401,0.333333,0.899925
0.745819,0.37291,0.333333,0.893871
0.750836,0.375418,0.333333,0.887899
0.755853,0.377926,0.333333,0.882006
0.76087,0.380435,0.333333,0.87619
0.765886,0.382943,0.333333,0.870451
0.770903,0.385452,0.333333,0.864787
0.77592,0.38796,0.333333,0.859195
0.780936,0.390468,0.333333,0.853676
0.785953,0.392977,0.333333,0.848227
0.79097,0.395485,0.333333,0.842847
0.795987,0.397993,0.333333,0.837535
0.801003,0.400502,0.333333,0.832289
0.80602,0.40301,0.333333,0.827109
0.811037,0.405518,0.333333,0.821993
0.816054,0.408027,0.333333,0.81694
0.82107,0.410535,0.333333,0.811948
0.826087,0.413043,0.333333,0.807018
0.831104,0.415552,0.333333,0.802146
0.83612,0.41806,0.333333,0.797333
0.841137,0.420569,0.333333,0.792578
0.846154,0.423077,0.333333,0.787879
0.851171,0.425585,0.333333,0.783235
0.856187,0.428094,0.333333,0.778646
0.861204,0.430602,0.333333,0.77411
0.866221,0.43311,0.333333,0.769627
0.871237,0.435619,0.333333,0.765195
0.876254,0.438127,0.333333,0.760814
0.881271,0.440635,0.333333,0.756483
0.886288,0.443144,0.333333,0.752201
0.891304,0.445652,0.333333,0.747967
0.896321,0.448161,0.333333,0.743781
0.901338,0.450669,0.333333,0.739641
0.906355,0.453177,0.333333,0.735547
0.911371,0.455686,0.333333,0.731498
0.916388,0.458194,0.333333,0.727494
0.921405,0.460702,0.333333,0.723533
0.926421,0.463211,0.333333,0.719615
0.931438,0.465719,0.333333,0.715739
0.936455,0.468227,0.333333,0.711905
0.941472,0.470736,0.333333,0.708111
0.946488,0.473244,0.333333,0.704358
0.951505,0.475753,0.333333,0.700644
0.956522,0.478261,0.333333,0.69697
0.961538,0.480769,0.333333,0.693333
0.966555,0.483278,0.333333,0.689735
0.971572,0.485786,0.333333,0.686173
0.976589,0.488294,0.333333,0.682648
0.981605,0.490803,0.333333,0.67916
0.986622,0.493311,0.333333,0.675706
0.991639,0.495819,0.333333,0.672288
0.996656,0.498328,0.333333,0.668904
1.001672,0.500836,0.333333,0.665554
1.006689,0.503344,0.333333,0.662237
1.011706,0.505853,0.333333,0.658953
1.016722,0.508361,0.333333,0.655702
1.021739,0.51087,0.333333,0.652482
1.026756,0.513378,0.333333,0.649294
1.031773,0.515886,0.333333,0.646137
1.036789,0.518395,0.333333,0.643011
1.041806,0.520903,0.333333,0.639914
1.046823,0.523411,0.333333,0.636848
1.051839,0.52592,0.333333,0.63381
1.056856,0.528428,0.333333,0.630802
1.061873,0.530936,0.333333,0.627822
1.06689,0.533445,0.333333,0.624869
1.071906,0.535953,0.333333,0.621945
1.076923,0.538462,0.333333,0.619048
1.08194,0.54097,0.333333,0.616177
1.086957,0.543478,0.333333,0.613333
1.091973,0.545987,0.333333,0.610516
1.09699,0.548495,0.333333,0.607724
1.102007,0.551003,0.333333,0.604957
1.107023,0.553512,0.333333,0.602216
1.11204,0.55602,0.333333,0.599499
1.117057,0.558528,0.333333,0.596806
1.122074,0.561037,0.333333,0.594138
1.12709,0.563545,0.333333,0.591494
1.132107,0.566054,0.333333,0.588872
1.137124,0.568562,0.333333,0.586275
1.14214,0.57107,0.333333,0.583699
1.147157,0.573579,0.333333,0.581147
1.152174,0.576087,0.333333,0.578616
1.157191,0.578595,0.333333,0.576108
1.162207,0.581104,0.333333,0.573621
1.167224,0.583612,0.333333,0.571156
1.172241,0.58612,0.333333,0.568711
1.177258,0.588629,0.333333,0.566288
1.182274,0.591137,0.333333,0.563885
1.187291,0.593645,0.333333,0.561502
1.192308,0.596154,0.333333,0.55914
1.197324,0.598662,0.333333,0.556797
1.202341,0.601171,0.333333,0.554474
1.207358,0.603679,0.333333,0.55217
1.212375,0.606187,0.333333,0.549885
1.217391,0.608696,0.333333,0.547619
1.222408,0.611204,0.333333,0.545372
1.227425,0.613712,0.333333,0.543143
1.232441,0.616221,0.333333,0.540932
1.237458,0.618729,0.333333,0.538739
1.242475,0.621237,0.333333,0.536563
1.247492,0.623746,0.333333,0.534406
1.252508,0.626254,0.333333,0.532265
1.257525,0.628763,0.333333,0.530142
1.262542,0.631271,0.333333,0.528035
1.267559,0.633779,0.333333,0.525945
1.272575,0.636288,0.333333,0.523872
1.277592,0.638796,0.333333,0.521815
1.282609,0.641304,0.333333,0.519774
1.287625,0.643813,0.333333,0.517749
1.292642,0.646321,0.333333,0.51574
1.297659,0.648829,0.333333,0.513746
1.302676,0.651338,0.333333,0.511767
1.307692,0.653846,0.333333,0.509804
1.312709,0.656355,0.333333,0.507856
1.317726,0.658863,0.333333,0.505922
1.322742,0.661371,0.333333,0.504003
1.327759,0.66388,0.333333,0.502099
1.332776,0.666388,0.333333,0.500209
1.337793,0.668896,0.333333,0.498333
1.342809,0.671405,0.333333,0.496472
1.347826,0.673913,0.333333,0.494624
1.352843,0.676421,0.333333,0.492789
1.35786,0.67893,0.333333,0.490969
1.362876,0.681438,0.333333,0.489162
1.367893,0.683946,0.333333,0.487368
1.37291,0.686455,0.333333,0.485587
1.377926,0.688963,0.333333,0.483819
1.382943,0.691472,0.333333,0.482064
1.38796,0.69398,0.333333,0.480321
1.392977,0.696488,0.333333,0.478591
1.397993,0.698997,0.333333,0.476874
1.40301,0.701505,0.333333,0.475169
1.408027,0.704013,0.333333,0.473476
1.413043,0.706522,0.333333,0.471795
1.41806,0.70903,0.333333,0.470126
1.423077,0.711538,0.333333,0.468468
1.428094,0.714047,0.333333,0.466823
1.43311,0.716555,0.333333,0.465189
1.438127,0.719064,0.333333,0.463566
1.443144,0.721572,0.333333,0.461954
1.448161,0.72408,0.333333,0.460354
1.453177,0.726589,0.333333,0.458765
1.458194,0.729097,0.333333,0.457187
1.463211,0.731605,0.333333,0.455619
1.468227,0.734114,0.333333,0.454062
1.473244,0.736622,0.333333,0.452516
1.478261,0.73913,0.333333,0.45098
1.483278,0.741639,0.333333,0.449455
1.488294,0.744147,0.333333,0.44794
1.493311,0.746656,0.333333,0.446435
1.498328,0.749164,0.333333,0.44494
1.503344,0.751672,0.333333,0.443456
1.508361,0.754181,0.333333,0.441981
1.513378,0.756689,0.333333,0.440516
1.518395,0.759197,0.333333,0.43906
1.523411,0.761706,0.333333,0.437614
1.528428,0.764214,0.333333,0.436178
1.533445,0.766722,0.333333,0.434751
1.538462,0.769231,0.333333,0.433333
1.543478,0.771739,0.333333,0.431925
1.548495,0.774247,0.333333,0.430526
1.553512,0.776756,0.333333,0.429135
1.558528,0.779264,0.333333,0.427754
1.563545,0.781773,0.333333,0.426381
1.568562,0.784281,0.333333,0.425018
1.573579,0.786789,0.333333,0.423663
1.578595,0.789298,0.333333,0.422316
1.583612,0.791806,0.333333,0.420979
1.588629,0.794314,0.333333,0.419649
1.593645,0.796823,0.333333,0.418328
1.598662,0.799331,0.333333,0.417015
1.603679,0.801839,0.333333,0.415711
1.608696,0.804348,0.333333,0.414414
1.613712,0.806856,0.333333,0.413126
1.618729,0.809365,0.333333,0.411846
1.623746,0.811873,0.333333,0.410573
1.628763,0.814381,0.333333,0.409309
1.633779,0.81689,0.333333,0.408052
1.638796,0.819398,0.333333,0.406803
1.643813,0.821906,0.333333,0.405561
1.648829,0.824415,0.333333,0.404327
1.653846,0.826923,0.333333,0.403101
1.658863,0.829431,0.333333,0.401882
1.66388,0.83194,0.333333,0.40067
1.668896,0.834448,0.333333,0.399466
1.673913,0.836957,0.333333,0.398268
1.67893,0.839465,0.333333,0.397078
1.683946,0.841973,0.333333,0.395895
1.688963,0.844482,0.333333,0.394719
1.69398,0.84699,0.333333,0.393551
1.698997,0.849498,0.333333,0.392388
1.704013,0.852007,0.333333,0.391233
1.70903,0.854515,0.333333,0.390085
1.714047,0.857023,0.333333,0.388943
1.719064,0.859532,0.333333,0.387808
1.72408,0.86204,0.333333,0.38668
1.729097,0.864548,0.333333,0.385558
1.734114,0.867057,0.333333,0.384442
1.73913,0.869565,0.333333,0.383333
1.744147,0.872074,0.333333,0.382231
1.749164,0.874582,0.333333,0.381134
1.754181,0.87709,0.333333,0.380044
1.759197,0.879599,0.333333,0.378961
1.764214,0.882107,0.333333,0.377883
1.769231,0.884615,0.333333,0.376812
1.774247,0.887124,0.333333,0.375746
1.779264,0.889632,0.333333,0.374687
1.784281,0.89214,0.333333,0.373633
1.789298,0.894649,0.333333,0.372586
1.794314,0.897157,0.333333,0.371544
1.799331,0.899666,0.333333,0.370508
1.804348,0.902174,0.333333,0.369478
1.809365,0.904682,0.333333,0.368453
1.814381,0.907191,0.333333,0.367435
1.819398,0.909699,0.333333,0.366422
1.824415,0.912207,0.333333,0.365414
1.829431,0.914716,0.333333,0.364412
1.834448,0.917224,0.333333,0.363415
1.839465,0.919732,0.333333,0.362424
1.844482,0.922241,0.333333,0.361439
1.849498,0.924749,0.333333,0.360458
1.854515,0.927258,0.333333,0.359483
1.859532,0.929766,0.333333,0.358513
1.864548,0.932274,0.333333,0.357549
1.869565,0.934783,0.333333,0.356589
1.874582,0.937291,0.333333,0.355635
1.879599,0.939799,0.333333,0.354686
1.884615,0.942308,0.333333,0.353741
1.889632,0.944816,0.333333,0.352802
1.894649,0.947324,0.333333,0.351868
1.899666,0.949833,0.333333,0.350939
1.904682,0.952341,0.333333,0.350015
1.909699,0.954849,0.333333,0.349095
1.914716,0.957358,0.333333,0.34818
1.919732,0.959866,0.333333,0.347271
1.924749,0.962375,0.333333,0.346365
1.929766,0.964883,0.333333,0.345465
1.934783,0.967391,0.333333,0.344569
1.939799,0.9699,0.333333,0.343678
1.944816,0.972408,0.333333,0.342792
1.949833,0.974916,0.333333,0.34191
1.954849,0.977425,0.333333,0.341032
1.959866,0.979933,0.333333,0.340159
1.964883,0.982441,0.333333,0.339291
1.9699,0.98495,0.333333,0.338427
1.974916,0.987458,0.333333,0.337567
1.979933,0.989967,0.333333,0.336712
1.98495,0.992475,0.333333,0.335861
1.989967,0.994983,0.333333,0.335014
1.994983,0.997492,0.333333,0.334172
2.0,1.0,0.333333,0.333333
