setting,dimension,H,window_span,zeta,sample_size,mean_w2
triangular,1,0.5,0.25,0.04419417,32,0.354746
iid-mixture,1,0.5,0.25,0.04419417,32,0.394162
triangular,1,0.5,0.25,0.03125,64,0.271514
iid-mixture,1,0.5,0.25,0.03125,64,0.263784
triangular,1,0.5,0.25,0.02209709,128,0.20315
iid-mixture,1,0.5,0.25,0.02209709,128,0.220365
triangular,1,0.5,0.25,0.015625,256,0.137179
iid-mixture,1,0.5,0.25,0.015625,256,0.132983
triangular,1,1.0,0.25,0.0078125,32,0.362164
iid-mixture,1,1.0,0.25,0.0078125,32,0.364362
triangular,1,1.0,0.25,0.00390625,64,0.279919
iid-mixture,1,1.0,0.25,0.00390625,64,0.295657
triangular,1,1.0,0.25,0.00195312,128,0.213643
iid-mixture,1,1.0,0.25,0.00195312,128,0.191953
triangular,1,1.0,0.25,0.00097656,256,0.155449
iid-mixture,1,1.0,0.25,0.00097656,256,0.143298
