dimension,window_size,epsilon,mean_runtime_ms,mean_abs_bias,mean_iterations,mean_pairwise_evals_per_s
2,25,0.02,4.22,0.3837,250.0,148093.5
2,25,0.05,4.164,0.3863,250.0,150113.6
2,25,0.2,3.532,0.3723,249.3,176969.6
2,25,1.0,0.624,0.3032,47.2,1001669.7
2,50,0.02,6.244,0.167,250.0,400400.4
2,50,0.05,6.194,0.1715,250.0,403635.9
2,50,0.2,4.563,0.1563,239.3,547931.0
2,50,1.0,0.742,0.1166,29.8,3369366.8
2,100,0.02,7.398,0.1157,250.0,1351662.1
2,100,0.05,7.303,0.118,250.0,1369341.9
2,100,0.2,5.843,0.109,242.2,1711433.3
2,100,1.0,1.065,0.0882,28.8,9387895.1
8,25,0.02,1.487,0.9522,250.0,420433.0
8,25,0.05,3.964,0.9639,250.0,157650.2
8,25,0.2,3.192,1.0184,250.0,195825.4
8,25,1.0,0.336,0.4874,18.7,1861233.4
8,50,0.02,3.73,0.6773,250.0,670168.9
8,50,0.05,5.868,0.6901,250.0,426036.0
8,50,0.2,4.573,0.7149,250.0,546643.9
8,50,1.0,0.546,0.1952,19.2,4578811.9
8,100,0.02,6.917,0.596,250.0,1445713.4
8,100,0.05,7.292,0.6102,250.0,1371278.4
8,100,0.2,5.681,0.6148,250.0,1760300.8
8,100,1.0,0.688,0.1383,14.5,14542955.0
32,25,0.02,1.54,1.4072,250.0,405893.6
32,25,0.05,1.547,1.422,248.7,403942.4
32,25,0.2,2.979,1.5764,250.0,209806.3
32,25,1.0,0.285,0.4822,13.7,2196300.0
32,50,0.02,2.153,1.2782,250.0,1161342.9
32,50,0.05,2.282,1.2953,250.0,1095423.6
32,50,0.2,4.152,1.476,250.0,602096.3
32,50,1.0,0.334,0.2635,10.0,7479125.8
32,100,0.02,2.826,1.2042,250.0,3539075.1
32,100,0.05,3.132,1.224,249.2,3192734.5
32,100,0.2,6.066,1.4288,250.0,1648608.4
32,100,1.0,0.624,0.14,8.7,16013532.2
64,25,0.02,1.533,1.575,250.0,407571.7
64,25,0.05,1.481,1.5919,241.7,422138.8
64,25,0.2,2.956,1.7547,250.0,211431.9
64,25,1.0,0.267,0.4961,11.7,2340580.0
64,50,0.02,2.235,1.5036,250.0,1118415.3
64,50,0.05,1.276,1.5255,142.3,1959013.3
64,50,0.2,4.289,1.7211,250.0,582946.8
64,50,1.0,0.333,0.2679,9.2,7503594.2
64,100,0.02,2.767,1.4273,250.0,3613823.0
64,100,0.05,2.126,1.4541,186.0,4703484.5
64,100,0.2,5.139,1.6849,250.0,1945788.1
64,100,1.0,0.525,0.1326,7.3,19058467.2
128,25,0.02,1.388,1.7056,231.2,450373.8
128,25,0.05,0.568,1.7283,80.7,1100366.0
128,25,0.2,2.882,1.8724,250.0,216884.7
128,25,1.0,0.253,0.4742,10.3,2466293.9
128,50,0.02,2.153,1.6648,250.0,1161282.9
128,50,0.05,0.971,1.6945,94.8,2573800.8
128,50,0.2,4.216,1.8676,250.0,592920.6
128,50,1.0,0.334,0.2805,8.0,7495626.4
128,100,0.02,2.879,1.5976,250.0,3473939.5
128,100,0.05,1.33,1.6354,81.5,7520368.0
128,100,0.2,5.194,1.8358,250.0,1925442.6
128,100,1.0,0.579,0.1412,6.7,17274269.9
256,25,0.02,1.523,1.794,246.3,410445.5
256,25,0.05,0.403,1.8249,43.3,1552795.0
256,25,0.2,2.883,1.9357,250.0,216765.6
256,25,1.0,0.263,0.4789,9.0,2373919.6
256,50,0.02,2.138,1.7506,243.2,1169290.5
256,50,0.05,0.585,1.7908,40.8,4269856.0
256,50,0.2,4.315,1.9213,250.0,579407.9
256,50,1.0,0.366,0.2635,7.8,6828266.1
256,100,0.02,2.544,1.7282,217.8,3930968.3
256,100,0.05,0.799,1.7778,35.5,12509334.8
256,100,0.2,5.161,1.9164,250.0,1937509.9
256,100,1.0,0.584,0.1446,6.2,17123898.4
