profile,H,sigma_zeta_ratio,best_h,predicted_h,normalized_best,asymptotic_constant,numeric_over_asymptotic_ratio
ramp,0.35,1000.0,1519.0,1519.3104599609865,0.2635884144008853,0.26361872545115833,0.9998850193580857
endpoint_minimal,0.35,1000.0,4146.0,4145.983014238235,0.3745094706483488,0.3746015781720853,0.9997541186980953
ramp,0.35,10000.0,22810.0,22809.570940818405,0.2636167034283129,0.26361872545115833,0.9999923297450058
endpoint_minimal,0.35,10000.0,62244.0,62244.08781146911,0.37459564440953297,0.3746015781720853,0.9999841598036472
ramp,0.5,1000.0,639.0,639.2426524846114,0.2602479479921309,0.26034972038447685,0.9996090935216077
endpoint_minimal,0.5,1000.0,1107.0,1107.2007524684425,0.34240184469975293,0.3426395012774578,0.9993063946894074
ramp,0.5,10000.0,6392.0,6392.426524846114,0.26033953872961624,0.26034972038447685,0.9999608923917968
endpoint_minimal,0.5,10000.0,11072.0,11072.007524684424,0.342616110286076,0.3426395012774578,0.9999317329400301
ramp,0.75,1000.0,214.0,214.56074991102278,0.2676440945061797,0.268112692945367,0.9982522332902651
endpoint_minimal,0.75,1000.0,256.0,256.03803701953865,0.30541241752487064,0.30611388743665086,0.9977084675326094
ramp,0.75,10000.0,1354.0,1353.786809935378,0.26803842175257236,0.268112692945367,0.9997229851672492
endpoint_minimal,0.75,10000.0,1615.0,1615.4907992376952,0.3060031687983969,0.30611388743665086,0.9996383089993691
ramp,1.0,1000.0,98.0,98.19909958695543,0.280515665661971,0.28194711183971394,0.9949229975494244
endpoint_minimal,1.0,1000.0,98.0,98.19909958695543,0.280515665661971,0.28194711183971394,0.9949229975494244
ramp,1.0,10000.0,456.0,455.79984411364154,0.281637737750367,0.28194711183971394,0.9989027229705306
endpoint_minimal,1.0,10000.0,456.0,455.79984411364154,0.281637737750367,0.28194711183971394,0.9989027229705306
