H,sigma_zeta_ratio,best_h,predicted_h,best_bound,normalized_best,asymptotic_constant,constant_gap,sigma_power,zeta_power
0.35,1000.0,1085,1084.9882,4.08824151,0.23781674,0.23785502,-3.828e-05,0.41176471,0.58823529
0.35,3000.0,3951,3951.3376,6.42760105,0.23784449,0.23785502,-1.052e-05,0.41176471,0.58823529
0.35,10000.0,16289,16289.0441,10.55277016,0.23785246,0.23785502,-2.55e-06,0.41176471,0.58823529
0.5,1000.0,471,471.4045,7.23344756,0.2287417,0.22886302,-0.00012132,0.5,0.5
0.5,3000.0,1414,1414.2136,12.53312814,0.22882257,0.22886302,-4.045e-05,0.5,0.5
0.5,10000.0,4714,4714.0452,22.88508794,0.22885088,0.22886302,-1.214e-05,0.5,0.5
0.75,1000.0,165,165.3488,14.37691617,0.22785877,0.22837617,-0.0005174,0.6,0.4
0.75,3000.0,398,398.197,27.83008546,0.2281612,0.22837617,-0.00021497,0.6,0.4
0.75,10000.0,1043,1043.2803,57.34488428,0.2282941,0.22837617,-8.207e-05,0.6,0.4
1.0,1000.0,78,78.2974,23.33971523,0.23339715,0.23489206,-0.00149491,0.66666667,0.33333333
1.0,3000.0,163,162.8651,48.70932692,0.23417002,0.23489206,-0.00072204,0.66666667,0.33333333
1.0,10000.0,363,363.4241,108.87732965,0.2345691,0.23489206,-0.00032296,0.66666667,0.33333333
