scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,var_alpha_theory_scaled,var_alpha_empirical_scaled,var_alpha_empirical_scaled_se,var_H_theory_scaled,var_H_empirical_scaled,var_H_empirical_scaled_se,cov_theory_scaled,cov_empirical_scaled,cov_empirical_scaled_se
09feac94981a,default,12345,10989421762586,1000,10,500,0.3,0.5,1.0,0.5,100.0,1.0,1.6050517792666879,1.5966741095320116,0.07144116645439133,0.4761373143910111,0.4796533742818114,0.021461484436871764,-0.8324304442403595,-0.8320882367930483,0.03753447879310661
7dfeccd794b9,default,12345,138533311845561,1000,10,500,0.3,1.0,1.0,0.5,100.0,1.0,0.40126294481667196,0.41132004212054685,0.0184039957933395,0.11903432859775277,0.12182040624528157,0.005450700220010205,-0.20810761106008988,-0.2128597624425243,0.009633636338055565
01db10de1e8c,default,12345,2040392457868,1000,10,500,0.3,2.0,1.0,0.5,100.0,1.0,0.10031573620416799,0.09097565140329016,0.0040705906210905625,0.029758582149438193,0.027410759666351675,0.0012264598218725516,-0.05202690276502247,-0.04727994653788971,0.002002658804883533
70db633587ef,default,12345,124087564601327,1000,10,1000,0.3,0.5,1.0,0.5,100.0,1.0,1.6050517792666879,1.634419442634271,0.07313003371223478,0.4761373143910111,0.4876475167065141,0.021819172243177268,-0.8324304442403595,-0.8528734705784926,0.03978693019622591
8f316dad84e9,default,12345,157442456257769,1000,10,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.40126294481667196,0.3925779139034558,0.017565402937306285,0.11903432859775277,0.11599471966726776,0.005190037231836002,-0.20810761106008988,-0.20298639189331896,0.009176081267754163
0304249c1bbf,default,12345,3316328963007,1000,10,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.10031573620416799,0.10045847910664302,0.004494887770001001,0.029758582149438193,0.030472752609809625,0.0013634648288741794,-0.05202690276502247,-0.05247019658015607,0.0024440412140679163
5ba18e40977e,default,12345,100749434460030,1000,10,5000,0.3,0.5,1.0,0.5,100.0,1.0,1.6050517792666879,1.6305056588153242,0.07295491639830912,0.4761373143910111,0.49536595771804814,0.02216452413795749,-0.8324304442403595,-0.8556723405704953,0.03792648303360591
12e3c67ec13a,default,12345,20769497071930,1000,10,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.40126294481667196,0.3908513516554151,0.017488150090141187,0.11903432859775277,0.11490057664544558,0.0051410811842115935,-0.20810761106008988,-0.2009542458435093,0.009252050642839519
42e87d832361,default,12345,73566305592161,1000,10,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.10031573620416799,0.1027666661013086,0.004598164681870072,0.029758582149438193,0.03058383187415568,0.0013684349302658177,-0.05202690276502247,-0.05355254072195634,0.0023890504954981523
1ae53559e3c5,default,12345,29571744916421,1000,20,500,0.3,0.5,1.0,0.5,100.0,1.0,0.8870575461465703,0.9092900074021595,0.04068503296090429,0.14459361430319637,0.14842971532471438,0.006641300147591728,-0.3476704960081663,-0.3580658233387554,0.01604596938606989
