lag_count,sample_size,H,zeta,empirical_relative_regret,theoretical_relative_regret,empirical_to_theoretical_ratio
10,500,0.3,0.5,0.009731033347662205,0.008768478810364539,1.109774404217058
10,500,0.3,1.0,0.00181213536160505,0.001785383745318124,1.0149836786388795
10,500,0.3,2.0,0.00036429312707262165,0.0003551338223654996,1.0257911359895635
10,1000,0.3,0.5,0.004332151094009539,0.0043842394051822695,0.9881191909567801
10,1000,0.3,1.0,0.0009154487323725077,0.000892691872659062,1.0254924015894307
10,1000,0.3,2.0,0.00017515863423164032,0.0001775669111827498,0.9864373551633676
10,5000,0.3,0.5,0.0008604269572983687,0.000876847881036454,0.9812727793574919
10,5000,0.3,1.0,0.0001804694810688575,0.00017853837453181241,1.0108161987141928
10,5000,0.3,2.0,3.418164708151353e-05,3.551338223654996e-05,0.9625004696492744
20,500,0.3,0.5,0.0023845659901992732,0.002285290167469769,1.0434412330401879
20,500,0.3,1.0,0.00046461335573956086,0.00045743818583765425,1.0156855508001974
20,500,0.3,2.0,8.173306983578822e-05,8.906856172070265e-05,0.9176421877349188
20,1000,0.3,0.5,0.0012182902828734073,0.0011426450837348846,1.0662018331110013
20,1000,0.3,1.0,0.00022826394477556912,0.00022871909291882712,0.9980100124679161
20,1000,0.3,2.0,4.4754237374435035e-05,4.4534280860351324e-05,1.0049390381933738
20,5000,0.3,0.5,0.0002227831750179351,0.0002285290167469769,0.9748572771596725
20,5000,0.3,1.0,4.2122117244245184e-05,4.574381858376542e-05,0.9208264318185805
20,5000,0.3,2.0,8.779963713751157e-06,8.906856172070265e-06,0.9857533953768096
50,500,0.3,0.5,0.0004204387759898169,0.0004011322981342498,1.0481299510046076
50,500,0.3,1.0,7.77098496400384e-05,7.803458181160464e-05,0.9958386120098622
50,500,0.3,2.0,1.3710813971248272e-05,1.4648831883320726e-05,0.9359663678616936
50,1000,0.3,0.5,0.00021326245702190215,0.0002005661490671249,1.0633023469505218
50,1000,0.3,1.0,4.0017363253895584e-05,3.901729090580232e-05,1.0256315168192403
50,1000,0.3,2.0,7.066988107179099e-06,7.324415941660363e-06,0.9648534659238771
50,5000,0.3,0.5,4.120520461674705e-05,4.0113229813424984e-05,1.0272223106541425
50,5000,0.3,1.0,7.421476391995537e-06,7.803458181160463e-06,0.9510496781943257
50,5000,0.3,2.0,1.4112403482656782e-06,1.4648831883320724e-06,0.9633808070884666
10,500,0.6,0.5,0.0012290501298947935,0.0012502205207383433,0.9830666746446881
10,500,0.6,1.0,0.00023989695627247553,0.00023059570012319146,1.0403357744498924
10,500,0.6,2.0,4.111523194756934e-05,4.0305001747857814e-05,1.0201024727595898
10,1000,0.6,0.5,0.0006345642429744648,0.0006251102603691717,1.015123704096154
10,1000,0.6,1.0,0.00012312238149679683,0.00011529785006159573,1.067863636928364
10,1000,0.6,2.0,1.821767741206414e-05,2.0152500873928907e-05,0.9039909004858138
10,5000,0.6,0.5,0.00011951436752205749,0.0001250220520738343,0.9559462953901593
10,5000,0.6,1.0,2.1845278172576863e-05,2.305957001231915e-05,0.9473410892270075
10,5000,0.6,2.0,3.977470960729928e-06,4.030500174785782e-06,0.986843019040764
20,500,0.6,0.5,0.0001898607672119633,0.00019954722005873142,0.9514578411870777
20,500,0.6,1.0,3.504976409053329e-05,3.475303972157476e-05,1.0085380839010272
20,500,0.6,2.0,5.421968192408265e-06,5.598627685217687e-06,0.9684459294773496
