scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
09feac94981a,default,12345,10989421762586,1000,10,500,0.3,0.5,1.0,0.5,100.0,1.0
7dfeccd794b9,default,12345,138533311845561,1000,10,500,0.3,1.0,1.0,0.5,100.0,1.0
01db10de1e8c,default,12345,2040392457868,1000,10,500,0.3,2.0,1.0,0.5,100.0,1.0
70db633587ef,default,12345,124087564601327,1000,10,1000,0.3,0.5,1.0,0.5,100.0,1.0
8f316dad84e9,default,12345,157442456257769,1000,10,1000,0.3,1.0,1.0,0.5,100.0,1.0
0304249c1bbf,default,12345,3316328963007,1000,10,1000,0.3,2.0,1.0,0.5,100.0,1.0
5ba18e40977e,default,12345,100749434460030,1000,10,5000,0.3,0.5,1.0,0.5,100.0,1.0
12e3c67ec13a,default,12345,20769497071930,1000,10,5000,0.3,1.0,1.0,0.5,100.0,1.0
42e87d832361,default,12345,73566305592161,1000,10,5000,0.3,2.0,1.0,0.5,100.0,1.0
1ae53559e3c5,default,12345,29571744916421,1000,20,500,0.3,0.5,1.0,0.5,100.0,1.0
a4a2797b3c9d,default,12345,181017729776797,1000,20,500,0.3,1.0,1.0,0.5,100.0,1.0
e45e1e62ceec,default,12345,251092887850732,1000,20,500,0.3,2.0,1.0,0.5,100.0,1.0
957558c61fe4,default,12345,164331233091556,1000,20,1000,0.3,0.5,1.0,0.5,100.0,1.0
5eb4f7d9c815,default,12345,104131345369109,1000,20,1000,0.3,1.0,1.0,0.5,100.0,1.0
c1878991fd82,default,12345,212787872791938,1000,20,1000,0.3,2.0,1.0,0.5,100.0,1.0
983dcba7d45d,default,12345,167391177200733,1000,20,5000,0.3,0.5,1.0,0.5,100.0,1.0
ab8001a738dd,default,12345,188566271899869,1000,20,5000,0.3,1.0,1.0,0.5,100.0,1.0
84aef1849c97,default,12345,145886911175831,1000,20,5000,0.3,2.0,1.0,0.5,100.0,1.0
e7c8c4736c95,default,12345,254849475374229,1000,50,500,0.3,0.5,1.0,0.5,100.0,1.0
2b5d3a3beb03,default,12345,47679408958211,1000,50,500,0.3,1.0,1.0,0.5,100.0,1.0
15fcb1bf14fd,default,12345,24175058031869,1000,50,500,0.3,2.0,1.0,0.5,100.0,1.0
13aa57f20955,default,12345,21622340847957,1000,50,1000,0.3,0.5,1.0,0.5,100.0,1.0
e2557e474ca3,default,12345,248856818699427,1000,50,1000,0.3,1.0,1.0,0.5,100.0,1.0
d09e431ca87b,default,12345,229378149361787,1000,50,1000,0.3,2.0,1.0,0.5,100.0,1.0
3879545ca676,default,12345,62093757556342,1000,50,5000,0.3,0.5,1.0,0.5,100.0,1.0
cfd3e66f0576,default,12345,228509011084662,1000,50,5000,0.3,1.0,1.0,0.5,100.0,1.0
79b08eff3981,default,12345,133799220296065,1000,50,5000,0.3,2.0,1.0,0.5,100.0,1.0
5ef92eb739d5,default,12345,104424323627477,1000,10,500,0.6,0.5,1.0,0.5,100.0,1.0
86fcd97247eb,default,12345,148420538025963,1000,10,500,0.6,1.0,1.0,0.5,100.0,1.0
4bb25833dd0d,default,12345,83229356055821,1000,10,500,0.6,2.0,1.0,0.5,100.0,1.0
3653b018575e,default,12345,59733064570718,1000,10,1000,0.6,0.5,1.0,0.5,100.0,1.0
40d13fa46864,default,12345,71267460081764,1000,10,1000,0.6,1.0,1.0,0.5,100.0,1.0
b31370818e1a,default,12345,196896073289242,1000,10,1000,0.6,2.0,1.0,0.5,100.0,1.0
cb6195b23ae7,default,12345,223619983751911,1000,10,5000,0.6,0.5,1.0,0.5,100.0,1.0
ce24c7efb42c,default,12345,226657368519724,1000,10,5000,0.6,1.0,1.0,0.5,100.0,1.0
7af5a3cee504,default,12345,135195433821444,1000,10,5000,0.6,2.0,1.0,0.5,100.0,1.0
a82896f736c3,default,12345,184892284942019,1000,20,500,0.6,0.5,1.0,0.5,100.0,1.0
5a428aa3318e,default,12345,99241840292238,1000,20,500,0.6,1.0,1.0,0.5,100.0,1.0
5d6b45fb79f5,default,12345,102715316992501,1000,20,500,0.6,2.0,1.0,0.5,100.0,1.0
5c7596c63684,default,12345,101660110501508,1000,20,1000,0.6,0.5,1.0,0.5,100.0,1.0
b00222c2bd69,default,12345,193523219610985,1000,20,1000,0.6,1.0,1.0,0.5,100.0,1.0
199ff205a832,default,12345,28174750951474,1000,20,1000,0.6,2.0,1.0,0.5,100.0,1.0
c2b22e9d692b,default,12345,214070542035243,1000,20,5000,0.6,0.5,1.0,0.5,100.0,1.0
ceb60e54989c,default,12345,227281319794844,1000,20,5000,0.6,1.0,1.0,0.5,100.0,1.0
686da19fbe4e,default,12345,114820072324686,1000,20,5000,0.6,2.0,1.0,0.5,100.0,1.0
57efecf1ca33,default,12345,96687984069171,1000,50,500,0.6,0.5,1.0,0.5,100.0,1.0
d8abcb6cfc92,default,12345,238232363924626,1000,50,500,0.6,1.0,1.0,0.5,100.0,1.0
85c747ee74a4,default,12345,147090951795876,1000,50,500,0.6,2.0,1.0,0.5,100.0,1.0
2efc60dabe66,default,12345,51661491584614,1000,50,1000,0.6,0.5,1.0,0.5,100.0,1.0
694f247881c2,default,12345,115788635210178,1000,50,1000,0.6,1.0,1.0,0.5,100.0,1.0
e1718caeb936,default,12345,247877807814966,1000,50,1000,0.6,2.0,1.0,0.5,100.0,1.0
dc68ac170b9a,default,12345,242342121900954,1000,50,5000,0.6,0.5,1.0,0.5,100.0,1.0
3f4935684fbe,default,12345,69583661191102,1000,50,5000,0.6,1.0,1.0,0.5,100.0,1.0
164954e14654,default,12345,24504212473428,1000,50,5000,0.6,2.0,1.0,0.5,100.0,1.0
005026e1026b,default,12345,344249664107,1000,10,500,0.9,0.5,1.0,0.5,100.0,1.0
ede1efa92f1c,default,12345,261554644266780,1000,10,500,0.9,1.0,1.0,0.5,100.0,1.0
a50ca7a61c9e,default,12345,181473770871966,1000,10,500,0.9,2.0,1.0,0.5,100.0,1.0
a6a9fbbf7752,default,12345,183249003312978,1000,10,1000,0.9,0.5,1.0,0.5,100.0,1.0
