scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
58a24899edb0,transition,2026,97454025993648,1000,3,10,0.3,0.5,1.0,0.5,100.0,1.0
b466b5629e90,transition,2026,198353222803088,1000,3,10,0.3,1.0,1.0,0.5,100.0,1.0
03f4a1837c61,transition,2026,4349216652385,1000,3,10,0.3,2.0,1.0,0.5,100.0,1.0
ada3fc1d2fb2,transition,2026,190919821045682,1000,3,10,0.3,4.0,1.0,0.5,100.0,1.0
aa5491672652,transition,2026,187280193431122,1000,3,20,0.3,0.5,1.0,0.5,100.0,1.0
cf1b02177d50,transition,2026,227714906160464,1000,3,20,0.3,1.0,1.0,0.5,100.0,1.0
a372e547633b,transition,2026,179713868260155,1000,3,20,0.3,2.0,1.0,0.5,100.0,1.0
f81786fe89bd,transition,2026,272779932764605,1000,3,20,0.3,4.0,1.0,0.5,100.0,1.0
eba0c7e27730,transition,2026,259075780802352,1000,3,50,0.3,0.5,1.0,0.5,100.0,1.0
caddb167a0a6,transition,2026,223053512941734,1000,3,50,0.3,1.0,1.0,0.5,100.0,1.0
7a657fed531a,transition,2026,134576356545306,1000,3,50,0.3,2.0,1.0,0.5,100.0,1.0
6a082e0616d4,transition,2026,116583364433620,1000,3,50,0.3,4.0,1.0,0.5,100.0,1.0
368ae824a695,transition,2026,59970228102805,1000,3,100,0.3,0.5,1.0,0.5,100.0,1.0
35c0fecd362d,transition,2026,59103024854573,1000,3,100,0.3,1.0,1.0,0.5,100.0,1.0
3fdc134b591c,transition,2026,70214449060124,1000,3,100,0.3,2.0,1.0,0.5,100.0,1.0
2d0e6061a7df,transition,2026,49539769804767,1000,3,100,0.3,4.0,1.0,0.5,100.0,1.0
9dffeb5f130d,transition,2026,173722491097869,1000,3,200,0.3,0.5,1.0,0.5,100.0,1.0
ec229707fc7b,transition,2026,259633306926203,1000,3,200,0.3,1.0,1.0,0.5,100.0,1.0
6734f06fea05,transition,2026,113477069826565,1000,3,200,0.3,2.0,1.0,0.5,100.0,1.0
34248f22d5ac,transition,2026,57331624891820,1000,3,200,0.3,4.0,1.0,0.5,100.0,1.0
02e53cee11df,transition,2026,3183593001439,1000,5,10,0.3,0.5,1.0,0.5,100.0,1.0
8fe786265e4d,transition,2026,158224550878797,1000,5,10,0.3,1.0,1.0,0.5,100.0,1.0
903fa66acdf0,transition,2026,158603049356784,1000,5,10,0.3,2.0,1.0,0.5,100.0,1.0
13ce60adcdc1,transition,2026,21777106193857,1000,5,10,0.3,4.0,1.0,0.5,100.0,1.0
9d150692e6ed,transition,2026,172713630164717,1000,5,20,0.3,0.5,1.0,0.5,100.0,1.0
f03d75d4197f,transition,2026,264146760505727,1000,5,20,0.3,1.0,1.0,0.5,100.0,1.0
5eaee68f1cde,transition,2026,104105285459166,1000,5,20,0.3,2.0,1.0,0.5,100.0,1.0
33eb4a0c3b06,transition,2026,57085652646662,1000,5,20,0.3,4.0,1.0,0.5,100.0,1.0
044c9a0cf15f,transition,2026,4727048565087,1000,5,50,0.3,0.5,1.0,0.5,100.0,1.0
9ba3803d29b3,transition,2026,171126533466547,1000,5,50,0.3,1.0,1.0,0.5,100.0,1.0
1f59d70bf63a,transition,2026,34470720435770,1000,5,50,0.3,2.0,1.0,0.5,100.0,1.0
22f024bd0cfc,transition,2026,38414803864828,1000,5,50,0.3,4.0,1.0,0.5,100.0,1.0
