scenario_id,detector,detector_input,holder_exponent,false_alarm_target,selected_delta,selected_threshold,selected_null_alarm_rate,target_met,operating_window,high_drift,mean_t_valid,mean_t_detect,mean_gap,median_gap,positive_gap_rate,detection_rate,undetected_invalid_rate,mean_pre_detection_excess_area
adwin-observation-H0.50-alpha0.100-w160-z0.0100,adwin,observation,0.5,0.1,0.0005,0.0,0.0,1,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
adwin-observation-H0.50-alpha0.100-w160-z0.0240,adwin,observation,0.5,0.1,0.0005,0.0,0.0,1,160,0.024,1013.0,1567.0,554.0,554.0,1.0,1.0,0.0,14.546
adwin-observation-H0.50-alpha0.100-w240-z0.0100,adwin,observation,0.5,0.1,0.0005,0.0,0.0,1,240,0.01,1201.0,1833.7,632.7,718.0,1.0,1.0,0.0,7.229
adwin-observation-H0.50-alpha0.100-w240-z0.0240,adwin,observation,0.5,0.1,0.0005,0.0,0.0,1,240,0.024,907.0,1567.0,660.0,660.0,1.0,1.0,0.0,22.399
adwin-observation-H0.75-alpha0.100-w160-z0.0100,adwin,observation,0.75,0.1,0.0005,0.0,0.0,1,160,0.01,831.0,1343.0,512.0,528.0,1.0,1.0,0.0,12.539
adwin-observation-H0.75-alpha0.100-w160-z0.0240,adwin,observation,0.75,0.1,0.0005,0.0,0.0,1,160,0.024,754.0,1124.3,370.3,365.0,1.0,1.0,0.0,12.189
adwin-observation-H0.75-alpha0.100-w240-z0.0100,adwin,observation,0.75,0.1,0.0005,0.0,0.0,1,240,0.01,773.0,1343.0,570.0,586.0,1.0,1.0,0.0,18.334
adwin-observation-H0.75-alpha0.100-w240-z0.0240,adwin,observation,0.75,0.1,0.0005,0.0,0.0,1,240,0.024,731.0,1124.3,393.3,388.0,1.0,1.0,0.0,18.814
adwin-observation-H1.00-alpha0.100-w160-z0.0100,adwin,observation,1.0,0.1,0.0005,0.0,0.0,1,160,0.01,717.0,991.0,274.0,274.0,1.0,1.0,0.0,15.907
adwin-observation-H1.00-alpha0.100-w160-z0.0240,adwin,observation,1.0,0.1,0.0005,0.0,0.0,1,160,0.024,707.0,911.0,204.0,204.0,1.0,1.0,0.0,19.006
adwin-observation-H1.00-alpha0.100-w240-z0.0100,adwin,observation,1.0,0.1,0.0005,0.0,0.0,1,240,0.01,703.0,991.0,288.0,288.0,1.0,1.0,0.0,23.283
adwin-observation-H1.00-alpha0.100-w240-z0.0240,adwin,observation,1.0,0.1,0.0005,0.0,0.0,1,240,0.024,701.0,911.0,210.0,210.0,1.0,1.0,0.0,24.854
adwin-absolute_residual-H0.50-alpha0.100-w160-z0.0100,adwin,absolute_residual,0.5,0.1,0.0005,0.0,0.0,1,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
adwin-absolute_residual-H0.50-alpha0.100-w160-z0.0240,adwin,absolute_residual,0.5,0.1,0.0005,0.0,0.0,1,160,0.024,1013.0,nan,nan,nan,0.0,0.0,1.0,0.0
adwin-absolute_residual-H0.50-alpha0.100-w240-z0.0100,adwin,absolute_residual,0.5,0.1,0.0005,0.0,0.0,1,240,0.01,1201.0,nan,nan,nan,0.0,0.0,1.0,0.0
adwin-absolute_residual-H0.50-alpha0.100-w240-z0.0240,adwin,absolute_residual,0.5,0.1,0.0005,0.0,0.0,1,240,0.024,907.0,nan,nan,nan,0.0,0.0,1.0,0.0
adwin-absolute_residual-H0.75-alpha0.100-w160-z0.0100,adwin,absolute_residual,0.75,0.1,0.0005,0.0,0.0,1,160,0.01,831.0,nan,nan,nan,0.0,0.0,1.0,0.0
adwin-absolute_residual-H0.75-alpha0.100-w160-z0.0240,adwin,absolute_residual,0.75,0.1,0.0005,0.0,0.0,1,160,0.024,754.0,nan,nan,nan,0.0,0.0,1.0,0.0
adwin-absolute_residual-H0.75-alpha0.100-w240-z0.0100,adwin,absolute_residual,0.75,0.1,0.0005,0.0,0.0,1,240,0.01,773.0,nan,nan,nan,0.0,0.0,1.0,0.0
adwin-absolute_residual-H0.75-alpha0.100-w240-z0.0240,adwin,absolute_residual,0.75,0.1,0.0005,0.0,0.0,1,240,0.024,731.0,1631.0,900.0,900.0,1.0,0.167,0.833,32.7
adwin-absolute_residual-H1.00-alpha0.100-w160-z0.0100,adwin,absolute_residual,1.0,0.1,0.0005,0.0,0.0,1,160,0.01,717.0,1620.3,903.3,882.0,1.0,1.0,0.0,277.833
adwin-absolute_residual-H1.00-alpha0.100-w160-z0.0240,adwin,absolute_residual,1.0,0.1,0.0005,0.0,0.0,1,160,0.024,707.0,1156.3,449.3,444.0,1.0,1.0,0.0,157.517
adwin-absolute_residual-H1.00-alpha0.100-w240-z0.0100,adwin,absolute_residual,1.0,0.1,0.0005,0.0,0.0,1,240,0.01,703.0,1396.3,693.3,704.0,1.0,1.0,0.0,237.568
adwin-absolute_residual-H1.00-alpha0.100-w240-z0.0240,adwin,absolute_residual,1.0,0.1,0.0005,0.0,0.0,1,240,0.024,701.0,1065.7,364.7,370.0,1.0,1.0,0.0,126.077
page_hinkley-observation-H0.50-alpha0.100-w160-z0.0100,page_hinkley,observation,0.5,0.1,0.02,100.0,0.0,1,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
page_hinkley-observation-H0.50-alpha0.100-w160-z0.0240,page_hinkley,observation,0.5,0.1,0.02,100.0,0.0,1,160,0.024,1013.0,1522.2,509.2,512.5,1.0,1.0,0.0,13.457
page_hinkley-observation-H0.50-alpha0.100-w240-z0.0100,page_hinkley,observation,0.5,0.1,0.02,100.0,0.0,1,240,0.01,1201.0,1728.0,527.0,555.0,1.0,1.0,0.0,6.002
page_hinkley-observation-H0.50-alpha0.100-w240-z0.0240,page_hinkley,observation,0.5,0.1,0.02,100.0,0.0,1,240,0.024,907.0,1522.2,615.2,618.5,1.0,1.0,0.0,18.882
page_hinkley-observation-H0.75-alpha0.100-w160-z0.0100,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,160,0.01,831.0,1289.3,458.3,445.0,1.0,1.0,0.0,9.726
page_hinkley-observation-H0.75-alpha0.100-w160-z0.0240,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,160,0.024,754.0,1112.2,358.2,369.0,1.0,1.0,0.0,10.888
page_hinkley-observation-H0.75-alpha0.100-w240-z0.0100,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,240,0.01,773.0,1289.3,516.3,503.0,1.0,1.0,0.0,14.583
page_hinkley-observation-H0.75-alpha0.100-w240-z0.0240,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,240,0.024,731.0,1112.2,381.2,392.0,1.0,1.0,0.0,16.615
page_hinkley-observation-H1.00-alpha0.100-w160-z0.0100,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,160,0.01,717.0,972.2,255.2,247.0,1.0,1.0,0.0,12.701
page_hinkley-observation-H1.00-alpha0.100-w160-z0.0240,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,160,0.024,707.0,910.8,203.8,211.0,1.0,1.0,0.0,19.933
page_hinkley-observation-H1.00-alpha0.100-w240-z0.0100,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,240,0.01,703.0,972.2,269.2,261.0,1.0,1.0,0.0,18.809
page_hinkley-observation-H1.00-alpha0.100-w240-z0.0240,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,240,0.024,701.0,910.8,209.8,217.0,1.0,1.0,0.0,26.174
