run_id,detector,detector_input,detector_delta,mean_t_valid,mean_t_detect,mean_gap,median_gap,gap_q10,gap_q90,std_gap,mean_gap_se,positive_gap_rate,detection_rate,undetected_invalid_rate,mean_pre_detection_excess_area
af6d5233bea3,adwin,observation,0.0005,1202.0,1671.0,469.0,493.0,368.2,553.8,68.0,20.51,1.0,1.0,0.0,9.274
af6d5233bea3,adwin,observation,0.001,1202.0,1657.7,455.7,477.0,339.4,550.6,71.4,21.51,1.0,1.0,0.0,8.803
af6d5233bea3,adwin,observation,0.002,1202.0,1641.7,439.7,445.0,339.4,521.8,74.3,22.4,1.0,1.0,0.0,8.023
af6d5233bea3,adwin,observation,0.004,1202.0,1631.0,429.0,445.0,310.6,521.8,71.6,21.57,1.0,1.0,0.0,7.408
ba713a22b212,adwin,observation,0.0005,1108.0,1671.0,563.0,587.0,462.2,647.8,68.0,20.51,1.0,1.0,0.0,13.534
ba713a22b212,adwin,observation,0.001,1108.0,1657.7,549.7,571.0,433.4,644.6,71.4,21.51,1.0,1.0,0.0,12.773
ba713a22b212,adwin,observation,0.002,1108.0,1641.7,533.7,539.0,433.4,615.8,74.3,22.4,1.0,1.0,0.0,11.527
ba713a22b212,adwin,observation,0.004,1108.0,1631.0,523.0,539.0,404.6,615.8,71.6,21.57,1.0,1.0,0.0,10.847
02d41f680fbd,adwin,observation,0.0005,1051.0,1671.0,620.0,644.0,519.2,704.8,68.0,20.51,1.0,1.0,0.0,20.406
02d41f680fbd,adwin,observation,0.001,1051.0,1657.7,606.7,628.0,490.4,701.6,71.4,21.51,1.0,1.0,0.0,19.362
02d41f680fbd,adwin,observation,0.002,1051.0,1641.7,590.7,596.0,490.4,672.8,74.3,22.4,1.0,1.0,0.0,17.925
02d41f680fbd,adwin,observation,0.004,1051.0,1631.0,580.0,596.0,461.6,672.8,71.6,21.57,1.0,1.0,0.0,16.885
6304897c6edc,adwin,absolute_residual,0.0005,1202.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
6304897c6edc,adwin,absolute_residual,0.001,1202.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
6304897c6edc,adwin,absolute_residual,0.002,1202.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
6304897c6edc,adwin,absolute_residual,0.004,1202.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
9dba555470ca,adwin,absolute_residual,0.0005,1108.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
9dba555470ca,adwin,absolute_residual,0.001,1108.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
9dba555470ca,adwin,absolute_residual,0.002,1108.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
9dba555470ca,adwin,absolute_residual,0.004,1108.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
691fa6d4611c,adwin,absolute_residual,0.0005,1051.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
691fa6d4611c,adwin,absolute_residual,0.001,1051.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
691fa6d4611c,adwin,absolute_residual,0.002,1051.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
691fa6d4611c,adwin,absolute_residual,0.004,1051.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,0.0
15f80374d01a,page_hinkley,observation,0.0005,1202.0,1464.6,262.6,248.5,92.7,396.5,110.9,33.43,1.0,1.0,0.0,4.348
15f80374d01a,page_hinkley,observation,0.001,1202.0,1465.1,263.1,249.0,93.7,396.5,111.0,33.48,1.0,1.0,0.0,4.362
15f80374d01a,page_hinkley,observation,0.002,1202.0,1478.4,276.4,296.5,93.7,396.6,112.3,33.87,1.0,1.0,0.0,4.445
15f80374d01a,page_hinkley,observation,0.004,1202.0,1407.1,205.1,246.5,11.0,353.5,129.1,38.92,1.0,1.0,0.0,3.551
3b8b4c1d2e3d,page_hinkley,observation,0.0005,1108.0,1394.6,286.6,324.5,78.1,446.6,138.2,41.66,1.0,1.0,0.0,5.794
3b8b4c1d2e3d,page_hinkley,observation,0.001,1108.0,1396.2,288.2,325.5,92.4,446.6,136.2,41.07,1.0,1.0,0.0,5.845
3b8b4c1d2e3d,page_hinkley,observation,0.002,1108.0,1410.0,302.0,343.0,96.0,450.5,143.5,43.27,1.0,1.0,0.0,5.98
3b8b4c1d2e3d,page_hinkley,observation,0.004,1108.0,1407.1,299.1,340.5,105.0,447.5,129.1,38.92,1.0,1.0,0.0,5.957
cb2eb6acdf93,page_hinkley,observation,0.0005,1051.0,1394.6,343.6,381.5,135.1,503.6,138.2,41.66,1.0,1.0,0.0,8.187
cb2eb6acdf93,page_hinkley,observation,0.001,1051.0,1396.2,345.2,382.5,149.4,503.6,136.2,41.07,1.0,1.0,0.0,8.202
cb2eb6acdf93,page_hinkley,observation,0.002,1051.0,1369.8,318.8,370.0,109.1,504.6,163.6,49.33,1.0,1.0,0.0,7.439
cb2eb6acdf93,page_hinkley,observation,0.004,1051.0,1375.3,324.3,373.5,155.1,504.5,157.2,47.4,1.0,1.0,0.0,7.45
885b45fe0030,page_hinkley,absolute_residual,0.0005,1202.0,2195.6,993.6,788.0,407.0,1688.2,587.4,293.7,1.0,0.417,0.583,16.944
885b45fe0030,page_hinkley,absolute_residual,0.001,1202.0,2196.6,994.6,788.0,408.0,1689.4,587.4,293.7,1.0,0.417,0.583,17.002
885b45fe0030,page_hinkley,absolute_residual,0.002,1202.0,2497.4,1295.4,1365.0,748.2,1828.4,477.5,238.75,1.0,0.417,0.583,25.916
885b45fe0030,page_hinkley,absolute_residual,0.004,1202.0,2379.8,1177.8,1098.0,775.0,1644.3,416.4,240.43,1.0,0.333,0.667,18.491
cda845aaf300,page_hinkley,absolute_residual,0.0005,1108.0,2473.0,1365.0,1246.5,652.1,2253.5,682.6,258.0,1.0,0.667,0.333,67.514
cda845aaf300,page_hinkley,absolute_residual,0.001,1108.0,2497.5,1389.5,1256.5,652.1,2310.6,713.4,269.64,1.0,0.667,0.333,69.349
cda845aaf300,page_hinkley,absolute_residual,0.002,1108.0,2546.7,1438.7,1420.0,607.2,2341.4,755.8,308.54,1.0,0.583,0.417,64.33
cda845aaf300,page_hinkley,absolute_residual,0.004,1108.0,2772.7,1664.7,1725.0,874.0,2365.0,593.8,242.41,1.0,0.583,0.417,78.646
86435ef51ab9,page_hinkley,absolute_residual,0.0005,1051.0,2493.2,1442.2,1366.0,847.0,2352.0,636.8,201.39,1.0,0.917,0.083,151.242
86435ef51ab9,page_hinkley,absolute_residual,0.001,1051.0,2391.1,1340.1,1346.5,801.8,2111.1,565.1,188.37,1.0,0.833,0.167,114.358
86435ef51ab9,page_hinkley,absolute_residual,0.002,1051.0,2413.2,1362.2,1388.0,801.9,2168.1,575.4,191.8,1.0,0.833,0.167,118.871
86435ef51ab9,page_hinkley,absolute_residual,0.004,1051.0,2596.9,1545.9,1500.5,870.2,2171.1,492.5,164.16,1.0,0.833,0.167,147.691
