run_id,seed,t_valid,t_detect,invalidity_gap,detected,pre_detection_excess_area
af6d5233bea3,0,1202,1727,525,1,8.03726
af6d5233bea3,1,1202,1695,493,1,18.017861
af6d5233bea3,2,1202,1535,333,1,5.441604
af6d5233bea3,3,1202,1663,461,1,7.395422
af6d5233bea3,4,1202,1695,493,1,4.815922
af6d5233bea3,5,1202,1759,557,1,14.781559
af6d5233bea3,6,1202,1759,557,1,14.983713
af6d5233bea3,7,1202,1567,365,1,2.091996
af6d5233bea3,8,1202,1599,397,1,4.959966
af6d5233bea3,9,1202,1695,493,1,9.353197
af6d5233bea3,10,1202,1695,493,1,15.131339
af6d5233bea3,11,1202,1663,461,1,6.281193
ba713a22b212,0,1108,1727,619,1,10.69783
ba713a22b212,1,1108,1695,587,1,28.256031
ba713a22b212,2,1108,1535,427,1,2.680913
ba713a22b212,3,1108,1663,555,1,11.13544
ba713a22b212,4,1108,1695,587,1,9.942855
ba713a22b212,5,1108,1759,651,1,17.810724
ba713a22b212,6,1108,1759,651,1,16.482431
ba713a22b212,7,1108,1567,459,1,3.195928
ba713a22b212,8,1108,1599,491,1,10.304972
ba713a22b212,9,1108,1695,587,1,16.447456
ba713a22b212,10,1108,1695,587,1,22.233065
ba713a22b212,11,1108,1663,555,1,13.224669
02d41f680fbd,0,1051,1727,676,1,15.108993
02d41f680fbd,1,1051,1695,644,1,39.4784
02d41f680fbd,2,1051,1535,484,1,2.886692
02d41f680fbd,3,1051,1663,612,1,20.257833
02d41f680fbd,4,1051,1695,644,1,17.8071
02d41f680fbd,5,1051,1759,708,1,28.53277
02d41f680fbd,6,1051,1759,708,1,21.667746
02d41f680fbd,7,1051,1567,516,1,7.959552
02d41f680fbd,8,1051,1599,548,1,18.946464
02d41f680fbd,9,1051,1695,644,1,26.04905
02d41f680fbd,10,1051,1695,644,1,25.427936
02d41f680fbd,11,1051,1663,612,1,20.745094
6304897c6edc,0,1202,,,0,0.0
6304897c6edc,1,1202,,,0,0.0
6304897c6edc,2,1202,,,0,0.0
6304897c6edc,3,1202,,,0,0.0
6304897c6edc,4,1202,,,0,0.0
6304897c6edc,5,1202,,,0,0.0
6304897c6edc,6,1202,,,0,0.0
6304897c6edc,7,1202,,,0,0.0
6304897c6edc,8,1202,,,0,0.0
6304897c6edc,9,1202,,,0,0.0
6304897c6edc,10,1202,,,0,0.0
6304897c6edc,11,1202,,,0,0.0
9dba555470ca,0,1108,,,0,0.0
9dba555470ca,1,1108,,,0,0.0
9dba555470ca,2,1108,,,0,0.0
9dba555470ca,3,1108,,,0,0.0
9dba555470ca,4,1108,,,0,0.0
9dba555470ca,5,1108,,,0,0.0
9dba555470ca,6,1108,,,0,0.0
9dba555470ca,7,1108,,,0,0.0
9dba555470ca,8,1108,,,0,0.0
9dba555470ca,9,1108,,,0,0.0
