run_id,profile_name,phase_index,phase_length,holder_truth,roughness_truth,mean_oracle_window,mean_plugin_window,mean_activity_window,mean_ewma_window,mean_kalman_window,mean_structural_window,mean_adaptive_window,mean_oracle_error,mean_plugin_error,mean_activity_error,mean_ewma_error,mean_kalman_error,mean_structural_error,mean_adaptive_error
dd6abdcd64e3,default,0,204,1.0,0.001,92.0,150.995,31.819,31.819,20.917,118.441,137.49,0.095951,0.193049,0.190555,0.199646,0.19788,0.091456,0.091264
dd6abdcd64e3,default,1,300,0.75,0.08,21.543,156.043,31.67,31.67,25.463,44.517,49.34,0.201742,1.185132,0.308386,0.276054,0.252303,0.293119,0.301234
dd6abdcd64e3,default,2,300,0.5,0.001,150.707,146.233,26.637,26.637,21.537,48.577,66.213,0.070243,0.452398,0.168674,0.165792,0.164784,0.109395,0.105831
dd6abdcd64e3,default,3,300,1.0,0.08,13.787,39.03,8.803,8.803,8.633,16.893,24.543,0.347949,1.066312,0.359697,0.358837,0.358711,0.44332,0.419876
e292312e68c8,default,0,204,1.0,0.001,92.0,181.755,50.735,50.735,33.564,108.843,125.255,0.157388,0.203134,0.159273,0.310958,0.186134,0.148366,0.152779
e292312e68c8,default,1,300,0.75,0.08,21.543,149.793,32.287,32.287,23.317,40.24,50.637,0.240697,1.151099,0.389236,0.316499,0.303054,0.318198,0.333845
e292312e68c8,default,2,300,0.5,0.001,150.707,153.317,26.313,26.313,21.63,37.33,46.57,0.140512,0.472192,0.253853,0.234697,0.231789,0.228967,0.219981
e292312e68c8,default,3,300,1.0,0.08,13.787,53.94,8.433,8.433,8.29,18.85,15.567,0.321612,1.614749,0.327091,0.330838,0.328749,0.468254,0.400931
b4d0b40e1454,default,0,204,1.0,0.001,92.0,185.324,56.01,56.01,37.985,99.882,106.289,0.082516,0.158307,0.139076,0.140073,0.153779,0.090523,0.094969
b4d0b40e1454,default,1,300,0.75,0.08,21.543,144.177,21.133,21.133,16.2,20.683,17.487,0.220789,1.147613,0.259551,0.235038,0.221586,0.259096,0.253992
b4d0b40e1454,default,2,300,0.5,0.001,150.707,150.187,31.677,31.677,22.683,54.87,61.807,0.024756,0.384581,0.139683,0.121487,0.137432,0.073361,0.073086
b4d0b40e1454,default,3,300,1.0,0.08,13.787,46.337,8.563,8.563,8.363,21.2,29.373,0.316052,1.409284,0.332871,0.345252,0.341263,0.451684,0.415862
