run_id,profile_name,seed,observation_scale,aggregated_history,validation_tail,max_window_index_jump,best_static_window,mean_oracle_error,mean_plugin_error,mean_activity_error,mean_ewma_error,mean_kalman_error,mean_structural_error,mean_adaptive_error,mean_best_static_error,plugin_to_oracle_ratio,activity_to_oracle_ratio,ewma_to_oracle_ratio,kalman_to_oracle_ratio,structural_to_oracle_ratio,adaptive_to_oracle_ratio,structural_beats_plugin,structural_beats_activity,structural_beats_ewma,structural_beats_kalman,adaptive_beats_structural
dd6abdcd64e3,default,0,1.0,160,160,1,12,0.186191,0.770412,0.262591,0.254468,0.247379,0.246746,0.241576,0.271887,4.137762,1.410334,1.366709,1.328636,1.325233,1.297469,1,1,1,1,1
e292312e68c8,default,1,1.0,160,160,1,12,0.220066,0.917438,0.293067,0.297143,0.269066,0.303344,0.287676,0.284684,4.168912,1.331718,1.350242,1.222658,1.378422,1.307223,1,0,0,0,1
b4d0b40e1454,default,2,1.0,160,160,1,12,0.167855,0.828567,0.22464,0.216583,0.218709,0.229809,0.219435,0.259233,4.936198,1.338297,1.290298,1.302962,1.369088,1.307284,1,0,0,0,1
dd84eef30c0b,smooth,0,1.0,160,160,1,41,0.148605,0.453251,0.198883,0.189234,0.185199,0.172213,0.177687,0.151723,3.050027,1.338329,1.273398,1.246243,1.158858,1.195697,1,1,1,1,0
f133675f56e1,smooth,1,1.0,160,160,1,33,0.164501,0.480605,0.233805,0.242793,0.209341,0.212411,0.212032,0.181923,2.921592,1.4213,1.475932,1.272579,1.291243,1.288938,1,1,1,0,1
e84b603f1f73,smooth,2,1.0,160,160,1,33,0.120645,0.451935,0.175991,0.163103,0.17004,0.147255,0.149079,0.121993,3.745996,1.458754,1.351929,1.409424,1.220571,1.235687,1,1,1,1,0
f58dc09c17e8,rough,0,1.0,160,160,1,61,0.110419,0.275583,0.182562,0.170911,0.169796,0.14797,0.164939,0.109556,2.49579,1.653351,1.547839,1.537743,1.340077,1.493758,1,1,1,1,0
d295f24ffe5d,rough,1,1.0,160,160,1,41,0.135505,0.296058,0.189036,0.210082,0.182984,0.170762,0.176699,0.152694,2.184854,1.395053,1.550368,1.350385,1.260189,1.304008,1,1,1,1,0
76a5f5b58eab,rough,2,1.0,160,160,1,61,0.091416,0.28203,0.17251,0.165691,0.169807,0.118196,0.125811,0.104248,3.085121,1.887083,1.812489,1.857515,1.292943,1.376242,1,1,1,1,0
76e03a9a30c9,alternating,0,1.0,160,160,1,61,0.111579,0.260547,0.19586,0.178307,0.177029,0.138894,0.160119,0.111654,2.335084,1.755347,1.598032,1.586578,1.244804,1.435029,1,1,1,1,0
54701234acc5,alternating,1,1.0,160,160,1,61,0.121472,0.234296,0.174819,0.189718,0.169928,0.135945,0.141015,0.117446,1.928797,1.439166,1.561824,1.398903,1.119142,1.160882,1,1,1,1,0
0665c2b1475e,alternating,2,1.0,160,160,1,50,0.100996,0.265423,0.177073,0.165402,0.170786,0.136921,0.14865,0.10935,2.628049,1.753266,1.6377,1.691014,1.355699,1.471834,1,1,1,1,0
8f83335ff7a0,ramp_up,0,1.0,160,160,1,41,0.155376,0.477056,0.231323,0.212148,0.205624,0.191922,0.204737,0.168445,3.070333,1.488796,1.365386,1.323399,1.235208,1.317687,1,1,1,1,0
8d82408c1d02,ramp_up,1,1.0,160,160,1,33,0.177161,0.463432,0.221542,0.229061,0.196984,0.203494,0.21327,0.177763,2.615876,1.250511,1.292954,1.11189,1.148637,1.203817,1,1,1,0,0
a9c1a60165b7,ramp_up,2,1.0,160,160,1,33,0.144502,0.439455,0.187086,0.17229,0.174792,0.167761,0.167755,0.141663,3.041163,1.294691,1.192298,1.209611,1.160955,1.160914,1,1,1,1,1
