run_id,time,phase_index,latent_mean,observation,holder_truth,roughness_truth,oracle_window,plugin_window,activity_window,ewma_window,kalman_window,structural_window,adaptive_window,oracle_error,plugin_error,activity_error,ewma_error,kalman_error,structural_error,adaptive_error,plugin_holder_hat,plugin_roughness_hat,structural_holder_hat,structural_roughness_hat,adaptive_holder_hat,adaptive_roughness_hat,activity_proxy,ewma_alpha,kalman_gain,structural_band_min,structural_band_max,structural_validation_score,adaptive_validation_score
dd6abdcd64e3,96,0,0.096,0.25701,1.0,0.001,92,256,10,10,8,10,10,0.076616,0.069917,0.374506,0.872372,0.587123,0.374506,0.374506,0.35,0.0001,0.35,0.005065,0.35,0.0001,0.0,0.181818,0.509901,33,92,0.820537,0.820537
dd6abdcd64e3,160,0,0.16,0.673052,1.0,0.001,92,8,12,12,15,139,139,0.09298,0.613977,0.410379,0.45351,0.436028,0.026266,0.026266,0.35,0.25,0.35,0.038082,0.35,0.25,0.067393,0.153846,0.136649,18,139,0.686731,0.686731
dd6abdcd64e3,224,0,0.224,-0.276008,1.0,0.001,92,256,170,170,50,139,139,0.080954,0.100083,0.097918,0.059975,0.043131,0.100549,0.100549,0.35,0.0001,0.35,0.002968,0.35,0.0001,0.005092,0.011696,0.036216,75,209,0.763497,0.763497
dd6abdcd64e3,288,0,0.288,-0.352262,1.0,0.001,92,256,41,41,27,256,256,0.186548,0.144802,0.252124,0.470241,0.496509,0.144802,0.144802,1.05,0.0001,0.35,0.006677,1.05,0.0001,0.021634,0.047619,0.075809,92,256,0.808341,0.808341
dd6abdcd64e3,352,1,-1.250147,-1.645156,0.75,0.08,10,52,75,75,41,61,27,0.183106,0.56621,0.782416,0.380581,0.323617,0.739996,0.277155,1.05,0.001725,0.35,0.086756,1.05,0.001725,0.010276,0.026316,0.043675,12,61,0.864334,0.853631
dd6abdcd64e3,416,1,-2.528701,-2.969169,0.75,0.08,12,256,33,33,27,15,8,0.100943,1.970431,0.150603,0.104492,0.032993,0.076635,0.30979,1.05,0.0001,1.05,0.005236,1.05,0.0001,0.021725,0.058824,0.075121,12,41,0.818564,0.810118
dd6abdcd64e3,480,1,-3.632374,-3.085278,0.75,0.08,12,256,18,18,12,18,18,0.272451,2.280443,0.028511,0.152305,0.214789,0.028511,0.028511,1.05,0.0001,1.05,0.00124,1.05,0.0001,0.04412,0.105263,0.141525,15,113,0.845554,0.845554
dd6abdcd64e3,544,1,-4.639924,-3.833905,0.75,0.08,15,13,27,27,33,18,18,0.199882,0.122297,0.267213,0.37906,0.363301,0.298319,0.298319,0.414238,0.075928,0.990729,0.016797,0.414238,0.075928,0.030088,0.071429,0.057333,12,22,0.838505,0.838505
dd6abdcd64e3,608,2,-5.450496,-6.793585,0.5,0.001,18,256,15,15,10,18,18,0.250176,1.881517,0.201851,0.056854,0.020366,0.250176,0.250176,1.05,0.0001,1.05,0.005373,1.05,0.0001,0.058871,0.125,0.164877,12,41,0.806834,0.806834
dd6abdcd64e3,672,2,-5.444839,-5.113723,0.5,0.001,75,256,27,27,18,18,18,0.018344,1.008982,0.13012,0.129178,0.115046,0.084327,0.084327,1.05,0.0001,0.752176,0.029829,1.05,0.0001,0.031757,0.071429,0.103395,12,27,0.794418,0.794418
