H,window,relative_gap,excess_error
0.50,1.0,4.79579,0.69344
0.50,2.0,4.10264,0.46021
0.50,3.0,3.69718,0.35769
0.50,4.0,3.4095,0.29466
0.50,5.0,3.18635,0.25406
0.50,6.0,3.00403,0.22381
0.50,7.0,2.84988,0.19911
0.50,8.0,2.71635,0.17981
0.50,9.0,2.59857,0.16164
0.50,10.0,2.49321,0.14856
0.50,11.0,2.3979,0.13767
0.50,12.0,2.31088,0.12839
0.50,13.0,2.23084,0.11897
0.50,14.0,2.15673,0.1111
0.50,15.0,2.08774,0.103
0.50,16.0,2.0232,0.09771
0.50,17.0,1.96258,0.09152
0.50,18.0,1.90542,0.08582
0.50,19.0,1.85135,0.08105
0.50,20.0,1.80006,0.0762
0.50,21.0,1.75127,0.07365
0.50,22.0,1.70475,0.06935
0.50,23.0,1.6603,0.06496
0.50,24.0,1.61774,0.06206
0.50,26.0,1.53769,0.05628
0.50,27.0,1.49995,0.05338
0.50,28.0,1.46359,0.05145
0.50,30.0,1.39459,0.04712
0.50,31.0,1.3618,0.04472
0.50,33.0,1.29928,0.03964
0.50,34.0,1.26943,0.0392
0.50,36.0,1.21227,0.03493
0.50,38.0,1.1582,0.03113
0.50,40.0,1.10691,0.02886
0.50,42.0,1.05812,0.02607
0.50,44.0,1.0116,0.02388
0.50,46.0,0.96715,0.02189
0.50,48.0,0.92459,0.0194
0.50,50.0,0.88377,0.01863
0.50,53.0,0.8255,0.01572
0.50,56.0,0.77044,0.01416
0.50,58.0,0.73535,0.01152
0.50,61.0,0.68492,0.01053
0.50,64.0,0.63691,0.00973
0.50,67.0,0.5911,0.00801
0.50,71.0,0.53311,0.00577
0.50,74.0,0.49173,0.00504
0.50,78.0,0.43908,0.00385
0.50,82.0,0.38907,0.00312
0.50,86.0,0.34144,0.00134
0.50,90.0,0.29598,0.00115
0.50,95.0,0.24191,0.00087
0.50,99.0,0.20067,0.00139
0.50,104.0,0.1514,0.00078
0.50,109.0,0.10444,1e-05
0.50,115.0,0.05086,0.00021
0.50,121.0,0.0,0.0
0.50,127.0,0.0484,0.00086
0.50,133.0,0.09456,0.00137
0.50,139.0,0.13868,0.00191
0.50,146.0,0.18782,0.00365
0.50,154.0,0.24116,0.004
0.50,161.0,0.28561,0.00481
0.50,169.0,0.33411,0.0064
0.50,178.0,0.38599,0.00857
0.50,186.0,0.42996,0.00994
0.50,196.0,0.48232,0.01198
0.50,205.0,0.52722,0.01352
0.50,215.0,0.57485,0.01654
0.50,226.0,0.62474,0.01879
0.50,237.0,0.67227,0.02055
0.50,249.0,0.72166,0.02385
0.50,262.0,0.77255,0.02677
0.50,274.0,0.81734,0.02953
0.50,288.0,0.86717,0.03302
0.50,302.0,0.91464,0.03576
0.50,317.0,0.96311,0.0388
0.50,333.0,1.01235,0.04214
0.50,350.0,1.06214,0.04624
0.50,367.0,1.10957,0.04941
0.50,385.0,1.15745,0.05325
0.50,404.0,1.20562,0.05709
0.50,424.0,1.25394,0.06102
0.50,445.0,1.30228,0.0654
0.50,467.0,1.35054,0.06904
0.50,491.0,1.40065,0.07336
0.50,515.0,1.44838,0.07796
0.50,541.0,1.49763,0.08223
0.50,567.0,1.54457,0.08654
0.50,595.0,1.59277,0.09117
0.50,625.0,1.64196,0.09651
0.50,656.0,1.69037,0.10123
0.50,689.0,1.73945,0.10614
0.50,723.0,1.78762,0.11155
0.50,758.0,1.83489,0.1168
0.50,796.0,1.88381,0.12215
0.50,836.0,1.93284,0.1277
0.50,877.0,1.98072,0.13321
0.50,921.0,2.02967,0.13925
0.50,966.0,2.07737,0.14522
0.50,1014.0,2.12587,0.15108
0.50,1064.0,2.174,0.15726
0.50,1117.0,2.22261,0.1637
0.50,1173.0,2.27153,0.17053
0.50,1231.0,2.31979,0.17708
0.50,1292.0,2.36816,0.18418
0.50,1356.0,2.4165,0.19087
0.50,1423.0,2.46473,0.1981
0.50,1494.0,2.51342,0.20565
0.50,1568.0,2.56177,0.21319
0.50,1645.0,2.60971,0.2209
0.50,1727.0,2.65835,0.22876
0.50,1813.0,2.70695,0.2368
0.50,1903.0,2.7554,0.24543
0.50,1997.0,2.80361,0.25385
0.50,2096.0,2.852,0.26261
0.50,2200.0,2.90042,0.27163
0.75,1.0,3.63759,0.62858
0.75,2.0,2.94444,0.40232
0.75,3.0,2.53897,0.29709
0.75,4.0,2.25129,0.23298
0.75,5.0,2.02815,0.19277
0.75,6.0,1.84583,0.16069
0.75,7.0,1.69168,0.13785
0.75,8.0,1.55814,0.11887
0.75,9.0,1.44036,0.1023
0.75,10.0,1.335,0.09047
0.75,11.0,1.23969,0.07876
0.75,12.0,1.15268,0.0697
0.75,13.0,1.07264,0.06076
0.75,14.0,0.99853,0.05408
0.75,15.0,0.92954,0.04553
0.75,16.0,0.865,0.04121
0.75,17.0,0.80437,0.03567
0.75,18.0,0.74721,0.03055
0.75,19.0,0.69315,0.02732
0.75,20.0,0.64185,0.02285
0.75,21.0,0.59306,0.02092
0.75,22.0,0.54654,0.01676
0.75,23.0,0.50209,0.01465
0.75,24.0,0.45953,0.01277
