H,zeta,optimal_window,optimal_error,theory_window
0.50,0.003,274.0,0.06346,289.77
0.50,0.005,169.0,0.08193,173.86
0.50,0.008,121.0,0.10358,108.66
0.50,0.012,71.0,0.12631,72.44
0.50,0.018,50.0,0.15549,48.29
0.50,0.027,31.0,0.19027,32.2
0.75,0.003,86.0,0.11073,84.87
0.75,0.005,56.0,0.13596,56.4
0.75,0.008,38.0,0.16473,38.72
0.75,0.012,28.0,0.19386,28.0
0.75,0.018,20.0,0.22748,20.24
0.75,0.027,15.0,0.2682,14.63
1.00,0.003,36.0,0.15951,36.58
1.00,0.005,27.0,0.18938,26.02
1.00,0.008,18.0,0.22092,19.02
1.00,0.012,16.0,0.25422,14.52
1.00,0.018,11.0,0.29083,11.08
1.00,0.027,8.0,0.33261,8.46
