experiment,ambient_dim,intrinsic_dim,epsilon,sample_size,sample_role,mean_cost
linearization_remainder,8,2,0.1,24,triangular_window,0.0023112505
linearization_remainder,8,2,0.1,24,iid_mixture,0.0021122273
linearization_remainder,8,2,0.1,48,triangular_window,0.0011925288
linearization_remainder,8,2,0.1,48,iid_mixture,0.0014106732
linearization_remainder,8,2,0.1,96,triangular_window,0.0005930014
linearization_remainder,8,2,0.1,96,iid_mixture,0.0007589102
linearization_remainder,8,2,0.1,160,triangular_window,0.0003462788
linearization_remainder,8,2,0.1,160,iid_mixture,0.0003927883
linearization_remainder,8,2,0.2,24,triangular_window,0.0017996764
linearization_remainder,8,2,0.2,24,iid_mixture,0.0016487225
linearization_remainder,8,2,0.2,48,triangular_window,0.0009453527
linearization_remainder,8,2,0.2,48,iid_mixture,0.001151239
linearization_remainder,8,2,0.2,96,triangular_window,0.000469599
linearization_remainder,8,2,0.2,96,iid_mixture,0.0006281461
linearization_remainder,8,2,0.2,160,triangular_window,0.0002690151
linearization_remainder,8,2,0.2,160,iid_mixture,0.0003020022
linearization_remainder,8,2,0.3,24,triangular_window,0.001615408
linearization_remainder,8,2,0.3,24,iid_mixture,0.0014914625
linearization_remainder,8,2,0.3,48,triangular_window,0.0008629812
linearization_remainder,8,2,0.3,48,iid_mixture,0.0010677399
linearization_remainder,8,2,0.3,96,triangular_window,0.0004269858
linearization_remainder,8,2,0.3,96,iid_mixture,0.0005876086
linearization_remainder,8,2,0.3,160,triangular_window,0.0002432248
linearization_remainder,8,2,0.3,160,iid_mixture,0.0002716252
linearization_remainder,8,2,0.5,24,triangular_window,0.0014676387
linearization_remainder,8,2,0.5,24,iid_mixture,0.0013693564
linearization_remainder,8,2,0.5,48,triangular_window,0.0007990689
linearization_remainder,8,2,0.5,48,iid_mixture,0.0010048224
linearization_remainder,8,2,0.5,96,triangular_window,0.0003939071
linearization_remainder,8,2,0.5,96,iid_mixture,0.0005576982
linearization_remainder,8,2,0.5,160,triangular_window,0.0002235537
linearization_remainder,8,2,0.5,160,iid_mixture,0.0002483537
linearization_remainder,12,2,0.1,24,triangular_window,0.00183075
linearization_remainder,12,2,0.1,24,iid_mixture,0.0018796333
linearization_remainder,12,2,0.1,48,triangular_window,0.0009309968
linearization_remainder,12,2,0.1,48,iid_mixture,0.0013087079
linearization_remainder,12,2,0.1,96,triangular_window,0.0006558713
linearization_remainder,12,2,0.1,96,iid_mixture,0.0008354688
linearization_remainder,12,2,0.1,160,triangular_window,0.0003111799
linearization_remainder,12,2,0.1,160,iid_mixture,0.0003501003
linearization_remainder,12,2,0.2,24,triangular_window,0.0013492815
linearization_remainder,12,2,0.2,24,iid_mixture,0.001437538
linearization_remainder,12,2,0.2,48,triangular_window,0.0006848781
linearization_remainder,12,2,0.2,48,iid_mixture,0.0010254149
linearization_remainder,12,2,0.2,96,triangular_window,0.0005063811
linearization_remainder,12,2,0.2,96,iid_mixture,0.0006821793
linearization_remainder,12,2,0.2,160,triangular_window,0.0002363703
linearization_remainder,12,2,0.2,160,iid_mixture,0.000280462
linearization_remainder,12,2,0.3,24,triangular_window,0.0011792402
linearization_remainder,12,2,0.3,24,iid_mixture,0.0012867148
linearization_remainder,12,2,0.3,48,triangular_window,0.00060236
linearization_remainder,12,2,0.3,48,iid_mixture,0.000926396
linearization_remainder,12,2,0.3,96,triangular_window,0.0004526709
linearization_remainder,12,2,0.3,96,iid_mixture,0.0006308394
linearization_remainder,12,2,0.3,160,triangular_window,0.0002120329
linearization_remainder,12,2,0.3,160,iid_mixture,0.0002586107
linearization_remainder,12,2,0.5,24,triangular_window,0.0010449161
linearization_remainder,12,2,0.5,24,iid_mixture,0.0011698791
linearization_remainder,12,2,0.5,48,triangular_window,0.0005384429
linearization_remainder,12,2,0.5,48,iid_mixture,0.0008494205
linearization_remainder,12,2,0.5,96,triangular_window,0.000409779
linearization_remainder,12,2,0.5,96,iid_mixture,0.0005914579
linearization_remainder,12,2,0.5,160,triangular_window,0.000193373
linearization_remainder,12,2,0.5,160,iid_mixture,0.0002422282
