experiment,ambient_dim,intrinsic_dim,epsilon,sample_size,sample_role,mean_cost_to_l2sq,max_cost_to_l2sq
quadratic_proxy,8,2,0.1,24,triangular_window,0.0727316671,0.1557881006
quadratic_proxy,8,2,0.1,24,iid_mixture,0.0485531085,0.0977108951
quadratic_proxy,8,2,0.1,48,triangular_window,0.076321846,0.239663955
quadratic_proxy,8,2,0.1,48,iid_mixture,0.0652892116,0.0986261645
quadratic_proxy,8,2,0.1,96,triangular_window,0.0754781988,0.221579808
quadratic_proxy,8,2,0.1,96,iid_mixture,0.0744297547,0.1678343505
quadratic_proxy,8,2,0.1,160,triangular_window,0.073835362,0.2212284976
quadratic_proxy,8,2,0.1,160,iid_mixture,0.0638449278,0.1090848454
quadratic_proxy,8,2,0.2,24,triangular_window,0.0565274967,0.13528886
quadratic_proxy,8,2,0.2,24,iid_mixture,0.0378011241,0.0804249633
quadratic_proxy,8,2,0.2,48,triangular_window,0.0605025726,0.2024169625
quadratic_proxy,8,2,0.2,48,iid_mixture,0.0532352725,0.0876574782
quadratic_proxy,8,2,0.2,96,triangular_window,0.0597757871,0.1915278785
quadratic_proxy,8,2,0.2,96,iid_mixture,0.0615498475,0.1517596166
quadratic_proxy,8,2,0.2,160,triangular_window,0.0573604622,0.1903210354
quadratic_proxy,8,2,0.2,160,iid_mixture,0.048986191,0.097337776
quadratic_proxy,8,2,0.3,24,triangular_window,0.0506818008,0.1291392591
quadratic_proxy,8,2,0.3,24,iid_mixture,0.0341430615,0.0781318171
quadratic_proxy,8,2,0.3,48,triangular_window,0.0552307962,0.1916030939
quadratic_proxy,8,2,0.3,48,iid_mixture,0.0493552782,0.0840509817
quadratic_proxy,8,2,0.3,96,triangular_window,0.0543540122,0.1826512413
quadratic_proxy,8,2,0.3,96,iid_mixture,0.0575440273,0.1466917253
quadratic_proxy,8,2,0.3,160,triangular_window,0.0518612609,0.1794343159
quadratic_proxy,8,2,0.3,160,iid_mixture,0.0439980401,0.0939086298
quadratic_proxy,8,2,0.5,24,triangular_window,0.045988929,0.1244966619
quadratic_proxy,8,2,0.5,24,iid_mixture,0.0313018056,0.0766798731
quadratic_proxy,8,2,0.5,48,triangular_window,0.0511404116,0.1837536892
quadratic_proxy,8,2,0.5,48,iid_mixture,0.046432756,0.0817935244
quadratic_proxy,8,2,0.5,96,triangular_window,0.0501460934,0.1768188951
quadratic_proxy,8,2,0.5,96,iid_mixture,0.0545826187,0.1430053037
quadratic_proxy,8,2,0.5,160,triangular_window,0.0476669283,0.1708888571
quadratic_proxy,8,2,0.5,160,iid_mixture,0.0401694527,0.0915692359
quadratic_proxy,12,2,0.1,24,triangular_window,0.0579237133,0.1302321997
quadratic_proxy,12,2,0.1,24,iid_mixture,0.0464404204,0.1455726442
quadratic_proxy,12,2,0.1,48,triangular_window,0.0595837969,0.1943059106
quadratic_proxy,12,2,0.1,48,iid_mixture,0.0573210776,0.1513907646
quadratic_proxy,12,2,0.1,96,triangular_window,0.083222863,0.1606446784
quadratic_proxy,12,2,0.1,96,iid_mixture,0.080512616,0.2307457092
quadratic_proxy,12,2,0.1,160,triangular_window,0.0662538792,0.1861717001
quadratic_proxy,12,2,0.1,160,iid_mixture,0.0578234234,0.205511335
quadratic_proxy,12,2,0.2,24,triangular_window,0.0427637249,0.1081513727
quadratic_proxy,12,2,0.2,24,iid_mixture,0.0354802087,0.1243880502
quadratic_proxy,12,2,0.2,48,triangular_window,0.0438322006,0.1274069442
quadratic_proxy,12,2,0.2,48,iid_mixture,0.0448305167,0.1267944424
quadratic_proxy,12,2,0.2,96,triangular_window,0.0642577328,0.1241423716
quadratic_proxy,12,2,0.2,96,iid_mixture,0.0658285715,0.1923181802
quadratic_proxy,12,2,0.2,160,triangular_window,0.0503134231,0.1446320669
quadratic_proxy,12,2,0.2,160,iid_mixture,0.0463830214,0.1758614712
quadratic_proxy,12,2,0.3,24,triangular_window,0.0374111781,0.1010946526
quadratic_proxy,12,2,0.3,24,iid_mixture,0.0317078008,0.1193300484
quadratic_proxy,12,2,0.3,48,triangular_window,0.0385510408,0.1107314776
quadratic_proxy,12,2,0.3,48,iid_mixture,0.0404661022,0.1177520501
quadratic_proxy,12,2,0.3,96,triangular_window,0.0574422005,0.1083789909
quadratic_proxy,12,2,0.3,96,iid_mixture,0.0609185905,0.1821042694
quadratic_proxy,12,2,0.3,160,triangular_window,0.0451261373,0.130195457
quadratic_proxy,12,2,0.3,160,iid_mixture,0.0428096177,0.1691455557
quadratic_proxy,12,2,0.5,24,triangular_window,0.0331835488,0.096116815
quadratic_proxy,12,2,0.5,24,iid_mixture,0.0287706984,0.1161066555
quadratic_proxy,12,2,0.5,48,triangular_window,0.0344603452,0.1083766041
quadratic_proxy,12,2,0.5,48,iid_mixture,0.037073962,0.1157037094
quadratic_proxy,12,2,0.5,96,triangular_window,0.0519985363,0.1004753657
quadratic_proxy,12,2,0.5,96,iid_mixture,0.0571556111,0.1750007558
quadratic_proxy,12,2,0.5,160,triangular_window,0.0411484841,0.1186662589
quadratic_proxy,12,2,0.5,160,iid_mixture,0.0401364268,0.165123721
