experiment,ambient_dim,intrinsic_dim,epsilon,sample_size,support_size,centered_radius,squared_centered_radius,inverse_norm_sq
self_coupling,8,2,0.1,24,96,0.34114961,0.11638306,1.13171212
self_coupling,8,2,0.1,48,192,0.3394161,0.11520329,1.13020312
self_coupling,8,2,0.1,96,384,0.33858046,0.11463673,1.12947987
self_coupling,8,2,0.1,160,640,0.33825178,0.11441427,1.12919615
self_coupling,8,2,0.2,24,96,0.1920421,0.03688017,1.0382924
self_coupling,8,2,0.2,48,192,0.19053624,0.03630406,1.03767169
self_coupling,8,2,0.2,96,384,0.18980723,0.03602679,1.03737322
self_coupling,8,2,0.2,160,640,0.18951993,0.0359178,1.03725596
self_coupling,8,2,0.3,24,96,0.13283921,0.01764626,1.01796324
self_coupling,8,2,0.3,48,192,0.13166299,0.01733514,1.01764095
self_coupling,8,2,0.3,96,384,0.13109341,0.01718548,1.01748599
self_coupling,8,2,0.3,160,640,0.13086892,0.01712667,1.01742511
self_coupling,8,2,0.5,24,96,0.08195558,0.00671672,1.00676214
self_coupling,8,2,0.5,48,192,0.08116295,0.00658742,1.00663111
self_coupling,8,2,0.5,96,384,0.08077912,0.00652527,1.00656812
self_coupling,8,2,0.5,160,640,0.08062783,0.00650085,1.00654338
self_coupling,12,2,0.1,24,96,0.34114961,0.11638306,1.13171212
self_coupling,12,2,0.1,48,192,0.3394161,0.11520329,1.13020312
self_coupling,12,2,0.1,96,384,0.33858046,0.11463673,1.12947987
self_coupling,12,2,0.1,160,640,0.33825178,0.11441427,1.12919615
self_coupling,12,2,0.2,24,96,0.1920421,0.03688017,1.0382924
self_coupling,12,2,0.2,48,192,0.19053624,0.03630406,1.03767169
self_coupling,12,2,0.2,96,384,0.18980723,0.03602679,1.03737322
self_coupling,12,2,0.2,160,640,0.18951993,0.0359178,1.03725596
self_coupling,12,2,0.3,24,96,0.13283921,0.01764626,1.01796324
self_coupling,12,2,0.3,48,192,0.13166299,0.01733514,1.01764095
self_coupling,12,2,0.3,96,384,0.13109341,0.01718548,1.01748599
self_coupling,12,2,0.3,160,640,0.13086892,0.01712667,1.01742511
self_coupling,12,2,0.5,24,96,0.08195558,0.00671672,1.00676214
self_coupling,12,2,0.5,48,192,0.08116295,0.00658742,1.00663111
self_coupling,12,2,0.5,96,384,0.08077912,0.00652527,1.00656812
self_coupling,12,2,0.5,160,640,0.08062783,0.00650085,1.00654338
