experiment,ambient_dim,intrinsic_dim,epsilon,sample_role,max_mean_cost_to_l2sq,min_mean_cost_to_l2sq,max_pointwise_cost_to_l2sq,slope,carrier_a,max_tri_iid_ratio,raw_slope,max_rootn_sup,min_rootn_sup,rootn_ratio,worst_squared_centered_radius,worst_inverse_norm_sq,positive_gap
quadratic_proxy,8,2,0.1,triangular_window,0.07632185,0.07273167,0.23966396,,,,,,,,,,
quadratic_proxy,8,2,0.1,iid_mixture,0.07442975,0.04855311,0.16783435,,,,,,,,,,
linearization_remainder,8,2,0.1,triangular_window,,,,-1.000172,1.000172,1.0942243,,,,,,,
linearization_remainder,8,2,0.1,iid_mixture,,,,-0.878353,0.878353,1.0942243,,,,,,,
influence_proxy,8,2,0.1,triangular_window,,,,,,,-1.008932,0.1871138,0.07246886,2.5819889,,,
influence_proxy,8,2,0.1,iid_mixture,,,,,,,-0.800807,0.3742276,0.21740659,1.72132593,,,
quadratic_proxy,8,2,0.2,triangular_window,0.06050257,0.0565275,0.20241696,,,,,,,,,,
quadratic_proxy,8,2,0.2,iid_mixture,0.06154985,0.03780112,0.15175962,,,,,,,,,,
linearization_remainder,8,2,0.2,triangular_window,,,,-1.000586,1.000586,1.09155808,,,,,,,
linearization_remainder,8,2,0.2,iid_mixture,,,,-0.880324,0.880324,1.09155808,,,,,,,
influence_proxy,8,2,0.2,triangular_window,,,,,,,-1.008932,0.1871138,0.07246886,2.5819889,,,
influence_proxy,8,2,0.2,iid_mixture,,,,,,,-0.800807,0.3742276,0.21740659,1.72132593,,,
quadratic_proxy,8,2,0.3,triangular_window,0.0552308,0.0506818,0.19160309,,,,,,,,,,
quadratic_proxy,8,2,0.3,iid_mixture,0.05754403,0.03414306,0.14669173,,,,,,,,,,
linearization_remainder,8,2,0.3,triangular_window,,,,-0.997404,0.997404,1.08310328,,,,,,,
linearization_remainder,8,2,0.3,iid_mixture,,,,-0.880113,0.880113,1.08310328,,,,,,,
influence_proxy,8,2,0.3,triangular_window,,,,,,,-1.008932,0.1871138,0.07246886,2.5819889,,,
influence_proxy,8,2,0.3,iid_mixture,,,,,,,-0.800807,0.3742276,0.21740659,1.72132593,,,
quadratic_proxy,8,2,0.5,triangular_window,0.05114041,0.04598893,0.18375369,,,,,,,,,,
quadratic_proxy,8,2,0.5,iid_mixture,0.05458262,0.03130181,0.1430053,,,,,,,,,,
linearization_remainder,8,2,0.5,triangular_window,,,,-0.992152,0.992152,1.07177265,,,,,,,
linearization_remainder,8,2,0.5,iid_mixture,,,,-0.879219,0.879219,1.07177265,,,,,,,
influence_proxy,8,2,0.5,triangular_window,,,,,,,-1.008932,0.1871138,0.07246886,2.5819889,,,
influence_proxy,8,2,0.5,iid_mixture,,,,,,,-0.800807,0.3742276,0.21740659,1.72132593,,,
self_coupling,8,2,,,,,,,,,,,,,0.11638306,1.13171212,True
quadratic_proxy,12,2,0.1,triangular_window,0.08322286,0.05792371,0.19430591,,,,,,,,,,
quadratic_proxy,12,2,0.1,iid_mixture,0.08051262,0.04644042,0.23074571,,,,,,,,,,
linearization_remainder,12,2,0.1,triangular_window,,,,-0.878482,0.878482,0.97399318,,,,,,,
linearization_remainder,12,2,0.1,iid_mixture,,,,-0.843019,0.843019,0.97399318,,,,,,,
influence_proxy,12,2,0.1,triangular_window,,,,,,,-1.066573,0.1871138,0.06588078,2.84018779,,,
influence_proxy,12,2,0.1,iid_mixture,,,,,,,-0.795932,0.39123795,0.21740659,1.79956802,,,
quadratic_proxy,12,2,0.2,triangular_window,0.06425773,0.04276372,0.14463207,,,,,,,,,,
quadratic_proxy,12,2,0.2,iid_mixture,0.06582857,0.03548021,0.19231818,,,,,,,,,,
linearization_remainder,12,2,0.2,triangular_window,,,,-0.856002,0.856002,0.93860585,,,,,,,
linearization_remainder,12,2,0.2,iid_mixture,,,,-0.813604,0.813604,0.93860585,,,,,,,
influence_proxy,12,2,0.2,triangular_window,,,,,,,-1.066573,0.1871138,0.06588078,2.84018779,,,
influence_proxy,12,2,0.2,iid_mixture,,,,,,,-0.795932,0.39123795,0.21740659,1.79956802,,,
quadratic_proxy,12,2,0.3,triangular_window,0.0574422,0.03741118,0.13019546,,,,,,,,,,
quadratic_proxy,12,2,0.3,iid_mixture,0.06091859,0.0317078,0.18210427,,,,,,,,,,
linearization_remainder,12,2,0.3,triangular_window,,,,-0.841125,0.841125,0.91647368,,,,,,,
linearization_remainder,12,2,0.3,iid_mixture,,,,-0.795622,0.795622,0.91647368,,,,,,,
influence_proxy,12,2,0.3,triangular_window,,,,,,,-1.066573,0.1871138,0.06588078,2.84018779,,,
influence_proxy,12,2,0.3,iid_mixture,,,,,,,-0.795932,0.39123795,0.21740659,1.79956802,,,
quadratic_proxy,12,2,0.5,triangular_window,0.05199854,0.03318355,0.11866626,,,,,,,,,,
quadratic_proxy,12,2,0.5,iid_mixture,0.05715561,0.0287707,0.17500076,,,,,,,,,,
linearization_remainder,12,2,0.5,triangular_window,,,,-0.825614,0.825614,0.89318294,,,,,,,
linearization_remainder,12,2,0.5,iid_mixture,,,,-0.777863,0.777863,0.89318294,,,,,,,
influence_proxy,12,2,0.5,triangular_window,,,,,,,-1.066573,0.1871138,0.06588078,2.84018779,,,
influence_proxy,12,2,0.5,iid_mixture,,,,,,,-0.795932,0.39123795,0.21740659,1.79956802,,,
self_coupling,12,2,,,,,,,,,,,,,0.11638306,1.13171212,True
