ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_operator_norm,max_operator_norm,mean_inverse_norm,max_inverse_norm,min_spectral_gap
8,1,32,0.05,xy,0.9350678,0.94722558,0.9350678,0.94722558,15.74778117,18.94857279,0.05277442
8,1,32,0.05,xx,0.95616454,0.98498231,0.95616454,0.98498231,27.619053,66.58815728,0.01501769
8,1,32,0.05,yy,0.95587785,0.99173198,0.95587785,0.99173198,31.18399209,120.94794428,0.00826802
8,1,32,0.1,xy,0.87371889,0.89413431,0.87371889,0.89413431,8.08392055,9.44593079,0.10586569
8,1,32,0.1,xx,0.89930804,0.93395435,0.89930804,0.93395435,10.73441601,15.1410421,0.06604565
8,1,32,0.1,yy,0.89121628,0.91108947,0.89121628,0.91108947,9.3645415,11.2472614,0.08891053
8,1,32,0.2,xy,0.76148906,0.79735279,0.76148906,0.79735279,4.25908339,4.93468431,0.20264721
8,1,32,0.2,xx,0.79436759,0.86006969,0.79436759,0.86006969,5.16710899,7.14641431,0.13993031
8,1,32,0.2,yy,0.767184,0.82122422,0.767184,0.82122422,4.38639384,5.5935988,0.17877578
8,1,32,0.4,xy,0.57536578,0.63398356,0.57536578,0.63398356,2.38057047,2.73211773,0.36601644
8,1,32,0.4,xx,0.61277165,0.71648325,0.61277165,0.71648325,2.67967274,3.52712843,0.28351675
8,1,32,0.4,yy,0.5708434,0.65678465,0.5708434,0.65678465,2.36227673,2.9136226,0.34321535
8,1,32,0.8,xy,0.33256761,0.38980013,0.33256761,0.38980013,1.50521788,1.6388073,0.61019987
8,1,32,0.8,xx,0.36307182,0.46634627,0.36307182,0.46634627,1.58993677,1.87387428,0.53365373
8,1,32,0.8,yy,0.32377054,0.40677677,0.32377054,0.40677677,1.48615481,1.68570607,0.59322323
8,1,64,0.05,xy,0.93891901,0.94923649,0.93891901,0.94923649,16.53232583,19.69919093,0.05076351
8,1,64,0.05,xx,0.94722082,0.96855561,0.94722082,0.96855561,19.75585282,31.8021795,0.03144439
8,1,64,0.05,yy,0.94366987,0.95371404,0.94366987,0.95371404,18.01320406,21.6048251,0.04628596
8,1,64,0.1,xy,0.88059483,0.89975603,0.88059483,0.89975603,8.44645016,9.97566214,0.10024397
8,1,64,0.1,xx,0.89029256,0.9250483,0.89029256,0.9250483,9.38989605,13.34192565,0.0749517
8,1,64,0.1,yy,0.88428973,0.9050601,0.88428973,0.9050601,8.75955483,10.53297882,0.0949399
8,1,64,0.2,xy,0.77162288,0.80740542,0.77162288,0.80740542,4.41251687,5.19225407,0.19259458
8,1,64,0.2,xx,0.78431934,0.84405282,0.78431934,0.84405282,4.7464598,6.41242771,0.15594718
8,1,64,0.2,yy,0.7727376,0.80737966,0.7727376,0.80737966,4.45469967,5.19155976,0.19262034
8,1,64,0.4,xy,0.58734612,0.64152315,0.58734612,0.64152315,2.43713273,2.78958039,0.35847685
8,1,64,0.4,xx,0.6035358,0.69433396,0.6035358,0.69433396,2.56134214,3.27154438,0.30566604
