ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_inverse_norm,max_inverse_norm,min_spectral_gap
8,2,32,0.2,xy,0.79808423,0.84895475,5.05644669,6.62053277,0.15104525
8,2,32,0.2,xx,0.88324305,0.91536765,9.07814194,11.81581341,0.08463235
8,2,32,0.2,yy,0.86592877,0.92849857,8.2909333,13.98573403,0.07150143
8,2,32,0.3,xy,0.70729091,0.77955979,3.4749977,4.53637751,0.22044021
8,2,32,0.3,xx,0.78982344,0.85518088,4.95833414,6.90516535,0.14481912
8,2,32,0.3,yy,0.77134262,0.85693213,4.62893174,6.98968959,0.14306787
8,2,32,0.4,xy,0.62594319,0.71360214,2.71130086,3.49164619,0.28639786
8,2,32,0.4,xx,0.70311342,0.79426861,3.48169244,4.86070686,0.20573139
8,2,32,0.4,yy,0.68517099,0.78066027,3.29475405,4.55913756,0.21933973
8,2,32,0.5,xy,0.55337899,0.64983539,2.2646385,2.85579971,0.35016461
8,2,32,0.5,xx,0.62437202,0.73237765,2.73523055,3.73660866,0.26762235
8,2,32,0.5,yy,0.60800236,0.70222948,2.61651575,3.35829082,0.29777052
8,2,32,0.65,xy,0.45966417,0.55995218,1.86560229,2.27248031,0.44004782
8,2,32,0.65,xx,0.52232975,0.6421104,2.13554884,2.79415775,0.3578896
8,2,32,0.65,yy,0.50780804,0.61044026,2.06444302,2.56700038,0.38955974
8,2,32,0.8,xy,0.38253027,0.47979842,1.62858317,1.92233171,0.52020158
8,2,32,0.8,xx,0.43788423,0.5588418,1.80490848,2.26676053,0.4411582
8,2,32,0.8,yy,0.42464547,0.53375281,1.75693466,2.14478504,0.46624719
8,2,64,0.2,xy,0.7987046,0.84948645,5.02296983,6.6439202,0.15051355
8,2,64,0.2,xx,0.83596235,0.8672341,6.20007191,7.53205427,0.1327659
8,2,64,0.2,yy,0.84344626,0.91269516,6.65680325,11.45411851,0.08730484
8,2,64,0.3,xy,0.70951398,0.77279036,3.47055721,4.40122174,0.22720964
8,2,64,0.3,xx,0.74602357,0.78911668,3.98447064,4.74195872,0.21088332
8,2,64,0.3,yy,0.752633,0.85429114,4.16067377,6.86300084,0.14570886
8,2,64,0.4,xy,0.62815519,0.69905483,2.7060872,3.32286444,0.30094517
8,2,64,0.4,xx,0.66360949,0.71354511,3.00008592,3.49095103,0.28645489
8,2,64,0.4,yy,0.66915006,0.79420612,3.09130938,4.85923097,0.20579388
8,2,64,0.5,xy,0.55479154,0.63001125,2.25708617,2.70278491,0.36998875
8,2,64,0.5,xx,0.5889093,0.64256812,2.45036741,2.79773586,0.35743188
8,2,64,0.5,yy,0.59344092,0.73267967,2.50368027,3.74083029,0.26732033
8,2,64,0.65,xy,0.45968278,0.53689529,1.85705027,2.15933887,0.46310471
8,2,64,0.65,xx,0.49120904,0.54758567,1.97597169,2.21036322,0.45241433
8,2,64,0.65,yy,0.49452734,0.64108356,2.00265828,2.78616378,0.35891644
8,2,64,0.8,xy,0.38146628,0.4569334,1.62057943,1.84139479,0.5430666
8,2,64,0.8,xx,0.40996333,0.46698094,1.70152799,1.87610552,0.53301906
8,2,64,0.8,yy,0.41235053,0.55512793,1.71597856,2.24783721,0.44487207
8,2,128,0.2,xy,0.79106595,0.81180088,4.80077317,5.31352118,0.18819912
8,2,128,0.2,xx,0.81142395,0.85391414,5.36686529,6.84528938,0.14608586
8,2,128,0.2,yy,0.81369071,0.83831664,5.40584175,6.18492818,0.16168336
8,2,128,0.3,xy,0.69957233,0.72755206,3.33698997,3.67042602,0.27244794
8,2,128,0.3,xx,0.72054737,0.77035967,3.61030073,4.35463586,0.22964033
8,2,128,0.3,yy,0.72238318,0.75478981,3.62155404,4.07813394,0.24521019
8,2,128,0.4,xy,0.61649519,0.64940474,2.61294959,2.85229186,0.35059526
8,2,128,0.4,xx,0.63796721,0.69119118,2.78111695,3.2382495,0.30880882
8,2,128,0.4,yy,0.63891385,0.67632894,2.78111465,3.08955645,0.32367106
8,2,128,0.5,xy,0.54199874,0.57775448,2.18708814,2.3682904,0.42224552
8,2,128,0.5,xx,0.56349061,0.61853721,2.30319479,2.62148766,0.38146279
