ambient_dim,intrinsic_dim,epsilon,sample_size,mean_max_abs_logu,mean_max_abs_logv,mean_min_transport,mean_max_transport
8,2,0.2,32,7.18079101,3.23603402,0.0,0.015817052632
8,2,0.2,64,7.44703243,1.9930965,0.0,0.005286549703
8,2,0.2,128,8.69860094,1.74328432,0.0,0.00169684707
8,2,0.2,256,9.86053353,1.52691036,0.0,0.000534492554
8,2,0.2,512,10.77525941,1.22566774,0.0,0.000156009505
8,2,0.4,32,6.40935159,1.60481797,2.025e-09,0.010780298187
8,2,0.4,64,7.3047441,1.0841493,2.08e-10,0.00345851687
8,2,0.4,128,8.64432677,1.13546083,2.4e-11,0.00100873259
8,2,0.4,256,9.96798468,1.04165795,2e-12,0.000300608023
8,2,0.4,512,11.17751693,0.92561346,0.0,8.2692648e-05
8,2,0.8,32,6.35381151,0.90103949,2.206772e-06,0.006765127704
8,2,0.8,64,7.59538753,0.72563789,4.52033e-07,0.002064106526
8,2,0.8,128,8.96966979,0.79983237,7.7085e-08,0.000562521778
8,2,0.8,256,10.35506073,0.77409263,1.3173e-08,0.000159905183
8,2,0.8,512,11.69988833,0.7374733,2.301e-09,4.2471949e-05
12,2,0.2,32,6.70750126,2.57007543,0.0,0.01537470003
12,2,0.2,64,7.87378164,2.57958064,0.0,0.005476023505
12,2,0.2,128,8.78992326,2.39493715,0.0,0.001546968962
12,2,0.2,256,9.84742635,1.60998844,0.0,0.000563757644
12,2,0.2,512,11.03073895,1.42638475,0.0,0.000177200771
12,2,0.4,32,6.17403541,1.25897484,4.153e-09,0.010589553847
12,2,0.4,64,7.45964168,1.46340051,6.6e-11,0.003505514284
12,2,0.4,128,8.66277567,1.34422798,5.7e-11,0.000916086686
12,2,0.4,256,9.95145152,1.0645803,3e-12,0.000306790369
12,2,0.4,512,11.28839423,1.04135473,0.0,9.0686321e-05
12,2,0.8,32,6.25579879,0.71058259,3.284539e-06,0.00664015648
12,2,0.8,64,7.6252834,0.93857066,2.61295e-07,0.002104253447
12,2,0.8,128,8.97614093,0.86772109,1.0865e-07,0.000511554871
12,2,0.8,256,10.34464572,0.77086789,1.5155e-08,0.000162200516
12,2,0.8,512,11.72858284,0.80384289,1.99e-09,4.5520488e-05
