experiment,ambient_dim,intrinsic_dim,epsilon,direction_family,max_curvature,min_curvature,max_curvature_per_n,min_curvature_per_n,mean_curvature,trace_proxy,mean_trace_per_n,max_trace_per_n,min_trace_per_n,mean_cov_weighted_proxy,max_cov_weighted_proxy,min_cov_weighted_proxy
support_growth_hessian,8,2,0.1,local,0.23457843,0.07175908,0.00976589,0.00074749,0.1476696,,,,,,,
support_growth_hessian,8,2,0.1,collective,14.42108616,1.50031738,0.15022096,0.06251322,6.64250575,,,,,,,
support_growth_trace_proxy,8,2,0.1,,,,,,,74.42547803,0.4439094,0.44634592,0.44197556,0.0027032749,0.0046494366,0.001150978
support_growth_hessian,8,2,0.2,local,0.1954794,0.03802364,0.00814221,0.00039608,0.11442656,,,,,,,
support_growth_hessian,8,2,0.2,collective,12.59087181,0.87528311,0.13115961,0.03647013,5.56810725,,,,,,,
support_growth_trace_proxy,8,2,0.2,,,,,,,57.67098611,0.34383897,0.34535304,0.34263848,0.00209297,0.0035974275,0.0008922877
support_growth_hessian,8,2,0.3,local,0.174682,0.02571527,0.00727749,0.00026787,0.10336852,,,,,,,
support_growth_hessian,8,2,0.3,collective,12.26149052,0.60539527,0.12772794,0.0252248,5.23753753,,,,,,,
support_growth_trace_proxy,8,2,0.3,,,,,,,52.09773536,0.31048643,0.3115177,0.30966905,0.0018891362,0.003244976,0.0008064298
support_growth_hessian,8,2,0.5,local,0.15571498,0.01555233,0.00648794,0.000162,0.09488453,,,,,,,
support_growth_hessian,8,2,0.5,collective,12.09396649,0.37062387,0.12598177,0.01544266,4.99131267,,,,,,,
support_growth_trace_proxy,8,2,0.5,,,,,,,47.82180313,0.28487995,0.28549297,0.28439419,0.0017325273,0.0029738851,0.0007406099
support_growth_hessian,12,2,0.1,local,0.23457843,0.07175908,0.00976589,0.00074749,0.1476696,,,,,,,
support_growth_hessian,12,2,0.1,collective,14.42108616,1.50031738,0.15022096,0.06251322,6.64250575,,,,,,,
support_growth_trace_proxy,12,2,0.1,,,,,,,74.42547803,0.4439094,0.44634592,0.44197556,0.0027032749,0.0046494366,0.001150978
support_growth_hessian,12,2,0.2,local,0.1954794,0.03802364,0.00814221,0.00039608,0.11442656,,,,,,,
support_growth_hessian,12,2,0.2,collective,12.59087181,0.87528311,0.13115961,0.03647013,5.56810725,,,,,,,
support_growth_trace_proxy,12,2,0.2,,,,,,,57.67098611,0.34383897,0.34535304,0.34263848,0.00209297,0.0035974275,0.0008922877
support_growth_hessian,12,2,0.3,local,0.174682,0.02571527,0.00727749,0.00026787,0.10336852,,,,,,,
support_growth_hessian,12,2,0.3,collective,12.26149052,0.60539527,0.12772794,0.0252248,5.23753753,,,,,,,
support_growth_trace_proxy,12,2,0.3,,,,,,,52.09773536,0.31048643,0.3115177,0.30966905,0.0018891362,0.003244976,0.0008064298
support_growth_hessian,12,2,0.5,local,0.15571498,0.01555233,0.00648794,0.000162,0.09488453,,,,,,,
support_growth_hessian,12,2,0.5,collective,12.09396649,0.37062387,0.12598177,0.01544266,4.99131267,,,,,,,
support_growth_trace_proxy,12,2,0.5,,,,,,,47.82180313,0.28487995,0.28549297,0.28439419,0.0017325273,0.0029738851,0.0007406099
