experiment,span,H,n,mean_integrated_residual,scaled_n_residual
smooth-fixed-support-bahadur,0.2,0.5,50,0.00085399,0.0426995009
smooth-fixed-support-bahadur,0.2,0.5,100,0.000302782,0.0302782009
smooth-fixed-support-bahadur,0.2,0.5,200,0.0001022018,0.0204403639
smooth-fixed-support-bahadur,0.2,0.5,400,3.64232e-05,0.014569283
smooth-fixed-support-bahadur,0.2,0.5,800,1.18943e-05,0.0095154576
smooth-fixed-support-bahadur,0.2,1.0,50,0.000714106,0.0357052988
smooth-fixed-support-bahadur,0.2,1.0,100,0.0002801784,0.0280178426
smooth-fixed-support-bahadur,0.2,1.0,200,0.0001255628,0.0251125508
smooth-fixed-support-bahadur,0.2,1.0,400,3.86829e-05,0.0154731797
smooth-fixed-support-bahadur,0.2,1.0,800,1.50567e-05,0.0120453976
smooth-fixed-support-bahadur,0.4,0.5,50,0.0008389716,0.0419485817
smooth-fixed-support-bahadur,0.4,0.5,100,0.0003027818,0.0302781787
smooth-fixed-support-bahadur,0.4,0.5,200,0.0001022363,0.0204472527
smooth-fixed-support-bahadur,0.4,0.5,400,3.71699e-05,0.0148679514
smooth-fixed-support-bahadur,0.4,0.5,800,1.21935e-05,0.0097548273
smooth-fixed-support-bahadur,0.4,1.0,50,0.0007372836,0.0368641805
smooth-fixed-support-bahadur,0.4,1.0,100,0.0002724024,0.0272402425
smooth-fixed-support-bahadur,0.4,1.0,200,0.0001214809,0.0242961828
smooth-fixed-support-bahadur,0.4,1.0,400,3.89435e-05,0.0155773969
smooth-fixed-support-bahadur,0.4,1.0,800,1.5439e-05,0.01235116
