ambient_dim,intrinsic_dim,sample_size,mean_twonn_half,median_twonn_half,sd_twonn_half,rounded_accuracy
8,1,32,1.10615366,1.14808987,0.22920309,1.0
8,1,64,1.04884644,1.02583908,0.11403791,1.0
8,1,128,1.00708047,0.9700653,0.14470131,1.0
8,1,256,0.98671585,0.98195489,0.08308341,1.0
8,1,384,0.97148261,0.9720074,0.06485597,1.0
8,1,512,0.9900232,0.99863896,0.03508829,1.0
8,2,32,2.13288976,2.1109852,0.33432794,0.8125
8,2,64,1.93944015,1.96223856,0.27096063,1.0
8,2,128,2.0123781,1.95723646,0.25782306,0.875
8,2,256,2.0106358,2.00442536,0.19147924,1.0
8,2,384,1.96456505,1.92890037,0.14074593,1.0
8,2,512,1.99246801,2.03192759,0.09262981,1.0
12,1,32,1.05230247,0.99384442,0.29024131,0.9375
12,1,64,1.10518897,1.12442376,0.21389588,0.9375
12,1,128,1.00614625,0.99103482,0.14059247,1.0
12,1,256,0.97701502,0.95308687,0.07425046,1.0
12,1,384,1.05295196,1.054771,0.06950079,1.0
12,1,512,0.97557404,0.97663149,0.05613315,1.0
12,2,32,1.98682144,1.92018539,0.28893746,0.875
12,2,64,1.99432588,1.868089,0.33122587,0.8125
12,2,128,1.94855397,1.97095958,0.26824816,0.875
12,2,256,1.97286009,1.98674012,0.14728377,1.0
12,2,384,2.03160863,2.04081376,0.12362467,1.0
12,2,512,1.95661433,1.94217818,0.13998747,1.0
