method,window,tail_mae_mean,tail_mae_std,tail_width_mean,tail_width_std
fixed_sweep,10,0.2543,0.0112,10.0,0.0
fixed_sweep,20,0.1819,0.0092,20.0,0.0
fixed_sweep,30,0.1478,0.0081,30.0,0.0
fixed_sweep,40,0.1271,0.0077,40.0,0.0
fixed_sweep,50,0.1135,0.0074,50.0,0.0
fixed_sweep,60,0.1038,0.007,60.0,0.0
fixed_sweep,70,0.0969,0.0072,70.0,0.0
fixed_sweep,80,0.0917,0.0072,80.0,0.0
fixed_sweep,90,0.0878,0.0073,90.0,0.0
fixed_sweep,100,0.0849,0.008,100.0,0.0
fixed_sweep,110,0.0828,0.0088,110.0,0.0
fixed_sweep,120,0.0816,0.0098,120.0,0.0
fixed_sweep,130,0.0813,0.0108,130.0,0.0
fixed_sweep,140,0.0817,0.0119,140.0,0.0
fixed_sweep,150,0.0828,0.0131,150.0,0.0
fixed_sweep,160,0.0843,0.0143,160.0,0.0
fixed_sweep,170,0.0863,0.0158,170.0,0.0
fixed_sweep,180,0.0886,0.0172,180.0,0.0
fixed_sweep,190,0.0914,0.0184,190.0,0.0
fixed_sweep,200,0.0944,0.0197,200.0,0.0
fixed_sweep,210,0.098,0.0208,210.0,0.0
fixed_sweep,220,0.1019,0.0217,220.0,0.0
fixed_sweep,230,0.1061,0.0224,230.0,0.0
fixed_sweep,240,0.1106,0.023,240.0,0.0
fixed_sweep,250,0.1152,0.0237,250.0,0.0
fixed_sweep,260,0.1198,0.0243,260.0,0.0
fixed_sweep,270,0.1246,0.0248,270.0,0.0
fixed_sweep,280,0.1294,0.0252,280.0,0.0
fixed_sweep,290,0.1343,0.0255,290.0,0.0
fixed_sweep,300,0.1392,0.0257,300.0,0.0
fixed_sweep,310,0.1442,0.0259,310.0,0.0
fixed_sweep,320,0.1491,0.0261,320.0,0.0
fixed_sweep,330,0.154,0.0262,330.0,0.0
fixed_sweep,340,0.159,0.0263,340.0,0.0
fixed_sweep,350,0.1639,0.0263,350.0,0.0
fixed_sweep,360,0.1689,0.0264,360.0,0.0
fixed_sweep,370,0.1739,0.0264,370.0,0.0
fixed_sweep,380,0.1789,0.0265,380.0,0.0
fixed_sweep,390,0.1839,0.0265,390.0,0.0
fixed_sweep,400,0.1889,0.0264,400.0,0.0
fixed_sweep,410,0.1939,0.0264,410.0,0.0
fixed_sweep,420,0.1989,0.0264,420.0,0.0
fixed_sweep,430,0.2039,0.0264,430.0,0.0
fixed_sweep,440,0.2088,0.0264,440.0,0.0
fixed_sweep,450,0.2138,0.0264,450.0,0.0
fixed_sweep,460,0.2188,0.0264,460.0,0.0
fixed_sweep,470,0.2238,0.0264,470.0,0.0
fixed_sweep,480,0.2287,0.0263,480.0,0.0
fixed_sweep,490,0.2338,0.0263,490.0,0.0
fixed_sweep,500,0.2388,0.0262,500.0,0.0
fixed,,0.0849,0.008,100.0,0.0
fixed_long,,0.2388,0.0262,500.0,0.0
ewma,,0.1291,0.0063,39.0,0.0
adwin,,0.1757,0.0219,335.78,30.74
cube,,0.0978,0.0084,88.88,5.24
