phase,boundary,transition_type,from_drift,to_drift,from_oracle,to_oracle,window_steps,method,window_width_mean,window_regret_mean,window_regret_std
0,900,contraction,0.0002,0.0045,292.4,36.69,50,fixed_100,100.0,63.31,0.0
0,900,contraction,0.0002,0.0045,292.4,36.69,50,fixed_200,200.0,163.31,0.0
0,900,contraction,0.0002,0.0045,292.4,36.69,50,adwin,925.5,888.81,0.0
0,900,contraction,0.0002,0.0045,292.4,36.69,50,cube,95.08,58.39,29.24
1,1040,expansion,0.0045,0.00015,36.69,354.22,50,fixed_100,100.0,254.22,0.0
1,1040,expansion,0.0045,0.00015,36.69,354.22,50,fixed_200,200.0,154.22,0.0
1,1040,expansion,0.0045,0.00015,36.69,354.22,50,adwin,356.38,435.8,126.8
1,1040,expansion,0.0045,0.00015,36.69,354.22,50,cube,46.53,307.68,12.29
2,1740,contraction,0.00015,0.007,354.22,27.33,50,fixed_100,100.0,72.67,0.0
2,1740,contraction,0.00015,0.007,354.22,27.33,50,fixed_200,200.0,172.67,0.0
2,1740,contraction,0.00015,0.007,354.22,27.33,50,adwin,717.5,690.17,33.37
2,1740,contraction,0.00015,0.007,354.22,27.33,50,cube,103.15,75.82,28.58
3,1810,expansion,0.007,0.00025,27.33,251.98,50,fixed_100,100.0,151.98,0.0
3,1810,expansion,0.007,0.00025,27.33,251.98,50,fixed_200,200.0,51.98,0.0
3,1810,expansion,0.007,0.00025,27.33,251.98,50,adwin,748.75,519.56,61.11
3,1810,expansion,0.007,0.00025,27.33,251.98,50,cube,63.44,188.55,18.28
