scenario,seed,selected_window,selected_alpha,calibration_score,selected_tail_mae,default_tail_mae,tail_mae_delta,selected_tail_width,default_tail_width,selected_cap_count,default_cap_count,selected_cap_only,default_cap_only,selected_first_cap,default_first_cap
constant,0,50,0.01,0.8897029689992598,0.17529304117291972,0.215138144488167,0.03984510331524729,367.99333333333334,457.45533333333333,1186.0,1164.0,1186.0,1164.0,500.0,500.0
constant,1,50,0.2,1.1464572778224529,0.152821652088083,0.24341607220797937,0.09059442011989638,268.75333333333333,418.922,290.0,1418.0,290.0,1418.0,322.0,484.0
constant,2,50,0.2,1.0618072918717318,0.09445968421460403,0.14545061490736919,0.050990930692765155,264.1406666666667,310.7386666666667,319.0,883.0,319.0,883.0,188.0,500.0
constant,3,50,0.1,1.034384430876074,0.13016293062820816,0.22446431624689728,0.09430138561868912,271.3546666666667,466.3213333333333,408.0,1711.0,408.0,1711.0,256.0,500.0
constant,4,50,0.2,1.055510002357382,0.1092034619992825,0.18854287443391748,0.07933941243463498,273.252,429.42466666666667,324.0,1380.0,324.0,1380.0,235.0,493.0
constant,5,50,0.2,1.0892961205593044,0.13227738466819902,0.22364469740244178,0.09136731273424276,273.52,407.78133333333335,288.0,1181.0,288.0,1181.0,322.0,486.0
constant,6,50,0.05,0.9442821586518754,0.14906220709540802,0.21753031874773512,0.06846811165232711,321.46133333333336,401.23133333333334,471.0,1054.0,471.0,1053.0,419.0,488.0
constant,7,50,0.2,0.9223368192354935,0.11712911492069356,0.21108607263802004,0.09395695771732648,233.658,379.7026666666667,362.0,963.0,362.0,963.0,263.0,500.0
alternating,0,50,0.1,0.8887432612341912,0.062180164320145254,0.09301498372484503,0.030834819404699773,284.43666666666667,390.93333333333334,399.0,1078.0,399.0,1078.0,331.0,500.0
alternating,1,50,0.02,1.1344451710616488,0.12055132964555704,0.15380975815303638,0.03325842850747934,354.288,484.704,655.0,1648.0,655.0,1648.0,369.0,477.0
alternating,2,50,0.2,1.0411734431411466,0.06362515911164926,0.06890627909902428,0.005281119987375016,268.46933333333334,404.76866666666666,340.0,1295.0,340.0,1295.0,189.0,500.0
alternating,3,75,0.01,1.0218017139017515,0.08975986077215387,0.10764210950076722,0.017882248728613354,383.3813333333333,373.1166666666667,1141.0,909.0,1141.0,909.0,500.0,500.0
alternating,4,75,0.05,1.0476893138058985,0.08747452929425258,0.09923650712150951,0.011761977827256936,411.38,455.39733333333334,802.0,1411.0,802.0,1411.0,500.0,500.0
alternating,5,50,0.05,1.0719397361454213,0.10057968406773266,0.10729589317416048,0.006716209106427826,310.642,389.47866666666664,470.0,1114.0,470.0,1114.0,332.0,500.0
alternating,6,50,0.02,0.9313066798301278,0.09829953255308978,0.09640399574980438,-0.0018955368032853998,360.36,373.49066666666664,714.0,1202.0,714.0,1202.0,437.0,500.0
alternating,7,50,0.1,0.9016606141574763,0.08496565021516816,0.08988413964882244,0.004918489433654277,229.54333333333332,394.0713333333333,386.0,1256.0,386.0,1256.0,263.0,500.0
