dimension,window_size,epsilon,mean_runtime_ms,mean_abs_bias,mean_iterations,mean_pairwise_evals_per_s
2,25,0.02,4.176,0.3837,250.0,149677.4
2,25,0.05,4.121,0.3863,250.0,151670.4
2,25,0.2,3.45,0.3723,249.3,181163.4
2,25,1.0,0.624,0.3032,47.2,1001279.6
2,50,0.02,5.914,0.167,250.0,422710.3
2,50,0.05,5.901,0.1715,250.0,423685.9
2,50,0.2,4.45,0.1563,239.3,561745.2
2,50,1.0,0.752,0.1166,29.8,3326525.8
2,100,0.02,7.239,0.1157,250.0,1381448.6
2,100,0.05,7.212,0.118,250.0,1386595.3
2,100,0.2,5.766,0.109,242.2,1734277.4
2,100,1.0,1.039,0.0882,28.8,9621102.2
8,25,0.02,1.422,0.9522,250.0,439562.6
8,25,0.05,3.868,0.9639,250.0,161573.8
8,25,0.2,3.128,1.0184,250.0,199809.5
8,25,1.0,0.33,0.4874,18.7,1893541.3
8,50,0.02,3.671,0.6773,250.0,680960.5
8,50,0.05,5.854,0.6901,250.0,427089.3
8,50,0.2,4.456,0.7149,250.0,561063.1
8,50,1.0,0.461,0.1952,19.2,5423318.8
8,100,0.02,6.839,0.596,250.0,1462301.5
8,100,0.05,8.014,0.6102,250.0,1247856.4
8,100,0.2,6.214,0.6148,250.0,1609258.6
8,100,1.0,0.757,0.1383,14.5,13208217.3
32,25,0.02,1.592,1.4072,250.0,392522.8
32,25,0.05,1.653,1.422,248.7,378035.3
32,25,0.2,2.999,1.5764,250.0,208424.5
32,25,1.0,0.281,0.4822,13.7,2225516.2
32,50,0.02,2.119,1.2782,250.0,1179554.4
32,50,0.05,2.106,1.2953,250.0,1186889.0
32,50,0.2,4.192,1.476,250.0,596420.5
32,50,1.0,0.333,0.2635,10.0,7505473.7
32,100,0.02,2.728,1.2042,250.0,3665894.4
32,100,0.05,2.762,1.224,249.2,3620610.4
32,100,0.2,5.238,1.4288,250.0,1909123.1
32,100,1.0,0.596,0.14,8.7,16784582.2
64,25,0.02,1.508,1.575,250.0,414475.2
64,25,0.05,1.483,1.5919,241.7,421401.6
64,25,0.2,2.98,1.7547,250.0,209699.3
64,25,1.0,0.254,0.4961,11.7,2458613.3
64,50,0.02,2.138,1.5036,250.0,1169568.0
64,50,0.05,1.275,1.5255,142.3,1960250.0
64,50,0.2,4.159,1.7211,250.0,601113.1
64,50,1.0,0.335,0.2679,9.2,7470428.2
64,100,0.02,2.744,1.4273,250.0,3643927.5
64,100,0.05,2.132,1.4541,186.0,4690293.5
64,100,0.2,5.14,1.6849,250.0,1945706.6
64,100,1.0,0.531,0.1326,7.3,18843723.5
128,25,0.02,1.368,1.7056,231.2,456936.4
128,25,0.05,0.569,1.7283,80.7,1098619.5
128,25,0.2,2.847,1.8724,250.0,219534.7
128,25,1.0,0.249,0.4742,10.3,2510811.5
128,50,0.02,2.136,1.6648,250.0,1170248.4
128,50,0.05,0.915,1.6945,94.8,2733090.8
128,50,0.2,4.05,1.8676,250.0,617263.8
128,50,1.0,0.333,0.2805,8.0,7497965.0
128,100,0.02,2.738,1.5976,250.0,3651930.1
128,100,0.05,1.167,1.6354,81.5,8571020.1
128,100,0.2,5.091,1.8358,250.0,1964215.8
128,100,1.0,0.533,0.1412,6.7,18770519.3
256,25,0.02,1.469,1.794,246.3,425540.0
256,25,0.05,0.385,1.8249,43.3,1624754.8
256,25,0.2,2.838,1.9357,250.0,220190.5
256,25,1.0,0.254,0.4789,9.0,2455796.1
256,50,0.02,2.104,1.7506,243.2,1188130.7
256,50,0.05,0.545,1.7908,40.8,4584412.4
256,50,0.2,4.11,1.9213,250.0,608221.1
256,50,1.0,0.357,0.2635,7.8,7010705.8
256,100,0.02,2.48,1.7282,217.8,4032709.8
256,100,0.05,0.788,1.7778,35.5,12690913.7
256,100,0.2,5.092,1.9164,250.0,1963942.7
256,100,1.0,0.581,0.1446,6.2,17225500.7
