sensor_mode,sensor_noise,mean_route_delay,mean_avoidable_delay,mean_pre_route_cost,mean_avoidable_cost,mean_switch_accuracy,mean_route_lag_to_oracle
oracle,0.0,3.0,0.0,3.75,0.0,0.875,0.0
single,0.0,3.0,0.0,3.75,0.0,0.875,0.0
multiscale,0.0,3.0,0.0,3.75,0.0,0.875,0.0
oracle,0.05,3.0,0.0,3.75,0.0,0.875,0.0
single,0.05,3.0,0.0,3.75,0.0,0.875,0.0
multiscale,0.05,3.0,0.0,3.75,0.0,0.875,0.0
oracle,0.1,3.0,0.0,3.75,0.0,0.875,0.0
single,0.1,4.0,1.0,4.875,1.125,0.8333333333333333,1.0
multiscale,0.1,3.0,0.0,3.75,0.0,0.875,0.0
oracle,0.2,3.0,0.0,3.75,0.0,0.875,0.0
single,0.2,6.375,3.375,7.34375,3.6875,0.734375,3.375
multiscale,0.2,6.25,3.375,8.5625,5.0625,0.6875,3.25
