strategy,warnings,leads,precision,median_lead,mean_lead,min_lead,max_lead
fixed_50,572,75,0.131,123.0,122.0,0.0,227.0
fixed_100,989,101,0.102,87.0,114.3,0.0,227.0
fixed_300,3363,137,0.041,58.0,97.4,0.0,227.0
dynamic,717,85,0.119,127.0,121.0,0.0,227.0
adwin,477,250,0.524,92.0,98.9,0.0,227.0
cusum,5928,384,0.065,214.0,198.9,11.0,227.0
rls,15687,327,0.021,220.0,166.2,0.0,227.0
kalman,13985,319,0.023,220.0,171.9,0.0,227.0
frechet,21,4,0.19,154.5,148.8,65.0,221.0
mmd,152,75,0.493,22.0,60.4,0.0,227.0
