dimension,window_size,epsilon,mean_runtime_ms,mean_abs_bias,mean_iterations,mean_pairwise_evals_per_s
2,25,0.05,4.178,0.3863,250.0,149603.1
2,25,0.2,3.534,0.3723,249.3,176876.4
2,25,1.0,0.614,0.3032,47.2,1018640.9
2,50,0.05,5.884,0.1715,250.0,424908.1
2,50,0.2,4.471,0.1563,239.3,559124.3
2,50,1.0,0.74,0.1166,29.8,3379045.7
2,100,0.05,7.3,0.118,250.0,1369879.9
2,100,0.2,5.81,0.109,242.2,1721287.7
2,100,1.0,1.044,0.0882,28.8,9580200.3
8,25,0.05,3.87,0.9639,250.0,161495.2
8,25,0.2,3.162,1.0184,250.0,197646.7
8,25,1.0,0.334,0.4874,18.7,1870013.5
8,50,0.05,5.922,0.6901,250.0,422141.3
8,50,0.2,4.481,0.7149,250.0,557926.7
8,50,1.0,0.474,0.1952,19.2,5273797.9
8,100,0.05,7.351,0.6102,250.0,1360393.8
8,100,0.2,5.507,0.6148,250.0,1815772.3
8,100,1.0,0.657,0.1383,14.5,15217805.1
32,25,0.05,1.466,1.422,248.7,426318.0
32,25,0.2,2.942,1.5764,250.0,212471.1
32,25,1.0,0.281,0.4822,13.7,2227281.5
32,50,0.05,2.091,1.2953,250.0,1195580.4
32,50,0.2,4.16,1.476,250.0,601002.7
32,50,1.0,0.33,0.2635,10.0,7582617.3
32,100,0.05,2.675,1.224,249.2,3738434.1
32,100,0.2,5.198,1.4288,250.0,1923737.2
32,100,1.0,0.54,0.14,8.7,18512803.4
