dimension,window_size,epsilon,mean_runtime_ms,mean_abs_bias,mean_iterations,mean_pairwise_evals_per_s
2,25,0.05,4.361,0.3863,250.0,143299.8
2,25,0.2,3.712,0.3723,249.3,168365.6
2,25,1.0,0.638,0.3032,47.2,979122.8
2,50,0.05,6.09,0.1715,250.0,410502.5
2,50,0.2,4.695,0.1563,239.3,532443.5
2,50,1.0,0.754,0.1166,29.8,3315557.4
2,100,0.05,7.587,0.118,250.0,1318098.3
2,100,0.2,6.015,0.109,242.2,1662602.5
2,100,1.0,1.084,0.0882,28.8,9225326.5
8,25,0.05,4.106,0.9639,250.0,152231.5
8,25,0.2,3.413,1.0184,250.0,183139.4
8,25,1.0,0.377,0.4874,18.7,1656451.2
8,50,0.05,6.176,0.6901,250.0,404787.7
8,50,0.2,4.621,0.7149,250.0,540955.6
8,50,1.0,0.504,0.1952,19.2,4964283.8
8,100,0.05,7.614,0.6102,250.0,1313340.2
8,100,0.2,5.768,0.6148,250.0,1733628.0
8,100,1.0,0.703,0.1383,14.5,14223909.4
32,25,0.05,1.511,1.422,248.7,413757.0
32,25,0.2,3.142,1.5764,250.0,198928.4
32,25,1.0,0.3,0.4822,13.7,2083623.1
32,50,0.05,2.172,1.2953,250.0,1151075.6
32,50,0.2,4.333,1.476,250.0,576967.4
32,50,1.0,0.342,0.2635,10.0,7312471.2
32,100,0.05,2.803,1.224,249.2,3567553.1
32,100,0.2,5.42,1.4288,250.0,1844864.7
32,100,1.0,0.55,0.14,8.7,18185946.0
