lambda,phase,proxy,e0_scale,rate,ci_low,ci_high,healthy_fp_per_user
0.5,bubble_detection,kl,1.0,0.463,0.414,0.512,0.777
0.5,collapse_detection,kl,1.0,0.55,0.499,0.602,0.777
1.0,bubble_detection,kl,1.0,0.474,0.422,0.526,0.837
1.0,collapse_detection,kl,1.0,0.559,0.507,0.61,0.837
2.0,bubble_detection,kl,1.0,0.575,0.523,0.627,1.215
2.0,collapse_detection,kl,1.0,0.629,0.578,0.678,1.215
3.0,bubble_detection,kl,1.0,0.692,0.646,0.741,1.387
3.0,collapse_detection,kl,1.0,0.7,0.651,0.749,1.387
4.0,bubble_detection,kl,1.0,0.747,0.7,0.79,1.632
4.0,collapse_detection,kl,1.0,0.752,0.706,0.796,1.632
