user_id,phase,detected,healthy_fp
27084,bubble_detection,0,0.0
27084,collapse_detection,0,0.0
26230,bubble_detection,1,2.0
26230,collapse_detection,0,2.0
6180,bubble_detection,0,0.0
6180,collapse_detection,0,0.0
17110,bubble_detection,1,1.0
17110,collapse_detection,1,1.0
8108,bubble_detection,0,0.0
8108,collapse_detection,0,0.0
6493,bubble_detection,0,0.0
6493,collapse_detection,0,0.0
9737,bubble_detection,1,1.0
9737,collapse_detection,1,1.0
18418,bubble_detection,0,0.0
18418,collapse_detection,0,0.0
14123,bubble_detection,1,1.0
14123,collapse_detection,1,1.0
7110,bubble_detection,1,1.0
7110,collapse_detection,1,1.0
1056,bubble_detection,1,1.0
1056,collapse_detection,1,1.0
2069,bubble_detection,0,0.0
2069,collapse_detection,1,0.0
22285,bubble_detection,0,0.0
22285,collapse_detection,0,0.0
23810,bubble_detection,0,0.0
23810,collapse_detection,1,0.0
12408,bubble_detection,1,1.0
12408,collapse_detection,1,1.0
16797,bubble_detection,0,0.0
16797,collapse_detection,0,0.0
26620,bubble_detection,0,0.0
26620,collapse_detection,0,0.0
21093,bubble_detection,1,1.0
21093,collapse_detection,1,1.0
20020,bubble_detection,1,2.0
20020,collapse_detection,1,2.0
11972,bubble_detection,0,0.0
11972,collapse_detection,0,0.0
18132,bubble_detection,1,1.0
18132,collapse_detection,1,1.0
24733,bubble_detection,0,1.0
24733,collapse_detection,0,1.0
6051,bubble_detection,0,0.0
6051,collapse_detection,0,0.0
12306,bubble_detection,1,1.0
12306,collapse_detection,1,1.0
26967,bubble_detection,0,0.0
26967,collapse_detection,0,0.0
22321,bubble_detection,1,1.0
22321,collapse_detection,1,1.0
25088,bubble_detection,0,0.0
25088,collapse_detection,0,0.0
4382,bubble_detection,0,0.0
4382,collapse_detection,0,0.0
7210,bubble_detection,1,1.0
7210,collapse_detection,1,1.0
24949,bubble_detection,1,5.0
24949,collapse_detection,1,5.0
5641,bubble_detection,0,0.0
5641,collapse_detection,0,0.0
1952,bubble_detection,1,1.0
1952,collapse_detection,1,1.0
382,bubble_detection,0,0.0
382,collapse_detection,0,0.0
18703,bubble_detection,0,0.0
18703,collapse_detection,0,0.0
14070,bubble_detection,0,0.0
14070,collapse_detection,0,0.0
24407,bubble_detection,1,1.0
24407,collapse_detection,1,1.0
5992,bubble_detection,0,0.0
5992,collapse_detection,1,0.0
6399,bubble_detection,1,1.0
6399,collapse_detection,1,1.0
25059,bubble_detection,0,0.0
25059,collapse_detection,0,0.0
24768,bubble_detection,1,2.0
24768,collapse_detection,1,2.0
13450,bubble_detection,1,2.0
13450,collapse_detection,1,2.0
