threshold_quantile,detector,phase,rate,ci_low,ci_high,healthy_fp_per_user
0.1,CI,bubble_detection,0.286,0.24,0.332,0.409
0.1,CI,collapse_detection,0.341,0.292,0.384,0.409
0.1,CI^E,bubble_detection,0.485,0.439,0.537,0.916
0.1,CI^E,collapse_detection,0.45,0.398,0.501,0.916
0.1,CI^E-EWMA,bubble_detection,0.365,0.316,0.414,0.646
0.1,CI^E-EWMA,collapse_detection,0.327,0.281,0.376,0.646
0.2,CI,bubble_detection,0.458,0.406,0.51,0.749
0.2,CI,collapse_detection,0.548,0.499,0.597,0.749
0.2,CI^E,bubble_detection,0.692,0.646,0.738,1.387
0.2,CI^E,collapse_detection,0.7,0.651,0.744,1.387
0.2,CI^E-EWMA,bubble_detection,0.529,0.477,0.58,0.956
0.2,CI^E-EWMA,collapse_detection,0.567,0.515,0.619,0.956
0.3,CI,bubble_detection,0.553,0.501,0.602,0.932
0.3,CI,collapse_detection,0.689,0.643,0.736,0.932
0.3,CI^E,bubble_detection,0.785,0.744,0.826,1.747
0.3,CI^E,collapse_detection,0.82,0.779,0.858,1.747
0.3,CI^E-EWMA,bubble_detection,0.695,0.646,0.741,1.311
0.3,CI^E-EWMA,collapse_detection,0.763,0.722,0.804,1.311
