lambda,threshold,n_runs,masking_rate,masking_median_delay,collapse_rate,collapse_median_delay,healthy_false_positives,mean_healthy_false_positives
0.5,0.55,8,1.0,204.5,1.0,4.5,62,7.75
0.5,0.65,8,1.0,57.0,1.0,3.0,119,14.875
0.5,0.75,8,1.0,18.5,1.0,1.0,154,19.25
0.5,0.8,8,1.0,6.5,1.0,1.0,174,21.75
0.5,0.85,8,1.0,6.0,1.0,0.5,210,26.25
0.5,0.9,8,1.0,2.5,1.0,1.0,206,25.75
0.5,0.94,8,1.0,5.0,1.0,0.0,224,28.0
0.5,0.96,8,1.0,5.5,1.0,0.0,201,25.125
0.5,0.98,8,1.0,7.5,1.0,39.5,92,11.5
0.5,0.99,8,1.0,15.0,0.75,71.5,38,4.75
1.0,0.55,8,1.0,57.0,1.0,3.0,62,7.75
1.0,0.65,8,1.0,18.5,1.0,1.0,119,14.875
1.0,0.75,8,1.0,1.5,1.0,0.5,154,19.25
1.0,0.8,8,1.0,4.0,1.0,1.0,174,21.75
1.0,0.85,8,1.0,2.5,1.0,0.5,210,26.25
1.0,0.9,8,1.0,5.0,1.0,0.0,206,25.75
1.0,0.94,8,1.0,5.0,1.0,0.0,224,28.0
1.0,0.96,8,1.0,7.5,1.0,1.0,201,25.125
1.0,0.98,8,1.0,15.0,0.875,92.0,92,11.5
1.0,0.99,8,1.0,16.5,0.625,117.0,38,4.75
2.0,0.55,8,1.0,2.0,1.0,1.0,62,7.75
2.0,0.65,8,1.0,0.5,1.0,0.5,119,14.875
2.0,0.75,8,1.0,1.5,1.0,0.5,154,19.25
2.0,0.8,8,1.0,3.5,1.0,0.0,174,21.75
2.0,0.85,8,1.0,5.0,1.0,0.0,210,26.25
2.0,0.9,8,1.0,5.0,1.0,0.0,206,25.75
2.0,0.94,8,1.0,6.0,1.0,39.5,224,28.0
2.0,0.96,8,1.0,15.0,0.875,92.0,201,25.125
2.0,0.98,8,1.0,16.5,0.625,117.0,92,11.5
2.0,0.99,8,1.0,28.0,0.25,77.5,38,4.75
3.0,0.55,8,1.0,0.0,1.0,0.5,62,7.75
3.0,0.65,8,1.0,0.5,1.0,1.0,119,14.875
3.0,0.75,8,1.0,1.5,1.0,0.0,154,19.25
3.0,0.8,8,1.0,4.0,1.0,0.0,174,21.75
3.0,0.85,8,1.0,5.0,1.0,0.0,210,26.25
3.0,0.9,8,1.0,5.0,1.0,39.5,206,25.75
3.0,0.94,8,1.0,9.0,0.875,92.0,224,28.0
3.0,0.96,8,1.0,14.5,0.75,77.0,201,25.125
3.0,0.98,8,1.0,23.5,0.375,51.0,92,11.5
3.0,0.99,8,1.0,28.5,0.125,0.0,38,4.75
4.0,0.55,8,1.0,0.0,1.0,1.0,62,7.75
4.0,0.65,8,1.0,0.5,1.0,0.0,119,14.875
4.0,0.75,8,1.0,1.5,1.0,0.0,154,19.25
4.0,0.8,8,1.0,4.0,1.0,0.0,174,21.75
4.0,0.85,8,1.0,5.0,1.0,0.0,210,26.25
4.0,0.9,8,1.0,8.0,0.875,35.0,206,25.75
4.0,0.94,8,1.0,11.0,0.75,77.0,224,28.0
4.0,0.96,8,1.0,16.5,0.625,117.0,201,25.125
4.0,0.98,8,1.0,28.0,0.25,77.5,92,11.5
4.0,0.99,8,1.0,28.5,0.125,0.0,38,4.75
