seed,regime,condition,influence,lambda,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
7,passive,fm1,0.1,0.5,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.1,0.5,0.557893,0.619881,0.061988,0.849146,0.825363,1.0,1.0,0.849146,0.825363
8,passive,fm1,0.1,0.5,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.1,0.5,0.41422,0.460245,0.046024,0.898166,0.88054,1.0,1.0,0.898166,0.88054
9,passive,fm1,0.1,0.5,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.1,0.5,0.719224,0.799138,0.079914,0.785529,0.757401,1.0,1.0,0.785529,0.757401
10,passive,fm1,0.1,0.5,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.1,0.5,0.324391,0.360434,0.036043,0.928012,0.912874,1.0,1.0,0.928012,0.912874
11,passive,fm1,0.1,0.5,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.1,0.5,0.473644,0.526271,0.052627,0.880593,0.859918,1.0,1.0,0.880593,0.859918
12,passive,fm1,0.1,0.5,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.1,0.5,0.48721,0.541345,0.054134,0.87111,0.850273,1.0,1.0,0.87111,0.850273
13,passive,fm1,0.1,0.5,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.1,0.5,0.484581,0.538423,0.053842,0.875801,0.854912,1.0,1.0,0.875801,0.854912
14,passive,fm1,0.1,0.5,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.1,0.5,0.450099,0.50011,0.050011,0.889592,0.869256,1.0,1.0,0.889592,0.869256
7,passive,fm1,0.1,1.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.1,1.0,0.557893,0.619881,0.061988,0.849146,0.802471,1.0,1.0,0.849146,0.802471
8,passive,fm1,0.1,1.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.1,1.0,0.41422,0.460245,0.046024,0.898166,0.863512,1.0,1.0,0.898166,0.863512
9,passive,fm1,0.1,1.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.1,1.0,0.719224,0.799138,0.079914,0.785529,0.730531,1.0,1.0,0.785529,0.730531
