regime,influence,lambda,n_seeds,mean_tail_abs_error,std_tail_abs_error,mean_tail_action_gap,std_tail_action_gap,mean_tail_effort,std_tail_effort,mean_tail_sigma_p,std_tail_sigma_p,mean_tail_sigma_p_eff,std_tail_sigma_p_eff,mean_tail_sigma_a,std_tail_sigma_a,mean_tail_sigma_phi,std_tail_sigma_phi,mean_tail_tci,std_tail_tci,mean_tail_tcie,std_tail_tcie,mean_masking_gap
coercive,0.1,0.5,8,0.489,0.107,0.543,0.119,0.054,0.012,0.872,0.039,0.851,0.043,1.0,0.0,1.0,0.0,0.872,0.039,0.851,0.043,0.021
coercive,0.1,1.0,8,0.489,0.107,0.543,0.119,0.054,0.012,0.872,0.039,0.831,0.046,1.0,0.0,1.0,0.0,0.872,0.039,0.831,0.046,0.041
coercive,0.1,2.0,8,0.489,0.107,0.543,0.119,0.054,0.012,0.872,0.039,0.793,0.052,1.0,0.0,1.0,0.0,0.872,0.039,0.793,0.052,0.079
coercive,0.1,3.0,8,0.489,0.107,0.543,0.119,0.054,0.012,0.872,0.039,0.757,0.057,1.0,0.0,1.0,0.0,0.872,0.039,0.757,0.057,0.115
coercive,0.1,4.0,8,0.489,0.107,0.543,0.119,0.054,0.012,0.872,0.039,0.724,0.062,1.0,0.0,1.0,0.0,0.872,0.039,0.724,0.062,0.148
coercive,0.2,0.5,8,0.362,0.071,0.452,0.088,0.09,0.018,0.92,0.023,0.883,0.029,1.0,0.0,1.0,0.0,0.92,0.023,0.883,0.029,0.037
coercive,0.2,1.0,8,0.362,0.071,0.452,0.088,0.09,0.018,0.92,0.023,0.847,0.035,1.0,0.0,1.0,0.0,0.92,0.023,0.847,0.035,0.073
coercive,0.2,2.0,8,0.362,0.071,0.452,0.088,0.09,0.018,0.92,0.023,0.783,0.044,1.0,0.0,1.0,0.0,0.92,0.023,0.783,0.044,0.137
coercive,0.2,3.0,8,0.362,0.071,0.452,0.088,0.09,0.018,0.92,0.023,0.726,0.052,1.0,0.0,1.0,0.0,0.92,0.023,0.726,0.052,0.194
coercive,0.2,4.0,8,0.362,0.071,0.452,0.088,0.09,0.018,0.92,0.023,0.675,0.058,1.0,0.0,1.0,0.0,0.92,0.023,0.675,0.058,0.245
