regime,lag_count,H,method,coverage_H,coverage_n_star,mean_interval_width_H,mean_interval_width_n_star
power,80,0.4,parametric,0.6333333333333333,0.8,0.0038943686161126553,0.006712507332652407
power,80,0.4,wild,0.9333333333333333,0.9333333333333333,0.00962054243124259,0.011163392613305767
power,80,0.4,moving_block,0.7666666666666667,0.7666666666666667,0.007612654192014763,0.011136082794511608
power,80,0.8,parametric,0.6333333333333333,0.6,0.001157062080630759,0.001954159725494997
power,80,0.8,wild,0.8666666666666667,0.9333333333333333,0.0030501048451842022,0.0046971054216280415
power,80,0.8,moving_block,0.9,0.9,0.0032148275537714267,0.0049893647189334644
power,160,0.4,parametric,0.4666666666666667,0.5333333333333333,0.002112971369554789,0.005592361641153754
power,160,0.4,wild,1.0,1.0,0.0052742040448518455,0.010726208843279928
power,160,0.4,moving_block,0.9,0.9666666666666667,0.0045876192941046575,0.010377059326972186
power,160,0.8,parametric,0.5666666666666667,0.5666666666666667,0.0004806697523026463,0.0009780733334718147
power,160,0.8,wild,0.9666666666666667,0.9666666666666667,0.0013199948667883025,0.002518403493456567
power,160,0.8,moving_block,0.9,0.9666666666666667,0.0016752706774368243,0.0032209665126463173
ar,80,0.4,parametric,0.7666666666666667,0.8,0.0038978196539284564,0.0067175382733457205
ar,80,0.4,wild,0.8666666666666667,0.9,0.004885203194151688,0.008188339989868646
ar,80,0.4,moving_block,0.8666666666666667,0.7333333333333333,0.004212637572550929,0.00623373404348199
ar,80,0.8,parametric,0.9333333333333333,0.9333333333333333,0.0011571346347595195,0.0019547005814016362
ar,80,0.8,wild,0.8333333333333334,0.8333333333333334,0.0013969235448093623,0.002342167913095024
ar,80,0.8,moving_block,0.9,0.9333333333333333,0.0022348156278458246,0.003482038845615265
ar,160,0.4,parametric,0.8,0.8,0.0021130605615505764,0.005596454088718265
ar,160,0.4,wild,1.0,0.9333333333333333,0.0027879862881526646,0.007374214955696182
ar,160,0.4,moving_block,0.9666666666666667,0.9,0.0027944501806238197,0.006478860747707464
ar,160,0.8,parametric,0.6333333333333333,0.6666666666666666,0.0004806915680615198,0.0009782923512629957
ar,160,0.8,wild,0.9,0.9333333333333333,0.0006557955367955856,0.0013413501308821353
ar,160,0.8,moving_block,1.0,1.0,0.0013051881842633284,0.0025053699547014086
