kind,amplitude,empirical_size,mean_h,mean_q
bump,0.0,0.05,0.6001300376540492,17.628215870366216
bump,0.05,0.505,0.5769996148461124,30.135298091612686
bump,0.1,1.0,0.555294967484535,70.73222575167563
bump,0.2,1.0,0.5159815539253025,231.4822082430761
sinusoid,0.0,0.045,0.6006433147428963,17.891492656952668
sinusoid,0.05,1.0,0.6049369763240724,141.6072006470812
sinusoid,0.1,1.0,0.6087084584137964,526.3009947324377
sinusoid,0.2,1.0,0.6129423589370734,2044.3921055239498
slope_shift,0.0,0.045,0.6000299034144089,18.340980384013232
slope_shift,0.05,1.0,0.6383399710596485,70.38262352069245
slope_shift,0.1,1.0,0.6770720382054697,231.13613197367636
slope_shift,0.2,1.0,0.7567601012383801,866.936853355658
