scenario_id,detector,detector_input,holder_exponent,false_alarm_target,selected_delta,selected_threshold,selected_null_alarm_rate,target_met,operating_window,high_drift,mean_t_valid,mean_t_detect,mean_gap,median_gap,positive_gap_rate,detection_rate,undetected_invalid_rate,mean_pre_detection_excess_area
adwin-observation-H0.50-alpha0.050-w180-z0.0100,adwin,observation,0.5,0.05,0.0005,0.0,0.0,1,180,0.01,2346.0,2895.0,549.0,517.0,1.0,1.0,0.0,3.024
adwin-observation-H1.00-alpha0.050-w180-z0.0100,adwin,observation,1.0,0.05,0.0005,0.0,0.0,1,180,0.01,1040.0,1380.3,340.3,351.0,1.0,1.0,0.0,14.293
adwin-absolute_residual-H0.50-alpha0.050-w180-z0.0100,adwin,absolute_residual,0.5,0.05,0.0005,0.0,0.0,1,180,0.01,2346.0,,,,0.0,0.0,1.0,0.0
adwin-absolute_residual-H1.00-alpha0.050-w180-z0.0100,adwin,absolute_residual,1.0,0.05,0.0005,0.0,0.0,1,180,0.01,1040.0,2260.3,1220.3,1263.0,1.0,1.0,0.0,288.825
page_hinkley-observation-H0.50-alpha0.050-w180-z0.0100,page_hinkley,observation,0.5,0.05,0.0005,150.0,0.0,1,180,0.01,2346.0,2660.7,314.7,278.0,1.0,1.0,0.0,1.758
page_hinkley-observation-H1.00-alpha0.050-w180-z0.0100,page_hinkley,observation,1.0,0.05,0.0005,150.0,0.0,1,180,0.01,1040.0,1424.2,384.2,388.0,1.0,1.0,0.0,17.588
page_hinkley-absolute_residual-H0.50-alpha0.050-w180-z0.0100,page_hinkley,absolute_residual,0.5,0.05,0.0005,100.0,0.0,1,180,0.01,2346.0,,,,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H1.00-alpha0.050-w180-z0.0100,page_hinkley,absolute_residual,1.0,0.05,0.0005,100.0,0.0,1,180,0.01,1040.0,2278.8,1238.8,1257.5,1.0,1.0,0.0,297.799
kswin-observation-H0.50-alpha0.050-w180-z0.0100,kswin,observation,0.5,0.05,0.0005,0.0,0.667,0,180,0.01,2346.0,2896.5,550.5,550.5,1.0,0.333,0.667,0.954
kswin-observation-H1.00-alpha0.050-w180-z0.0100,kswin,observation,1.0,0.05,0.0005,0.0,0.667,0,180,0.01,1040.0,1684.8,644.8,542.0,1.0,1.0,0.0,81.84
kswin-absolute_residual-H0.50-alpha0.050-w180-z0.0100,kswin,absolute_residual,0.5,0.05,0.0005,0.0,0.667,0,180,0.01,2346.0,3234.0,888.0,888.0,1.0,0.167,0.833,0.806
kswin-absolute_residual-H1.00-alpha0.050-w180-z0.0100,kswin,absolute_residual,1.0,0.05,0.0005,0.0,0.667,0,180,0.01,1040.0,2319.2,1279.2,1352.5,1.0,0.667,0.333,246.768
cusum-observation-H0.50-alpha0.050-w180-z0.0100,cusum,observation,0.5,0.05,0.0005,4.0,1.0,0,180,0.01,2346.0,2346.0,0.0,0.0,0.0,1.0,0.0,0.0
cusum-observation-H1.00-alpha0.050-w180-z0.0100,cusum,observation,1.0,0.05,0.0005,4.0,1.0,0,180,0.01,1040.0,1040.0,0.0,0.0,0.0,1.0,0.0,0.0
cusum-absolute_residual-H0.50-alpha0.050-w180-z0.0100,cusum,absolute_residual,0.5,0.05,0.0005,4.0,1.0,0,180,0.01,2346.0,2346.0,0.0,0.0,0.0,1.0,0.0,0.0
cusum-absolute_residual-H1.00-alpha0.050-w180-z0.0100,cusum,absolute_residual,1.0,0.05,0.0005,4.0,1.0,0,180,0.01,1040.0,1040.0,0.0,0.0,0.0,1.0,0.0,0.0
