H,zeta,alpha,threshold,t_valid,mean_tau_detect,mean_delay_gap,median_delay_gap,p_positive_gap,q10_gap,q90_gap
0.3,0.002,0.05,85.4561136484146,480,1466.932,986.932,1020.0,1.0,1009.7,1020.0
0.3,0.005,0.05,85.4561136484146,480,1430.032,950.032,1020.0,1.0,764.4000000000001,1020.0
0.3,0.01,0.05,85.4561136484146,480,1321.876,841.876,943.5,1.0,523.5,1020.0
0.5,0.002,0.05,85.4561136484146,480,1397.26,917.26,1020.0,1.0,667.8,1020.0
0.5,0.005,0.05,85.4561136484146,480,1130.408,650.408,646.5,1.0,405.9,889.8
0.5,0.01,0.05,85.4561136484146,480,870.296,390.296,390.0,1.0,253.5,524.1
0.75,0.002,0.05,85.4561136484146,480,929.044,449.044,455.0,1.0,314.8,580.1
0.75,0.005,0.05,85.4561136484146,480,716.492,236.492,241.5,1.0,159.9,309.0
0.75,0.01,0.05,85.4561136484146,480,614.564,134.564,139.0,1.0,84.9,175.1
1.0,0.002,0.05,85.4561136484146,480,661.076,181.076,186.5,1.0,126.9,231.0
1.0,0.005,0.05,85.4561136484146,480,565.2,85.2,87.5,1.0,55.900000000000006,110.1
1.0,0.01,0.05,85.4561136484146,480,516.8,36.8,38.0,0.992,17.900000000000002,54.0
0.3,0.002,0.1,73.75718467235566,480,1435.644,955.644,1020.0,1.0,771.0,1020.0
0.3,0.005,0.1,73.75718467235566,480,1371.204,891.204,1020.0,1.0,577.0,1020.0
0.3,0.01,0.1,73.75718467235566,480,1235.796,755.796,794.5,1.0,392.6,1020.0
0.5,0.002,0.1,73.75718467235566,480,1335.548,855.548,1003.0,1.0,524.0,1020.0
0.5,0.005,0.1,73.75718467235566,480,1036.248,556.248,539.5,1.0,302.20000000000005,816.1
0.5,0.01,0.1,73.75718467235566,480,813.564,333.564,335.5,1.0,185.20000000000002,476.1
0.75,0.002,0.1,73.75718467235566,480,872.464,392.464,401.0,1.0,243.0,531.1
0.75,0.005,0.1,73.75718467235566,480,684.596,204.596,210.0,1.0,123.0,277.1
0.75,0.01,0.1,73.75718467235566,480,591.992,111.992,118.0,0.996,63.7,152.0
1.0,0.002,0.1,73.75718467235566,480,637.636,157.636,164.0,1.0,98.9,207.0
1.0,0.005,0.1,73.75718467235566,480,550.02,70.02,73.5,0.992,41.900000000000006,99.0
1.0,0.01,0.1,73.75718467235566,480,506.296,26.296,28.0,0.94,7.900000000000002,45.0
0.3,0.002,0.2,61.80682470798493,480,1351.1,871.1,1020.0,0.988,498.6,1020.0
0.3,0.005,0.2,61.80682470798493,480,1279.66,799.66,989.0,0.988,355.3,1020.0
0.3,0.01,0.2,61.80682470798493,480,1099.744,619.744,615.0,0.988,245.3,1020.0
0.5,0.002,0.2,61.80682470798493,480,1227.552,747.552,794.5,0.988,321.90000000000003,1020.0
0.5,0.005,0.2,61.80682470798493,480,939.128,459.128,454.0,0.988,203.60000000000005,731.3
0.5,0.01,0.2,61.80682470798493,480,751.456,271.456,281.0,0.988,117.60000000000001,425.2
0.75,0.002,0.2,61.80682470798493,480,808.644,328.644,333.0,0.988,161.3,484.29999999999995
0.75,0.005,0.2,61.80682470798493,480,648.452,168.452,175.0,0.988,78.9,246.0
0.75,0.01,0.2,61.80682470798493,480,566.744,86.744,91.0,0.976,38.900000000000006,133.0
1.0,0.002,0.2,61.80682470798493,480,608.512,128.512,138.0,0.988,67.80000000000001,184.1
1.0,0.005,0.2,61.80682470798493,480,532.032,52.032,56.0,0.956,17.900000000000002,81.1
1.0,0.01,0.2,61.80682470798493,480,494.112,14.112,16.0,0.84,-6.0,35.0
