scenario,policy,repetitions,accuracy,false_alarm_rate,miss_alarm_rate,over_deployment_rate,under_deployment_rate,mean_action_loss
exact,controller,50,1.0,0.0,0.0,0.0,0.0,0.0
exact,detector_only,50,1.0,0.0,0.0,0.0,0.0,0.0
exact,fixed_policy,50,1.0,0.0,0.0,0.0,0.0,0.0
exact,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_ar,controller,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_ar,detector_only,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_ar,fixed_policy,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_ar,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_power,controller,50,0.98,0.0,0.0,0.0,0.02,0.01
hetero_power,detector_only,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_power,fixed_policy,50,1.0,0.0,0.0,0.0,0.0,0.0
hetero_power,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
mixed_misspec,controller,50,1.0,0.0,0.0,0.0,0.0,0.0
mixed_misspec,detector_only,50,1.0,0.0,0.0,0.0,0.0,0.0
mixed_misspec,fixed_policy,50,0.0,0.0,1.0,1.0,0.0,2.0
mixed_misspec,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
noisy,controller,50,0.66,0.0,0.0,0.0,0.0,0.17
noisy,detector_only,50,0.0,0.0,0.0,1.0,0.0,1.5
noisy,fixed_policy,50,0.0,0.0,0.0,1.0,0.0,1.5
noisy,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
piecewise_misspec,controller,50,1.0,0.0,0.0,0.0,0.0,0.0
piecewise_misspec,detector_only,50,1.0,0.0,0.0,0.0,0.0,0.0
piecewise_misspec,fixed_policy,50,0.0,0.0,1.0,1.0,0.0,2.0
piecewise_misspec,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
sinusoidal_misspec,controller,50,1.0,0.0,0.0,0.0,0.0,0.0
sinusoidal_misspec,detector_only,50,1.0,0.0,0.0,0.0,0.0,0.0
sinusoidal_misspec,fixed_policy,50,0.0,0.0,1.0,1.0,0.0,2.0
sinusoidal_misspec,oracle,50,1.0,0.0,0.0,0.0,0.0,0.0
