scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param,coverage_ucurve,coverage_param
correct,0,30.0,24.0,9.345219716647675,6.0,20.654780283352324,0.2,0.6884926761117441,1.0,1.0
correct,1,30.0,24.0,9.20136955746121,6.0,20.79863044253879,0.2,0.6932876814179597,1.0,1.0
correct,2,30.0,5.0,9.267389915611677,25.0,20.732610084388323,0.8333333333333334,0.6910870028129441,1.0,1.0
correct,3,30.0,27.0,9.343930229518032,3.0,20.65606977048197,0.1,0.6885356590160657,1.0,1.0
correct,4,30.0,5.0,9.290119271623421,25.0,20.70988072837658,0.8333333333333334,0.6903293576125527,1.0,1.0
correct,5,30.0,33.0,9.312317286816564,3.0,20.687682713183435,0.1,0.6895894237727812,1.0,1.0
correct,6,30.0,22.0,9.02392118597446,8.0,20.97607881402554,0.26666666666666666,0.6992026271341847,1.0,1.0
correct,7,30.0,37.0,9.444508099853241,7.0,20.55549190014676,0.23333333333333334,0.6851830633382253,1.0,1.0
correct,8,30.0,5.0,9.384322205791701,25.0,20.6156777942083,0.8333333333333334,0.6871892598069433,1.0,1.0
correct,9,30.0,5.0,9.182639488027135,25.0,20.817360511972865,0.8333333333333334,0.6939120170657621,1.0,1.0
correct,10,30.0,33.0,9.481154856329502,3.0,20.518845143670497,0.1,0.6839615047890165,1.0,1.0
correct,11,30.0,27.0,9.184144142760925,3.0,20.815855857239075,0.1,0.6938618619079692,1.0,1.0
correct,12,30.0,24.0,9.132891968159147,6.0,20.867108031840853,0.2,0.6955702677280284,1.0,1.0
correct,13,30.0,33.0,9.073058325661576,3.0,20.926941674338423,0.1,0.6975647224779474,1.0,1.0
correct,14,30.0,37.0,9.2725771201246,7.0,20.727422879875398,0.23333333333333334,0.6909140959958466,1.0,1.0
correct,15,30.0,5.0,9.17884897048042,25.0,20.82115102951958,0.8333333333333334,0.6940383676506526,1.0,1.0
correct,16,30.0,37.0,9.184332351063992,7.0,20.815667648936007,0.23333333333333334,0.6938555882978669,1.0,1.0
correct,17,30.0,20.0,9.415164391016917,10.0,20.584835608983084,0.3333333333333333,0.6861611869661028,1.0,1.0
correct,18,30.0,5.0,9.005860109221567,25.0,20.994139890778435,0.8333333333333334,0.6998046630259478,1.0,1.0
correct,19,30.0,33.0,9.175164405764868,3.0,20.824835594235132,0.1,0.6941611864745044,1.0,1.0
correct,20,30.0,27.0,9.339612899122532,3.0,20.660387100877468,0.1,0.688679570029249,1.0,1.0
correct,21,30.0,22.0,9.178979798329243,8.0,20.821020201670756,0.26666666666666666,0.6940340067223585,1.0,1.0
correct,22,30.0,37.0,9.312663242648355,7.0,20.687336757351645,0.23333333333333334,0.6895778919117215,1.0,1.0
correct,23,30.0,30.0,9.325291981242767,0.0,20.674708018757233,0.0,0.6891569339585745,1.0,1.0
correct,24,30.0,37.0,9.267060197393736,7.0,20.732939802606264,0.23333333333333334,0.6910979934202088,1.0,1.0
correct,25,30.0,41.0,9.114122093292456,11.0,20.88587790670754,0.36666666666666664,0.6961959302235847,1.0,1.0
correct,26,30.0,5.0,9.302700654179594,25.0,20.697299345820404,0.8333333333333334,0.6899099781940135,1.0,1.0
correct,27,30.0,22.0,9.371448882347359,8.0,20.62855111765264,0.26666666666666666,0.6876183705884213,1.0,1.0
correct,28,30.0,5.0,9.262157265415457,25.0,20.737842734584543,0.8333333333333334,0.6912614244861515,1.0,1.0
correct,29,30.0,22.0,9.427733509728494,8.0,20.572266490271506,0.26666666666666666,0.6857422163423835,1.0,1.0
correct,30,30.0,27.0,8.962265527153665,3.0,21.037734472846335,0.1,0.7012578157615444,1.0,1.0
correct,31,30.0,33.0,9.155876318977855,3.0,20.844123681022147,0.1,0.6948041227007382,1.0,1.0
correct,32,30.0,41.0,9.279028439078587,11.0,20.720971560921413,0.36666666666666664,0.6906990520307138,1.0,1.0
correct,33,30.0,27.0,9.278354367881517,3.0,20.72164563211848,0.1,0.690721521070616,1.0,1.0
correct,34,30.0,27.0,9.163765015568826,3.0,20.836234984431172,0.1,0.6945411661477058,1.0,1.0
correct,35,30.0,30.0,9.256670357053132,0.0,20.74332964294687,0.0,0.6914443214315623,1.0,1.0
correct,36,30.0,33.0,9.368331927341027,3.0,20.631668072658975,0.1,0.6877222690886325,1.0,1.0
correct,37,30.0,30.0,9.32902828087928,0.0,20.670971719120722,0.0,0.6890323906373574,1.0,1.0
correct,38,30.0,33.0,9.082018547548392,3.0,20.917981452451606,0.1,0.6972660484150536,1.0,1.0
correct,39,30.0,22.0,9.271840439784002,8.0,20.728159560216,0.26666666666666666,0.6909386520072,1.0,1.0
correct,40,30.0,27.0,9.449549029869614,3.0,20.550450970130385,0.1,0.6850150323376795,1.0,1.0
correct,41,30.0,5.0,9.362997614439903,25.0,20.637002385560095,0.8333333333333334,0.6879000795186698,1.0,1.0
correct,42,30.0,33.0,9.30405245908064,3.0,20.69594754091936,0.1,0.6898649180306453,1.0,1.0
correct,43,30.0,24.0,9.304246002888195,6.0,20.695753997111805,0.2,0.6898584665703935,1.0,1.0
correct,44,30.0,33.0,9.11230366881094,3.0,20.887696331189062,0.1,0.6962565443729687,1.0,1.0
correct,45,30.0,27.0,9.315734293319748,3.0,20.68426570668025,0.1,0.6894755235560084,1.0,1.0
correct,46,30.0,22.0,9.350395638150884,8.0,20.649604361849114,0.26666666666666666,0.6883201453949704,1.0,1.0
correct,47,30.0,5.0,9.427199062254546,25.0,20.572800937745455,0.8333333333333334,0.6857600312581819,1.0,1.0
correct,48,30.0,24.0,9.069125686393331,6.0,20.93087431360667,0.2,0.6976958104535557,1.0,1.0
correct,49,30.0,37.0,9.229505734153888,7.0,20.77049426584611,0.23333333333333334,0.6923498088615371,1.0,1.0
correct,50,30.0,30.0,9.462185006128205,0.0,20.537814993871795,0.0,0.6845938331290599,1.0,1.0
correct,51,30.0,5.0,9.283075195283585,25.0,20.716924804716413,0.8333333333333334,0.6905641601572138,1.0,1.0
correct,52,30.0,33.0,9.211203885864485,3.0,20.788796114135515,0.1,0.6929598704711838,1.0,1.0
correct,53,30.0,41.0,9.113795130380016,11.0,20.886204869619984,0.36666666666666664,0.6962068289873328,1.0,1.0
correct,54,30.0,22.0,9.18081358352348,8.0,20.81918641647652,0.26666666666666666,0.6939728805492174,1.0,1.0
correct,55,30.0,5.0,9.238665297658246,25.0,20.761334702341756,0.8333333333333334,0.6920444900780586,1.0,1.0
correct,56,30.0,37.0,9.166589738079132,7.0,20.833410261920868,0.23333333333333334,0.6944470087306956,1.0,1.0
correct,57,30.0,27.0,9.130170281656758,3.0,20.86982971834324,0.1,0.6956609906114414,1.0,1.0
correct,58,30.0,30.0,9.537716067754202,0.0,20.462283932245796,0.0,0.6820761310748599,1.0,1.0
correct,59,30.0,30.0,9.097877641477064,0.0,20.902122358522938,0.0,0.6967374119507646,1.0,1.0
correct,60,30.0,5.0,9.09435864805773,25.0,20.905641351942272,0.8333333333333334,0.6968547117314091,1.0,1.0
correct,61,30.0,5.0,9.237936417343638,25.0,20.76206358265636,0.8333333333333334,0.6920687860885454,1.0,1.0
correct,62,30.0,5.0,9.586500292415534,25.0,20.413499707584464,0.8333333333333334,0.6804499902528155,1.0,1.0
correct,63,30.0,24.0,8.878227623172725,6.0,21.121772376827273,0.2,0.7040590792275758,1.0,1.0
correct,64,30.0,24.0,9.392639665668783,6.0,20.60736033433122,0.2,0.686912011144374,1.0,1.0
correct,65,30.0,33.0,9.342929692561992,3.0,20.65707030743801,0.1,0.6885690102479336,1.0,1.0
correct,66,30.0,33.0,9.279962732342254,3.0,20.720037267657744,0.1,0.6906679089219249,1.0,1.0
correct,67,30.0,27.0,9.190883435986462,3.0,20.809116564013536,0.1,0.6936372188004511,1.0,1.0
correct,68,30.0,30.0,8.962927145849669,0.0,21.03707285415033,0.0,0.701235761805011,1.0,1.0
correct,69,30.0,27.0,9.051446137227238,3.0,20.948553862772762,0.1,0.6982851287590921,1.0,1.0
correct,70,30.0,5.0,9.17986894847536,25.0,20.82013105152464,0.8333333333333334,0.6940043683841547,1.0,1.0
correct,71,30.0,33.0,9.258906772278866,3.0,20.741093227721134,0.1,0.6913697742573711,1.0,1.0
correct,72,30.0,30.0,9.358951275814153,0.0,20.641048724185847,0.0,0.6880349574728616,1.0,1.0
correct,73,30.0,20.0,9.435213801761403,10.0,20.564786198238597,0.3333333333333333,0.6854928732746199,1.0,1.0
correct,74,30.0,33.0,9.154678346162626,3.0,20.845321653837374,0.1,0.6948440551279125,1.0,1.0
correct,75,30.0,33.0,9.16865442327024,3.0,20.83134557672976,0.1,0.694378185890992,1.0,1.0
correct,76,30.0,33.0,9.064397554464529,3.0,20.935602445535473,0.1,0.6978534148511825,1.0,1.0
correct,77,30.0,27.0,9.3385409465092,3.0,20.661459053490802,0.1,0.6887153017830268,1.0,1.0
correct,78,30.0,5.0,8.953340240419026,25.0,21.046659759580976,0.8333333333333334,0.7015553253193658,1.0,1.0
correct,79,30.0,37.0,9.27795736683003,7.0,20.72204263316997,0.23333333333333334,0.690734754438999,1.0,1.0
correct,80,30.0,33.0,9.315860595019391,3.0,20.68413940498061,0.1,0.6894713134993536,1.0,1.0
correct,81,30.0,24.0,8.990417546540685,6.0,21.009582453459316,0.2,0.7003194151153106,1.0,1.0
correct,82,30.0,27.0,9.334280670901538,3.0,20.66571932909846,0.1,0.6888573109699487,1.0,1.0
correct,83,30.0,5.0,9.294358186033742,25.0,20.70564181396626,0.8333333333333334,0.690188060465542,1.0,1.0
