truth_h,lambda_0,lambda_1,best_policy,best_total_cost,best_non_oracle_policy,best_non_oracle_total_cost,schedule_mode
0.1,0.0,0.0,oracle,137.7533733207836,fixed_policy,146.50545739139858,default
0.1,0.0,2.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,0.0,4.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,2.0,0.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,2.0,2.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,2.0,4.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,4.0,0.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,4.0,2.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.1,4.0,4.0,fixed_policy,146.50545739139858,fixed_policy,146.50545739139858,default
0.5,0.0,0.0,oracle,267.9992107570552,controller,281.95581801840575,default
0.5,0.0,2.0,deploy_only,297.169152490566,deploy_only,297.169152490566,default
0.5,0.0,4.0,deploy_only,311.86724432064574,deploy_only,311.86724432064574,default
0.5,2.0,0.0,oracle,343.9992107570552,fixed_policy,348.83293897288326,default
0.5,2.0,2.0,fixed_policy,348.83293897288326,fixed_policy,348.83293897288326,default
0.5,2.0,4.0,fixed_policy,348.83293897288326,fixed_policy,348.83293897288326,default
0.5,4.0,0.0,fixed_policy,348.83293897288326,fixed_policy,348.83293897288326,default
0.5,4.0,2.0,fixed_policy,348.83293897288326,fixed_policy,348.83293897288326,default
0.5,4.0,4.0,fixed_policy,348.83293897288326,fixed_policy,348.83293897288326,default
0.9,0.0,0.0,oracle,317.81836891972677,controller,340.1567508082942,default
0.9,0.0,2.0,oracle,359.88223623984123,controller,362.17256752555693,default
0.9,0.0,4.0,deploy_only,383.6829974766133,deploy_only,383.6829974766133,default
0.9,2.0,0.0,oracle,345.81836891972677,controller,493.49008414162756,default
0.9,2.0,2.0,oracle,387.88223623984123,controller,515.5059008588903,default
0.9,2.0,4.0,oracle,429.9461035599557,controller,537.521717576153,default
0.9,4.0,0.0,oracle,373.81836891972677,controller,646.8234174749608,default
0.9,4.0,2.0,oracle,415.88223623984123,controller,668.8392341922237,default
0.9,4.0,4.0,oracle,457.9461035599557,controller,690.8550509094863,default
0.1,0.0,0.0,oracle,48.982836587589475,fixed_policy,49.91161204469599,strong
0.1,0.0,2.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,0.0,4.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,2.0,0.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,2.0,2.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,2.0,4.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,4.0,0.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,4.0,2.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.1,4.0,4.0,fixed_policy,49.91161204469599,fixed_policy,49.91161204469599,strong
0.5,0.0,0.0,oracle,88.99032777163671,deploy_only,104.48968824928393,strong
0.5,0.0,2.0,deploy_only,115.37128057470551,deploy_only,115.37128057470551,strong
0.5,0.0,4.0,deploy_only,126.25287290012709,deploy_only,126.25287290012709,strong
0.5,2.0,0.0,oracle,128.99032777163671,fixed_policy,131.81196906947017,strong
0.5,2.0,2.0,fixed_policy,131.81196906947017,fixed_policy,131.81196906947017,strong
0.5,2.0,4.0,fixed_policy,131.81196906947017,fixed_policy,131.81196906947017,strong
0.5,4.0,0.0,fixed_policy,131.81196906947017,fixed_policy,131.81196906947017,strong
0.5,4.0,2.0,fixed_policy,131.81196906947017,fixed_policy,131.81196906947017,strong
0.5,4.0,4.0,fixed_policy,131.81196906947017,fixed_policy,131.81196906947017,strong
0.9,0.0,0.0,oracle,99.8502641945261,controller,120.63095342292009,strong
0.9,0.0,2.0,oracle,133.59636534792122,controller,138.41982101657024,strong
0.9,0.0,4.0,detector_only,153.95574952868304,detector_only,153.95574952868304,strong
0.9,2.0,0.0,oracle,111.8502641945261,detector_only,187.9506929150973,strong
0.9,2.0,2.0,oracle,145.59636534792122,detector_only,202.95322122189015,strong
0.9,2.0,4.0,oracle,179.34246650131635,detector_only,217.95574952868304,strong
0.9,4.0,0.0,oracle,123.8502641945261,detector_only,251.9506929150973,strong
0.9,4.0,2.0,oracle,157.59636534792122,detector_only,266.95322122189015,strong
0.9,4.0,4.0,oracle,191.34246650131635,detector_only,281.95574952868304,strong
